action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,5,,5,,,,5,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.086,0.086,,,0.086,,25.294118,25.294118,0,2025-12-13,2025-12-13,1,17,,,,,facebook,17,0.43,,2,,3,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-12-13,2025-12-13,1,1,,,,,threads,1,0.02,,3,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461955984,02 Mike_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0.01,,4,,1,,
,2,,,1,,,2,,,,,,,,,2,,2,,,,1,,6917461956584,01 Santa_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.01,"[{'action_type': 'outbound_click', 'value': '0.01'}]",0.01,,0.005,,,0.005,0.005,,,0.01,0.01,10,10,100,2025-12-13,2025-12-13,1,1,100,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '100'}]",facebook,1,0.01,,10,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6917461956584,01 Santa_slim - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,threads,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6917461956784,01 Jesus_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,facebook,1,0.01,,2,,,,
,,,,1,,,,,,,,,,,,2,,2,,,,1,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.070005,"[{'action_type': 'outbound_click', 'value': '0.070005'}]",0.070005,,,,,0.035003,0.035003,,,0.070005,0.070005,70.00528,70.00528,100,2025-12-13,2025-12-13,1,1,100,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '100'}]",audience_network,1,0.070005,,10,,1,1,
,398,4,1,114,26,26,398,,,,15,1,1,,,2912,2,2912,19,15,,2779,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,111,"[{'action_type': 'subscribe_mobile_app', 'value': '8.686489'}, {'action_type': 'subscribe_total', 'value': '8.686489'}, {'action_type': 'start_trial_mobile_app', 'value': '8.018297'}, {'action_type': 'start_trial_total', 'value': '8.018297'}]",0.914367,"[{'action_type': 'outbound_click', 'value': '0.914367'}]",0.914367,4.009149,0.261904,,,0.035796,0.035796,5.486203,,0.037509,0.93908,13.577942,13.87064,1.445877,2025-12-13,2025-12-13,1.021557,7677,1.484955,114,"[{'action_type': 'outbound_click', 'value': '114'}]","[{'action_type': 'outbound_click', 'value': '1.484955'}]",facebook,7515,104.237862,255,4,244,2473,1349,806
,79,,,20,10,10,79,,,1,3,,,,,521,,521,3,3,,498,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,31,"[{'action_type': 'subscribe_mobile_app', 'value': '23.20175'}, {'action_type': 'subscribe_total', 'value': '23.20175'}, {'action_type': 'start_trial_mobile_app', 'value': '23.20175'}, {'action_type': 'start_trial_total', 'value': '23.20175'}]",1.160088,"[{'action_type': 'outbound_click', 'value': '1.160088'}]",1.160088,2.320175,0.293693,,23.20175,0.044533,0.044533,7.733917,,0.04659,0.748444,14.564815,15.095478,1.946014,2025-12-13,2025-12-13,1.036435,1593,1.255493,20,"[{'action_type': 'outbound_click', 'value': '20'}]","[{'action_type': 'outbound_click', 'value': '1.255493'}]",instagram,1537,23.20175,34,3,34,445,194,125
,,,,,,,,,,,,,,,,,,,,,,,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,10.000754,10.000754,0,2025-12-13,2025-12-13,1,2,,,,,messenger,2,0.020002,,1,,,,
,1,,,4,,,1,,,,,,,,,197,,197,,,,193,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,4,,1.262595,"[{'action_type': 'outbound_click', 'value': '1.262595'}]",1.262595,,5.050381,,,0.025636,0.025636,,,0.026168,1.262595,14.554412,14.554412,1.152738,2025-12-13,2025-12-13,1,347,1.152738,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.152738'}]",threads,347,5.050381,23,6,24,166,84,44
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.03,0.03,,,0.03,,10,10,0,2025-12-13,2025-12-13,1,3,,,,,facebook,3,0.03,,2,,,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.015,0.015,,,0.015,,15,15,0,2025-12-13,2025-12-13,1,2,,,,,instagram,2,0.03,,4,,2,,
,,,,,,,,,,,,,,,,14,,14,,,,14,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.067143,0.067143,,,0.067143,,24.102564,26.111111,0,2025-12-13,2025-12-13,1.083333,39,,,,,facebook,36,0.94,1,4,1,12,5,4
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0,0,,,0,,0,0,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0,,7,,1,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.015,0.015,,,0.015,,15,15,0,2025-12-13,2025-12-13,1,2,,,,,threads,2,0.03,1,10,1,2,1,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480384,05 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0,0,,,0,,0,0,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0,,6,,1,,
,,,,3,1,1,,,,,1,,,,,29,,29,1,1,,25,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,,0.493333,"[{'action_type': 'outbound_click', 'value': '0.493333'}]",0.493333,1.48,,,,0.051034,0.051034,1.48,,0.0592,0.493333,14.509804,15.102041,2.941176,2025-12-13,2025-12-13,1.040816,102,2.941176,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.941176'}]",facebook,98,1.48,6,3,4,24,13,9
,,,,,,,,,,,,,,,,3,,3,,,,3,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.096667,0.096667,,,0.096667,,20.714286,20.714286,0,2025-12-13,2025-12-13,1,14,,,,,instagram,14,0.29,,2,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,6917505480784,18 esha - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,1,,,,,facebook,1,0.02,,2,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0,0,,,0,,0,0,0,2025-12-13,2025-12-13,1,1,,,,,audience_network,1,0,,6,,1,,
,492,2,,102,43,43,492,,,,18,1,1,,,2017,2,2017,21,18,,1894,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,99,"[{'action_type': 'subscribe_mobile_app', 'value': '10.623441'}, {'action_type': 'subscribe_total', 'value': '10.623441'}, {'action_type': 'start_trial_mobile_app', 'value': '6.070538'}, {'action_type': 'start_trial_total', 'value': '6.070538'}]",0.833211,"[{'action_type': 'outbound_click', 'value': '0.833211'}]",0.833211,1.976454,0.172739,,,0.042136,0.042136,4.047025,,0.044872,0.85846,14.438928,15.047367,1.681957,2025-12-13,2025-12-13,1.042139,5886,1.732926,102,"[{'action_type': 'outbound_click', 'value': '102'}]","[{'action_type': 'outbound_click', 'value': '1.732926'}]",facebook,5648,84.98753,157,3,140,1633,768,415
,95,,,28,10,10,95,,,,9,1,1,1,,537,1,537,12,10,,497,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,32,"[{'action_type': 'subscribe_mobile_app', 'value': '27.002392'}, {'action_type': 'subscribe_total', 'value': '27.002392'}, {'action_type': 'start_trial_mobile_app', 'value': '27.002392'}, {'action_type': 'start_trial_total', 'value': '27.002392'}]",0.964371,"[{'action_type': 'outbound_click', 'value': '0.964371'}]",0.964371,2.700239,0.284236,,,0.050284,0.050284,2.250199,,0.054331,0.843825,16.897617,16.897617,2.002503,2025-12-13,2025-12-13,1,1598,1.75219,28,"[{'action_type': 'outbound_click', 'value': '28'}]","[{'action_type': 'outbound_click', 'value': '1.75219'}]",instagram,1598,27.002392,43,4,43,441,196,114
,,,,,,,,,,,,,,,,39,,39,,,,39,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.022566,0.022566,,,0.022566,,11.283051,11.283051,0,2025-12-13,2025-12-13,1,78,,,,,threads,78,0.880078,4,5,4,33,18,7
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505481584,02 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.03,0.03,,,0.03,,7.5,7.5,0,2025-12-13,2025-12-13,1,4,,,,,facebook,4,0.03,1,6,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6917505481584,02 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,13.333333,13.333333,0,2025-12-13,2025-12-13,1,3,,,,,instagram,3,0.04,,1,,,,
,25,1,,5,4,4,25,,,,2,,,,,151,,151,2,2,,144,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,5,,1.632,"[{'action_type': 'outbound_click', 'value': '1.632'}]",1.632,2.04,0.3264,,,0.05404,0.05404,4.08,,0.056667,1.632,17.51073,17.973568,1.072961,2025-12-13,2025-12-13,1.026432,466,1.072961,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.072961'}]",facebook,454,8.16,20,4,19,123,65,42
,52,,,10,2,2,52,,,,2,2,2,,,147,1,147,5,2,,132,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,11,"[{'action_type': 'subscribe_mobile_app', 'value': '6.58'}, {'action_type': 'subscribe_total', 'value': '6.58'}, {'action_type': 'start_trial_mobile_app', 'value': '6.58'}, {'action_type': 'start_trial_total', 'value': '6.58'}]",0.658,"[{'action_type': 'outbound_click', 'value': '0.658'}]",0.658,3.29,0.126538,,,0.044762,0.044762,1.316,,0.049848,0.598182,19.641791,20.434783,3.283582,2025-12-13,2025-12-13,1.040373,335,2.985075,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '2.985075'}]",instagram,322,6.58,22,4,22,120,69,52
,1,,,1,,,1,,,,,,,,,8,,8,,,,7,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.15,"[{'action_type': 'outbound_click', 'value': '0.15'}]",0.15,,0.15,,,0.01875,0.01875,,,0.021429,0.15,16.666667,16.666667,11.111111,2025-12-13,2025-12-13,1,9,11.111111,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '11.111111'}]",threads,9,0.15,1,28,1,6,5,1
,165,,,42,14,14,165,,,,11,,,,,1113,2,1113,13,11,,1058,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,41,"[{'action_type': 'subscribe_mobile_app', 'value': '43.13'}, {'action_type': 'subscribe_total', 'value': '43.13'}, {'action_type': 'start_trial_mobile_app', 'value': '43.13'}, {'action_type': 'start_trial_total', 'value': '43.13'}]",1.026905,"[{'action_type': 'outbound_click', 'value': '1.026905'}]",1.026905,3.080714,0.261394,,,0.038751,0.038751,3.317692,,0.040766,1.051951,17.91113,18.431624,1.702658,2025-12-13,2025-12-13,1.02906,2408,1.744186,42,"[{'action_type': 'outbound_click', 'value': '42'}]","[{'action_type': 'outbound_click', 'value': '1.744186'}]",facebook,2340,43.13,151,5,130,977,584,379
,163,,,26,17,17,163,,,,6,,,2,,685,,685,8,8,,651,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,31,"[{'action_type': 'subscribe_mobile_app', 'value': '10.2725'}, {'action_type': 'subscribe_total', 'value': '10.2725'}, {'action_type': 'start_trial_mobile_app', 'value': '10.2725'}, {'action_type': 'start_trial_total', 'value': '10.2725'}]",1.580385,"[{'action_type': 'outbound_click', 'value': '1.580385'}]",1.580385,2.417059,0.252086,,,0.059985,0.059985,5.13625,,0.063118,1.325484,25.729493,25.729493,1.94114,2025-12-13,2025-12-13,1,1597,1.628053,26,"[{'action_type': 'outbound_click', 'value': '26'}]","[{'action_type': 'outbound_click', 'value': '1.628053'}]",instagram,1597,41.09,53,4,53,581,267,158
,,,,,,,,,,,,,,,,,,,,,,,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,1,4,,,,,messenger,4,0.04,,,,,,
,1,,,,,,1,,,,,,,,,118,,118,,,,118,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,3.55,,,0.030085,0.030085,,,0.030085,,18.783069,18.783069,0,2025-12-13,2025-12-13,1,189,,,,,threads,189,3.55,22,7,23,103,60,42
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920992822784,03 Mike_gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0.01,,5,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6920992823384,02 Timothy_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,0,0,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0,,0,,,,
,9,,,5,3,3,9,,,,,,,,,66,,66,,,,61,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,5,,0.402,"[{'action_type': 'outbound_click', 'value': '0.402'}]",0.402,0.67,0.223333,,,0.030455,0.030455,,,0.032951,0.402,14.255319,15.112782,3.546099,2025-12-13,2025-12-13,1.06015,141,3.546099,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '3.546099'}]",facebook,133,2.01,6,6,6,55,38,24
,21,,,4,1,1,21,,,,1,,,,,132,,132,1,1,,127,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,5,,1.9225,"[{'action_type': 'outbound_click', 'value': '1.9225'}]",1.9225,7.69,0.36619,,,0.058258,0.058258,7.69,,0.060551,1.538,20.896739,21.068493,1.358696,2025-12-13,2025-12-13,1.008219,368,1.086957,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.086957'}]",instagram,365,7.69,9,3,9,109,44,24
,2,,,2,,,2,,,,,,,,,46,,46,,,,44,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,2,,0.45,"[{'action_type': 'outbound_click', 'value': '0.45'}]",0.45,,0.45,,,0.019565,0.019565,,,0.020455,0.45,15.254237,15.254237,3.389831,2025-12-13,2025-12-13,1,59,3.389831,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '3.389831'}]",threads,59,0.9,7,9,7,42,23,15
,8,,,1,1,1,8,,,,,,,,,2,,2,,,,1,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,,0.19,"[{'action_type': 'outbound_click', 'value': '0.19'}]",0.19,0.19,0.02375,,,0.095,0.095,,,0.19,0.19,38,38,20,2025-12-13,2025-12-13,1,5,20,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '20'}]",facebook,5,0.19,,3,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,32.5,32.5,0,2025-12-13,2025-12-13,1,4,,,,,instagram,4,0.13,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.03,0.03,,,0.03,,30,30,0,2025-12-13,2025-12-13,1,1,,,,,threads,1,0.03,,6,,1,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920994403184,01_black4_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-13,2025-12-13,1,1,,,,,facebook,1,0.01,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994403184,01_black4_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,33,,33,,,,33,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.033636,0.033636,,,0.033636,,17.903226,33.636364,0,2025-12-13,2025-12-13,1.878788,62,,,,,audience_network,33,1.11,5,4,5,22,11,10
,411,1,,63,24,24,411,,,,27,1,1,1,,1616,2,1616,31,28,,1522,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,62,"[{'action_type': 'subscribe_mobile_app', 'value': '21.0125'}, {'action_type': 'subscribe_total', 'value': '21.0125'}, {'action_type': 'start_trial_mobile_app', 'value': '12.007143'}, {'action_type': 'start_trial_total', 'value': '12.007143'}]",1.334127,"[{'action_type': 'outbound_click', 'value': '1.334127'}]",1.334127,3.502083,0.204501,,,0.052011,0.052011,2.71129,,0.055223,1.355645,26.614946,27.034416,1.963268,2025-12-13,2025-12-13,1.015761,3158,1.994934,63,"[{'action_type': 'outbound_click', 'value': '63'}]","[{'action_type': 'outbound_click', 'value': '1.994934'}]",facebook,3109,84.05,243,5,218,1404,915,652
,,,,4,,,,,,,2,,,,,80,,80,2,2,,74,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,6,,2.2175,"[{'action_type': 'outbound_click', 'value': '2.2175'}]",2.2175,,,,,0.110875,0.110875,4.435,,0.119865,1.478333,44.35,45.487179,3,2025-12-13,2025-12-13,1.025641,200,2,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '2'}]",instagram,195,8.87,6,4,6,69,37,25
,2,,,1,1,1,2,,,,,,,,,20,,20,,,,19,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,,1.44,"[{'action_type': 'outbound_click', 'value': '1.44'}]",1.44,1.44,0.72,,,0.072,0.072,,,0.075789,1.44,53.333333,53.333333,3.703704,2025-12-13,2025-12-13,1,27,3.703704,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.703704'}]",threads,27,1.44,8,9,8,19,13,11
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920994404184,04_fbg_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,0.09,0.09,,,0.09,,30,30,0,2025-12-13,2025-12-13,1,3,,,,,instagram,3,0.09,,1,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994404384,05_greendress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,1,3,,,,,facebook,3,0.06,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994404384,05_greendress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,83.333333,83.333333,0,2025-12-13,2025-12-13,1,3,,,,,instagram,3,0.25,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920995424984,01_Eddie_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,50,50,0,2025-12-13,2025-12-13,1,1,,,,,instagram,1,0.05,,3,,,,
1,265,1,,40,13,13,265,1,1,,9,,,,1,957,2,957,11,9,1,906,1,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,40,"[{'action_type': 'subscribe_mobile_app', 'value': '12.024591'}, {'action_type': 'subscribe_total', 'value': '12.024591'}, {'action_type': 'start_trial_mobile_app', 'value': '18.036887'}, {'action_type': 'start_trial_total', 'value': '18.036887'}]",0.901844,"[{'action_type': 'outbound_click', 'value': '0.901844'}]",0.901844,2.774906,0.136127,36.073774,,0.037695,0.037695,3.279434,36.073774,0.039817,0.901844,18.228284,18.575579,2.021223,2025-12-13,2025-12-13,1.019053,1979,2.021223,40,"[{'action_type': 'outbound_click', 'value': '40'}]","[{'action_type': 'outbound_click', 'value': '2.021223'}]",facebook,1942,36.073774,94,5,81,803,431,233
,291,,,32,32,32,291,,,,19,,,,,1110,3,1110,22,19,,1056,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,41,"[{'action_type': 'subscribe_mobile_app', 'value': '19.46537'}, {'action_type': 'subscribe_total', 'value': '19.46537'}, {'action_type': 'start_trial_mobile_app', 'value': '14.599027'}, {'action_type': 'start_trial_total', 'value': '14.599027'}]",1.824878,"[{'action_type': 'outbound_click', 'value': '1.824878'}]",1.824878,1.824878,0.200674,,,0.052609,0.052609,2.654369,,0.055299,1.424295,25.953826,25.953826,1.822222,2025-12-13,2025-12-13,1,2250,1.422222,32,"[{'action_type': 'outbound_click', 'value': '32'}]","[{'action_type': 'outbound_click', 'value': '1.422222'}]",instagram,2250,58.396109,79,4,79,883,416,208
