action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,1,,1,,,,1,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.03,0.03,,,0.03,,30,30,0,2025-11-30,2025-11-30,1,1,,,,,instagram,1,0.03,1,13,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,1620,1620,0,2025-11-30,2025-11-30,1,1,,,,,facebook,1,1.62,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,240,240,0,2025-11-30,2025-11-30,1,2,,,,,instagram,2,0.48,,1,,,,
,2,,,3,,,2,,,,,,,68,,68,,,,65,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,0.7,"[{'action_type': 'outbound_click', 'value': '0.7'}]",0.7,,1.05,,0.030882,0.030882,,,0.032308,1.05,22.826087,51.219512,2.173913,2025-11-30,2025-11-30,2.243902,92,3.26087,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '3.26087'}]",audience_network,41,2.1,12,6,14,60,40,25
,439,,,72,28,28,439,,,,,,,1445,,1445,12,12,,1361,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,69,"[{'action_type': 'subscribe_mobile_app', 'value': '26.7875'}, {'action_type': 'subscribe_total', 'value': '26.7875'}, {'action_type': 'start_trial_mobile_app', 'value': '13.39375'}, {'action_type': 'start_trial_total', 'value': '13.39375'}]",1.488194,"[{'action_type': 'outbound_click', 'value': '1.488194'}]",1.488194,3.826786,0.244077,,0.074152,0.074152,8.929167,,0.078729,1.552899,30.535765,32.45003,1.966372,2025-11-30,2025-11-30,1.062689,3509,2.051867,72,"[{'action_type': 'outbound_click', 'value': '72'}]","[{'action_type': 'outbound_click', 'value': '2.051867'}]",facebook,3302,107.15,289,4,275,1310,769,494
,18,,,8,1,1,18,,,,,,,306,,306,3,3,,295,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,10,,3.9725,"[{'action_type': 'outbound_click', 'value': '3.9725'}]",3.9725,31.78,1.765556,,0.103856,0.103856,10.593333,,0.107729,3.178,31.187439,31.465347,0.981354,2025-11-30,2025-11-30,1.008911,1019,0.785083,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '0.785083'}]",instagram,1010,31.78,31,3,31,279,105,68
,,,,,,,,,,,,,,95,,95,,,,95,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.046,0.046,,,0.046,,25.406977,25.406977,0,2025-11-30,2025-11-30,1,172,,,,,threads,172,4.37,19,6,20,89,52,30
,492,4,1,49,23,23,492,,,,,,,2631,,2631,11,10,,2571,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,49,"[{'action_type': 'subscribe_mobile_app', 'value': '31.934'}, {'action_type': 'subscribe_total', 'value': '31.934'}, {'action_type': 'start_trial_mobile_app', 'value': '17.741111'}, {'action_type': 'start_trial_total', 'value': '17.741111'}]",3.258571,"[{'action_type': 'outbound_click', 'value': '3.258571'}]",3.258571,6.942174,0.324533,,0.060688,0.060688,14.515455,,0.062104,3.258571,21.272315,22.800228,0.652811,2025-11-30,2025-11-30,1.071826,7506,0.652811,49,"[{'action_type': 'outbound_click', 'value': '49'}]","[{'action_type': 'outbound_click', 'value': '0.652811'}]",facebook,7003,159.67,228,3,209,2435,1098,578
,271,,,36,14,14,271,,,,,,,1538,2,1538,6,4,,1496,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,45,"[{'action_type': 'subscribe_mobile_app', 'value': '20.082'}, {'action_type': 'subscribe_total', 'value': '20.082'}, {'action_type': 'start_trial_mobile_app', 'value': '16.735'}, {'action_type': 'start_trial_total', 'value': '16.735'}]",2.789167,"[{'action_type': 'outbound_click', 'value': '2.868857'}]",2.789167,7.172143,0.370517,,0.065286,0.065286,16.735,,0.067119,2.231333,22.170457,22.377981,0.993597,2025-11-30,2025-11-30,1.00936,4529,0.794877,36,"[{'action_type': 'outbound_click', 'value': '35'}]","[{'action_type': 'outbound_click', 'value': '0.772798'}]",instagram,4487,100.41,81,3,81,1406,481,240
,2,,,2,,,2,,,,,,,97,,97,,,,95,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,2.005,"[{'action_type': 'outbound_click', 'value': '2.005'}]",2.005,,2.005,,0.04134,0.04134,,,0.042211,2.005,22.784091,22.784091,1.136364,2025-11-30,2025-11-30,1,176,1.136364,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.136364'}]",threads,176,4.01,21,6,21,90,55,30
