action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,1,,,,,,1,,,,,,,,,,,,,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,45-54,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,6908318943184,fwg_sliding,6908318942984,FB_iOS_Purchase_itoshi_fwgvariants,25-34,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,6910107137584,OG_fbg_variant,6910106337984,FB_iOS_Purchase_itoshi_fbgvariants_141125,45-54,6910102452984,FB_iOS_Purchase_itoshi_v1_set3,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,0,,,,,0,0,,,,,,
,3,,,,,,3,,,,,,,,,,,,,,6910489554384,kimk_twitt,6910489554184,FB_iOS_Purchase_itoshi_kimkvariants_151125,25-34,6910102452984,FB_iOS_Purchase_itoshi_v1_set3,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,6910489554384,kimk_twitt,6910489554184,FB_iOS_Purchase_itoshi_kimkvariants_151125,35-44,6910102452984,FB_iOS_Purchase_itoshi_v1_set3,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,6910489554784,kdash_sisters,6910489554184,FB_iOS_Purchase_itoshi_kimkvariants_151125,35-44,6910102452984,FB_iOS_Purchase_itoshi_v1_set3,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,0,,,,,0,0,,,,,,
,4,,,,,,4,,,,,,,,,,,,,,6912302343584,04 creatydesign06_natural-looking_y2k,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,35-44,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,0,,,,,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,6912306130584,10 kimk-braids_Slayer,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,45-54,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,0,,,,,0,0,,,,,,
,,,,,,,,,,,,,2,,2,1,1,,1,,6913347654184,tyson_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,18-24,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.075,0.075,0.15,,0.15,,150,150,0,2025-11-24,2025-11-24,1,1,,,,,1,0.15,,6,,1,,
,,,,,,,,,,,,,1,,1,,,,1,,6913347654184,tyson_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,35-44,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-11-24,2025-11-24,1,1,,,,,1,0.02,,4,,1,,
