action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,127,1,3,26,14,14,127,,,,,,718,,718,16,13,,676,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,27,ABOVE_AVERAGE,,0.760769,"[{'action_type': 'outbound_click', 'value': '0.760769'}]",0.760769,1.412857,0.155748,,0.027549,0.027549,1.23625,,0.02926,0.732593,10.571887,10.680346,1.443079,2025-12-02,2025-12-02,ABOVE_AVERAGE,1.010259,1871,1.389631,26,"[{'action_type': 'outbound_click', 'value': '26'}]","[{'action_type': 'outbound_click', 'value': '1.389631'}]",AVERAGE,1852,19.78,84,3,78,650,300,180
,540,2,1,122,55,55,540,,,2,2,,4443,2,4443,19,14,,4302,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,120,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '82.64'}, {'action_type': 'subscribe_total', 'value': '82.64'}, {'action_type': 'start_trial_mobile_app', 'value': '82.64'}, {'action_type': 'start_trial_total', 'value': '82.64'}]",0.677377,"[{'action_type': 'outbound_click', 'value': '0.677377'}]",0.677377,1.502545,0.153037,,0.0186,0.0186,4.349474,,0.01921,0.688667,9.118393,9.131492,1.324065,2025-12-02,2025-12-02,ABOVE_AVERAGE,1.001436,9063,1.346133,122,"[{'action_type': 'outbound_click', 'value': '122'}]","[{'action_type': 'outbound_click', 'value': '1.346133'}]",AVERAGE,9050,82.64,357,4,326,4103,1818,969
,,,,,,,,,,,,,1,,1,,,,1,,6913359259784,kendrick_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.07,0.07,,,0.07,,35,35,0,2025-12-02,2025-12-02,UNKNOWN,1,2,,,,,UNKNOWN,2,0.07,,4,,2,,
,4,,,4,1,1,4,,,,,,209,,209,1,1,,204,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,4,AVERAGE,,4.7975,"[{'action_type': 'outbound_click', 'value': '4.7975'}]",4.7975,19.19,4.7975,,0.091818,0.091818,19.19,,0.094069,4.7975,38.151093,38.38,0.795229,2025-12-02,2025-12-02,AVERAGE,1.006,503,0.795229,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '0.795229'}]",AVERAGE,500,19.19,37,4,37,193,105,67
,102,,,28,9,9,102,,,,,,1075,,1075,2,2,,1045,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,31,ABOVE_AVERAGE,,2.460357,"[{'action_type': 'outbound_click', 'value': '2.460357'}]",2.460357,7.654444,0.675392,,0.064084,0.064084,34.445,,0.065923,2.222258,25.373849,26.58819,1.141805,2025-12-02,2025-12-02,AVERAGE,1.047858,2715,1.031308,28,"[{'action_type': 'outbound_click', 'value': '28'}]","[{'action_type': 'outbound_click', 'value': '1.031308'}]",AVERAGE,2591,68.89,94,4,90,1001,429,237
,8,,1,6,,,8,,,,,,199,,199,4,3,,189,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,5,ABOVE_AVERAGE,,2.586667,"[{'action_type': 'outbound_click', 'value': '2.586667'}]",2.586667,,1.94,,0.07799,0.07799,3.88,,0.082116,3.104,23.658537,24.479495,0.762195,2025-12-02,2025-12-02,AVERAGE,1.0347,656,0.914634,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '0.914634'}]",AVERAGE,634,15.52,29,3,29,183,92,51
,108,,,13,5,5,108,,,,,,221,,221,,,,208,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,13,AVERAGE,"[{'action_type': 'start_trial_mobile_app', 'value': '9.865'}, {'action_type': 'start_trial_total', 'value': '9.865'}]",1.517692,"[{'action_type': 'outbound_click', 'value': '1.644167'}]",1.517692,3.946,0.182685,,0.089276,0.089276,,,0.094856,1.517692,35.358423,35.872727,2.329749,2025-12-02,2025-12-02,AVERAGE,1.014545,558,2.329749,13,"[{'action_type': 'outbound_click', 'value': '12'}]","[{'action_type': 'outbound_click', 'value': '2.150538'}]",AVERAGE,550,19.73,51,4,49,198,120,79
,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,33.684211,33.684211,0,2025-12-02,2025-12-02,UNKNOWN,1,19,,,,,UNKNOWN,19,0.64,,1,,,,
,,,,,,,,,,,,,1,,1,,,,1,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.07,0.07,,,0.07,,23.333333,23.333333,0,2025-12-02,2025-12-02,UNKNOWN,1,3,,,,,UNKNOWN,3,0.07,,3,,1,1,
,,,,,,,,,,,,,2,,2,,,,2,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.145,0.145,,,0.145,,58,58,0,2025-12-02,2025-12-02,UNKNOWN,1,5,,,,,UNKNOWN,5,0.29,,2,,2,,
2,201,,,44,17,17,201,2,2,,,2,1092,,1092,14,14,2,1034,2,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,43,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '34.655'}, {'action_type': 'subscribe_total', 'value': '34.655'}]",1.575227,"[{'action_type': 'outbound_click', 'value': '1.575227'}]",1.575227,4.077059,0.344826,34.655,0.063471,0.063471,4.950714,34.655,0.067031,1.61186,27.857717,29.493617,1.728296,2025-12-02,2025-12-02,AVERAGE,1.058723,2488,1.768489,44,"[{'action_type': 'outbound_click', 'value': '44'}]","[{'action_type': 'outbound_click', 'value': '1.768489'}]",AVERAGE,2350,69.31,203,5,188,907,519,430
,17,,,7,4,4,17,,,,,,182,,182,1,1,,174,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,8,ABOVE_AVERAGE,,2.235714,"[{'action_type': 'outbound_click', 'value': '2.235714'}]",2.235714,3.9125,0.920588,,0.085989,0.085989,15.65,,0.089943,1.95625,29.472693,30.329457,1.506591,2025-12-02,2025-12-02,ABOVE_AVERAGE,1.02907,531,1.318267,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '1.318267'}]",AVERAGE,516,15.65,31,9,31,150,81,57
,,,,,,,,,,,,,2,,2,,,,2,,6916167702784,08 aiartist3,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.24,0.24,,,0.24,,68.571429,68.571429,0,2025-12-02,2025-12-02,UNKNOWN,1,7,,,,,UNKNOWN,7,0.48,,2,,2,1,
3,683,1,1,167,66,66,683,3,3,5,5,3,3914,4,3914,65,55,3,3682,3,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,185,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '61.748'}, {'action_type': 'subscribe_total', 'value': '61.748'}, {'action_type': 'start_trial_mobile_app', 'value': '51.456667'}, {'action_type': 'start_trial_total', 'value': '51.456667'}]",1.848743,"[{'action_type': 'outbound_click', 'value': '1.848743'}]",1.848743,4.677879,0.452035,102.913333,0.078881,0.078881,4.749846,102.913333,0.083851,1.668865,29.723693,31.539483,1.781072,2025-12-02,2025-12-02,AVERAGE,1.061089,10387,1.607779,167,"[{'action_type': 'outbound_click', 'value': '167'}]","[{'action_type': 'outbound_click', 'value': '1.607779'}]",AVERAGE,9789,308.74,494,4,486,3329,1734,1073
,,,,,,,,,,,,,,,,,,,,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,150,150,0,2025-12-02,2025-12-02,UNKNOWN,1,1,,,,,UNKNOWN,1,0.15,,2,,,,
,,,,,,,,,,,,,,,,,,,,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,30,30,0,2025-12-02,2025-12-02,UNKNOWN,1,2,,,,,UNKNOWN,2,0.06,,1,,,,
