action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,40,,,5,2,2,40,,,1,1,,,114,,114,4,3,,105,,6922617314184,06_LioneM_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,6,ABOVE_AVERAGE,,2.612,"[{'action_type': 'outbound_click', 'value': '2.612'}]",2.612,6.53,0.3265,,0.114561,0.114561,3.265,,0.124381,2.176667,21.986532,24.007353,1.010101,2025-12-07,2025-12-07,AVERAGE,1.091912,594,0.841751,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '0.841751'}]",BELOW_AVERAGE_35,544,13.06,11,2,11,92,36,19
,9,,,1,,,9,,,,,,,31,,31,,,,30,,6922617563384,07_Morgan_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,4.54,"[{'action_type': 'outbound_click', 'value': '4.54'}]",4.54,,0.504444,,0.146452,0.146452,,,0.151333,4.54,34.393939,36.612903,0.757576,2025-12-07,2025-12-07,UNKNOWN,1.064516,132,0.757576,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.757576'}]",UNKNOWN,124,4.54,2,2,2,25,11,4
,,,,,,,,,,,,,,13,,13,,,,13,,6922617753784,09_oscar_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.073846,0.073846,,,0.073846,,25.945946,26.666667,0,2025-12-07,2025-12-07,UNKNOWN,1.027778,37,,,,,UNKNOWN,36,0.96,1,4,1,12,5,3
,,,,,,,,,,,,,,1,,1,,,,1,,6922618733184,08_Neymar_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.02,0.02,,,0.02,,6.666667,6.666667,0,2025-12-07,2025-12-07,UNKNOWN,1,3,,,,,UNKNOWN,3,0.02,,5,,1,,
,,,,,,,,,,,,,,3,,3,,,,3,,6922620119984,10_Pedro_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.076667,0.076667,,,0.076667,,13.529412,15.333333,0,2025-12-07,2025-12-07,UNKNOWN,1.133333,17,,,,,UNKNOWN,15,0.23,1,6,1,3,1,1
,7,,,1,1,1,7,,,1,1,,,60,,60,4,3,,55,,6922620236784,11_Timmy_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,7.86,"[{'action_type': 'outbound_click', 'value': '7.86'}]",7.86,7.86,1.122857,,0.131,0.131,1.965,,0.142909,7.86,45.172414,49.433962,0.574713,2025-12-07,2025-12-07,UNKNOWN,1.09434,174,0.574713,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.574713'}]",UNKNOWN,159,7.86,6,3,6,34,23,11
,16,,,5,4,4,16,,,,,,,84,,84,,,,79,,6922620509184,12_Tyson_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,6,UNKNOWN,,2.194,"[{'action_type': 'outbound_click', 'value': '2.194'}]",2.194,2.7425,0.685625,,0.130595,0.130595,,,0.138861,1.828333,32.746269,35.047923,1.791045,2025-12-07,2025-12-07,UNKNOWN,1.070288,335,1.492537,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.492537'}]",UNKNOWN,313,10.97,10,3,10,73,27,16
1,89,,,19,6,6,89,1,1,,,,1,486,,486,3,3,1,464,1,6922620631584,02_Eddie_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,17,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '19.145'}, {'action_type': 'subscribe_total', 'value': '19.145'}]",2.015263,"[{'action_type': 'outbound_click', 'value': '2.015263'}]",2.015263,6.381667,0.430225,38.29,0.078786,0.078786,12.763333,38.29,0.082522,2.252353,30.804505,32.895189,1.367659,2025-12-07,2025-12-07,AVERAGE,1.067869,1243,1.52856,19,"[{'action_type': 'outbound_click', 'value': '19'}]","[{'action_type': 'outbound_click', 'value': '1.52856'}]",AVERAGE,1164,38.29,97,6,93,403,214,155
,,,,,,,,,,,,,,,,,,,,,,6922620662784,03_Gael_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,,,,,,,25,25,0,2025-12-07,2025-12-07,UNKNOWN,1,2,,,,,UNKNOWN,2,0.05,,1,,,,
,,,,1,,,,,,,,,,103,,103,,,,102,,6922620689584,04_Javier_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,12.74,"[{'action_type': 'outbound_click', 'value': '12.74'}]",12.74,,,,0.123689,0.123689,,,0.124902,12.74,33.973333,35.786517,0.266667,2025-12-07,2025-12-07,UNKNOWN,1.053371,375,0.266667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.266667'}]",UNKNOWN,356,12.74,6,3,5,88,26,12
,,,,,,,,,,,,,,9,,9,,,,9,,6922620718984,05_Jesus_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.107778,0.107778,,,0.107778,,22.045455,23.095238,0,2025-12-07,2025-12-07,UNKNOWN,1.047619,44,,,,,UNKNOWN,42,0.97,,2,,6,1,1
,,,,9,1,1,,,,,,,,131,,131,2,2,,120,,6922621057784,07_Morgan_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,9,UNKNOWN,,2.047778,"[{'action_type': 'outbound_click', 'value': '2.047778'}]",2.047778,18.43,,,0.140687,0.140687,9.215,,0.153583,2.047778,27.182891,28.397535,1.327434,2025-12-07,2025-12-07,UNKNOWN,1.044684,678,1.327434,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '1.327434'}]",UNKNOWN,649,18.43,18,2,18,99,33,25
,,,,1,,,,,,,,,,23,,23,,,,22,,6922621362584,06_LioneM_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,2.59,"[{'action_type': 'outbound_click', 'value': '2.59'}]",2.59,,,,0.112609,0.112609,,,0.117727,2.59,23.761468,25.145631,0.917431,2025-12-07,2025-12-07,UNKNOWN,1.058252,109,0.917431,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.917431'}]",UNKNOWN,103,2.59,1,2,1,18,6,4
,,,,2,,,,,,,,,,9,,9,,,,7,,6922621725384,08_Neymar_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,0.15,"[{'action_type': 'outbound_click', 'value': '0.15'}]",0.15,,,,0.033333,0.033333,,,0.042857,0.3,15.789474,15.789474,5.263158,2025-12-07,2025-12-07,UNKNOWN,1,19,10.526316,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '10.526316'}]",UNKNOWN,19,0.3,1,5,1,5,1,1
,,,,,,,,,,,,,,3,,3,,,,3,,6922622059984,09_oscar_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.046667,0.046667,,,0.046667,,8.75,9.333333,0,2025-12-07,2025-12-07,UNKNOWN,1.066667,16,,,,,UNKNOWN,15,0.14,,3,,2,1,1
,,,,1,,,,,,,,,,9,,9,,,,8,,6922622253984,10_Pedro_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,0.76,"[{'action_type': 'outbound_click', 'value': '0.76'}]",0.76,,,,0.084444,0.084444,,,0.095,0.76,26.206897,26.206897,3.448276,2025-12-07,2025-12-07,UNKNOWN,1,29,3.448276,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.448276'}]",UNKNOWN,29,0.76,,3,,6,3,3
,,,,1,,,,,,,,,,37,,37,,,,36,,6922622745984,11_Timmy_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,4.07,"[{'action_type': 'outbound_click', 'value': '4.07'}]",4.07,,,,0.11,0.11,,,0.113056,4.07,32.301587,33.636364,0.793651,2025-12-07,2025-12-07,UNKNOWN,1.041322,126,0.793651,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.793651'}]",UNKNOWN,121,4.07,2,2,2,22,6,4
,,,,2,,,,,,,,,,36,,36,,,,34,,6922623122784,12_Tyson_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,1.12,"[{'action_type': 'outbound_click', 'value': '1.12'}]",1.12,,,,0.062222,0.062222,,,0.065882,2.24,30.684932,31.549296,1.369863,2025-12-07,2025-12-07,UNKNOWN,1.028169,73,2.739726,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '2.739726'}]",UNKNOWN,71,2.24,3,4,2,29,10,6
,12,,,6,3,3,12,,,,,,,115,,115,2,2,,107,,6922624055584,02_blackbodysuit_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,6,UNKNOWN,,2.081667,"[{'action_type': 'outbound_click', 'value': '2.081667'}]",2.081667,4.163333,1.040833,,0.108609,0.108609,6.245,,0.116729,2.081667,35.482955,39.77707,1.704545,2025-12-07,2025-12-07,UNKNOWN,1.121019,352,1.704545,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.704545'}]",UNKNOWN,314,12.49,10,3,9,82,40,21
,3,,,1,2,2,3,,,,,,,14,,14,,,,13,,6922624481184,03_blackNew_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,1.96,"[{'action_type': 'outbound_click', 'value': '1.96'}]",1.96,0.98,0.653333,,0.14,0.14,,,0.150769,1.96,40.833333,46.666667,2.083333,2025-12-07,2025-12-07,UNKNOWN,1.142857,48,2.083333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.083333'}]",UNKNOWN,42,1.96,3,4,2,11,5,4
,,,,,,,,,,,,,,8,,8,,,,8,,6922624897584,04_fbg Selfie_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.04,0.04,,,0.04,,12.307692,12.8,0,2025-12-07,2025-12-07,UNKNOWN,1.04,26,,,,,UNKNOWN,25,0.32,2,9,2,5,4,2
,1,,,2,,,1,,,,,,,13,,13,,,,11,,6922648508584,05_greendress_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,2,UNKNOWN,,1.025,"[{'action_type': 'outbound_click', 'value': '1.025'}]",1.025,,2.05,,0.157692,0.157692,,,0.186364,1.025,40.196078,41.836735,3.921569,2025-12-07,2025-12-07,UNKNOWN,1.040816,51,3.921569,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '3.921569'}]",UNKNOWN,49,2.05,4,14,3,10,8,6
,2,,,1,,,2,,,,,,,4,,4,,,,3,,6922648658784,06_greenhair_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,0.14,"[{'action_type': 'outbound_click', 'value': '0.14'}]",0.14,,0.07,,0.035,0.035,,,0.046667,0.14,20,20,14.285714,2025-12-07,2025-12-07,UNKNOWN,1,7,14.285714,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '14.285714'}]",UNKNOWN,7,0.14,,5,,3,2,1
,,,,1,,,,,,,,,,6,,6,,,,5,,6922648747384,07_nosering_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,1.09,"[{'action_type': 'outbound_click', 'value': '1.09'}]",1.09,,,,0.181667,0.181667,,,0.218,1.09,35.16129,37.586207,3.225806,2025-12-07,2025-12-07,UNKNOWN,1.068966,31,3.225806,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.225806'}]",UNKNOWN,29,1.09,1,9,1,3,1,1
,14,,,6,2,2,14,,,,,,,68,,68,,,,62,,6922648806784,09_red lipstick_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,6,UNKNOWN,,2.628333,"[{'action_type': 'outbound_click', 'value': '2.628333'}]",2.628333,7.885,1.126429,,0.231912,0.231912,,,0.254355,2.628333,47.5,55.724382,1.807229,2025-12-07,2025-12-07,UNKNOWN,1.173145,332,1.807229,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.807229'}]",UNKNOWN,283,15.77,11,3,11,47,21,16
,31,,,20,7,7,31,,,1,1,,,533,,533,5,4,,508,,6922648896584,08_reddress_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,21,ABOVE_AVERAGE,,2.274,"[{'action_type': 'outbound_click', 'value': '2.274'}]",2.274,6.497143,1.467097,,0.085328,0.085328,9.096,,0.089528,2.165714,24,26.534422,1.108179,2025-12-07,2025-12-07,AVERAGE,1.105601,1895,1.055409,20,"[{'action_type': 'outbound_click', 'value': '20'}]","[{'action_type': 'outbound_click', 'value': '1.055409'}]",AVERAGE,1714,45.48,76,4,75,450,218,142
,,,,,,,,,,,,,,,,,,,,,,6922649227984,10_redPants_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,,,,,,,6.666667,6.666667,0,2025-12-07,2025-12-07,UNKNOWN,1,3,,,,,UNKNOWN,3,0.02,,1,,,,
,,,,1,,,,,,,,,,20,,20,,,,19,,6922651586784,11_YellowDress_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,1.37,"[{'action_type': 'outbound_click', 'value': '1.37'}]",1.37,,,,0.0685,0.0685,,,0.072105,1.37,24.464286,25.37037,1.785714,2025-12-07,2025-12-07,UNKNOWN,1.037037,56,1.785714,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.785714'}]",UNKNOWN,54,1.37,3,5,3,16,9,8
,,,,,,,,,,,,,,,,,,,,,,6922651863184,02_Eddie_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,,,,,,,0,0,0,2025-12-07,2025-12-07,UNKNOWN,1,2,,,,,UNKNOWN,2,0,,1,,,,
,108,,1,33,16,16,108,,,,,,,1025,1,1025,11,9,,981,,6922652352184,06_michael_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,33,ABOVE_AVERAGE,,1.551212,"[{'action_type': 'outbound_click', 'value': '1.551212'}]",1.551212,3.199375,0.473981,,0.049941,0.049941,4.653636,,0.052181,1.551212,17.585022,18.910233,1.133631,2025-12-07,2025-12-07,AVERAGE,1.07536,2911,1.133631,33,"[{'action_type': 'outbound_click', 'value': '33'}]","[{'action_type': 'outbound_click', 'value': '1.133631'}]",AVERAGE,2707,51.19,99,8,95,874,446,276
,,,,1,,,,,,,,,,7,,7,,,,6,,6922652927584,04_Jesus_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,0.31,"[{'action_type': 'outbound_click', 'value': '0.31'}]",0.31,,,,0.044286,0.044286,,,0.051667,0.31,16.315789,16.315789,5.263158,2025-12-07,2025-12-07,UNKNOWN,1,19,5.263158,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '5.263158'}]",UNKNOWN,19,0.31,1,3,1,5,2,2
,,,,,,,,,,,,,,9,,9,,,,9,,6922653410384,05_lionel_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.068889,0.068889,,,0.068889,,16.756757,17.714286,0,2025-12-07,2025-12-07,UNKNOWN,1.057143,37,,,,,UNKNOWN,35,0.62,2,3,2,8,5,3
,,,,,,,,,,,,,,2,,2,,,,2,,6922654558384,07_morgan_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.315,0.315,,,0.315,,25.2,28.636364,0,2025-12-07,2025-12-07,UNKNOWN,1.136364,25,,,,,UNKNOWN,22,0.63,,1,,2,1,1
,,,,,,,,,,,,,,2,,2,,,,2,,6922655142584,08_neymar_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.065,0.065,,,0.065,,16.25,16.25,0,2025-12-07,2025-12-07,UNKNOWN,1,8,,,,,UNKNOWN,8,0.13,,2,,2,,
,,,,,,,,,,,,,,2,,2,,,,2,,6922655569384,09_pedro_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.045,0.045,,,0.045,,15,15,0,2025-12-07,2025-12-07,UNKNOWN,1,6,,,,,UNKNOWN,6,0.09,1,6,1,2,2,1
,,,,,,,,,,,,,,2,,2,,,,2,,6922656041784,10_Tyson_luther - kendrick,6922613868984,luther (kendrick),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,0.06,0.06,,,0.06,,13.333333,15,0,2025-12-07,2025-12-07,UNKNOWN,1.125,9,,,,,UNKNOWN,8,0.12,,2,,2,1,
,69,,,11,6,6,69,,,,,,,287,,287,3,3,,273,,6922657512784,prank,6922657511584,p_ads_newest_051225,6922611476584,FB_iOS_Purchase_RapSinging_251205,12,ABOVE_AVERAGE,,2.334545,"[{'action_type': 'outbound_click', 'value': '2.334545'}]",2.334545,4.28,0.372174,,0.089477,0.089477,8.56,,0.094066,2.14,28.533333,30.24735,1.333333,2025-12-07,2025-12-07,AVERAGE,1.060071,900,1.222222,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '1.222222'}]",AVERAGE,849,25.68,22,3,20,142,74,50
,,,,,,,,,,,,,,,,,,,,,,6922658469784,bustdown1,6922657511584,p_ads_newest_051225,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,,,,,,,,,27.777778,31.25,0,2025-12-07,2025-12-07,UNKNOWN,1.125,9,,,,,UNKNOWN,8,0.25,,1,,,,
,,,,1,,,,,,,,,,6,,6,,,,5,,6922658676184,bustdown2,6922657511584,p_ads_newest_051225,6922611476584,FB_iOS_Purchase_RapSinging_251205,1,UNKNOWN,,1,"[{'action_type': 'outbound_click', 'value': '1'}]",1,,,,0.166667,0.166667,,,0.2,1,45.454545,50,4.545455,2025-12-07,2025-12-07,UNKNOWN,1.1,22,4.545455,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '4.545455'}]",UNKNOWN,20,1,1,4,1,4,3,3
1,456,4,,82,51,51,456,1,1,1,1,1,1,1142,2,1142,19,16,1,1041,1,6922658870384,gasstation,6922657511584,p_ads_newest_051225,6922611476584,FB_iOS_Purchase_RapSinging_251205,89,UNKNOWN,"[{'action_type': 'subscribe_mobile_app', 'value': '153.87'}, {'action_type': 'subscribe_total', 'value': '153.87'}]",1.876463,"[{'action_type': 'outbound_click', 'value': '1.876463'}]",1.876463,3.017059,0.337434,153.87,0.134737,0.134737,8.098421,153.87,0.14781,1.728876,30.188346,35.437586,1.746125,2025-12-07,2025-12-07,UNKNOWN,1.173883,5097,1.608789,82,"[{'action_type': 'outbound_click', 'value': '82'}]","[{'action_type': 'outbound_click', 'value': '1.608789'}]",UNKNOWN,4342,153.87,82,3,77,573,303,198
