action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
15,1415,5,6,301,95,95,1415,15,15,3,3,2,15,7646,15,7646,115,91,15,7230,15,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,325,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '34.3125'}, {'action_type': 'subscribe_total', 'value': '34.3125'}]",1.36794,"[{'action_type': 'outbound_click', 'value': '1.36794'}]",1.36794,4.334211,0.290989,27.45,0.053852,0.053852,3.580435,27.45,0.05695,1.266923,22.464401,23.815721,1.773146,2025-12-07,2025-12-07,ABOVE_AVERAGE,1.060154,18329,1.642206,301,"[{'action_type': 'outbound_click', 'value': '301'}]","[{'action_type': 'outbound_click', 'value': '1.642206'}]",AVERAGE,17289,411.75,761,5,737,6481,3525,2162
,8,,,3,2,2,8,,,2,2,,,199,1,199,6,3,,190,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,3,UNKNOWN,,2.796667,"[{'action_type': 'outbound_click', 'value': '2.796667'}]",2.796667,4.195,1.04875,,0.042161,0.042161,1.398333,,0.044158,2.796667,16.983806,16.983806,0.607287,2025-12-07,2025-12-07,UNKNOWN,1,494,0.607287,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.607287'}]",UNKNOWN,494,8.39,8,4,9,159,74,44
,,,,,,,,,,,,,,1,,1,,,,1,,6920992824184,01 Jesus_travis - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-07,2025-12-07,UNKNOWN,1,2,,,,,UNKNOWN,2,0.03,,3,,1,,
6,1133,8,3,392,120,120,1133,6,6,4,4,4,6,8503,12,8503,129,110,6,7982,6,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,377,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '154.576667'}, {'action_type': 'subscribe_total', 'value': '154.576667'}]",1.182985,"[{'action_type': 'outbound_click', 'value': '1.182985'}]",1.182985,3.864417,0.409294,77.288333,0.054537,0.054537,3.594806,77.288333,0.058097,1.230053,26.975161,30.536679,2.193008,2025-12-07,2025-12-07,AVERAGE,1.13203,17191,2.280263,392,"[{'action_type': 'outbound_click', 'value': '392'}]","[{'action_type': 'outbound_click', 'value': '2.280263'}]",AVERAGE,15186,463.73,1431,5,1336,7380,4475,3179
,,,,,,,,,,,,,,1,,1,,,,1,,6920995425184,06_WillS_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0,0,,,0,,0,0,0,2025-12-07,2025-12-07,UNKNOWN,1,1,,,,,UNKNOWN,1,0,,4,,1,,
,,,,,,,,,,,,,,1,,1,,,,1,,6920995425384,02_jesus_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-07,2025-12-07,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,4,,1,,
6,1173,4,3,359,107,107,1173,6,6,3,3,4,6,8078,16,8078,151,129,6,7568,6,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,379,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '74.856667'}, {'action_type': 'subscribe_total', 'value': '74.856667'}]",1.251086,"[{'action_type': 'outbound_click', 'value': '1.258095'}]",1.251086,4.19757,0.382899,74.856667,0.0556,0.0556,2.974437,74.856667,0.059347,1.185066,25.577449,27.187651,2.158314,2025-12-07,2025-12-07,AVERAGE,1.062954,17560,2.044419,359,"[{'action_type': 'outbound_click', 'value': '357'}]","[{'action_type': 'outbound_click', 'value': '2.03303'}]",AVERAGE,16520,449.14,1013,4,994,6680,3622,2282
,,,,,,,,,,,,,,1,,1,,,,1,,6920995425984,05_Snoop_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.02,0.02,,,0.02,,10,20,0,2025-12-07,2025-12-07,UNKNOWN,2,2,,,,,UNKNOWN,1,0.02,,3,,1,,
,,,,,,,,,,,,,,1,,1,,,,1,,6920996505584,01_black4_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.04,0.04,,,0.04,,13.333333,13.333333,0,2025-12-07,2025-12-07,UNKNOWN,1,3,,,,,UNKNOWN,3,0.04,,6,,1,1,1
,,,,,,,,,,,,,,1,,1,,,,1,,6920996505984,04_fbg_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.08,0.08,,,0.08,,40,40,0,2025-12-07,2025-12-07,UNKNOWN,1,2,,,,,UNKNOWN,2,0.08,,2,,1,,
,,,,,,,,,,,,,,1,,1,,,,1,,6920996506184,03_blackbodysuit_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-07,2025-12-07,UNKNOWN,1,2,,,,,UNKNOWN,2,0.03,,3,,1,,
,,,,,,,,,,,,,,,,,,,,,,6920996506584,11_yellow dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,85,85,0,2025-12-07,2025-12-07,UNKNOWN,1,2,,,,,UNKNOWN,2,0.17,,1,,,,
2,824,6,1,168,83,83,824,2,2,4,4,,2,4537,10,4537,98,83,2,4271,2,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,165,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '121.41'}, {'action_type': 'subscribe_total', 'value': '121.41'}]",1.445357,"[{'action_type': 'outbound_click', 'value': '1.445357'}]",1.445357,2.925542,0.294684,121.41,0.05352,0.05352,2.477755,121.41,0.056853,1.471636,26.003427,28.00369,1.766974,2025-12-07,2025-12-07,AVERAGE,1.076923,9338,1.7991,168,"[{'action_type': 'outbound_click', 'value': '168'}]","[{'action_type': 'outbound_click', 'value': '1.7991'}]",AVERAGE,8671,242.82,560,5,530,3854,2346,1629
,,,,,,,,,,,,,,,,,,,,,,6920996507184,08_Red dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-07,2025-12-07,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,1,,,,
