action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
6,326,1,,40,12,12,326,6,6,5,1,1,2,6,2038,,2038,8,7,6,1990,6,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,38,"[{'action_type': 'subscribe_mobile_app', 'value': '27.904623'}, {'action_type': 'subscribe_total', 'value': '27.904623'}]",3.488078,"[{'action_type': 'outbound_click', 'value': '3.488078'}]",3.488078,11.626926,0.427985,23.253852,0.068461,0.068461,17.440389,23.253852,0.070112,3.671661,25.567732,28.175104,0.696353,2025-12-08,2025-12-08,1.101979,5457,0.733003,40,"[{'action_type': 'outbound_click', 'value': '40'}]","[{'action_type': 'outbound_click', 'value': '0.733003'}]",facebook,4952,139.523113,182,3,177,1891,838,443
8,569,,,68,41,41,569,8,8,9,3,3,,8,3347,3,3347,15,9,8,3264,8,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,88,"[{'action_type': 'subscribe_mobile_app', 'value': '61.349369'}, {'action_type': 'subscribe_total', 'value': '61.349369'}]",4.510983,"[{'action_type': 'outbound_click', 'value': '4.510983'}]",4.510983,7.48163,0.539098,38.343355,0.091648,0.091648,20.44979,38.343355,0.093979,3.48576,38.843465,40.281923,1.114347,2025-12-08,2025-12-08,1.037032,7897,0.861086,68,"[{'action_type': 'outbound_click', 'value': '68'}]","[{'action_type': 'outbound_click', 'value': '0.861086'}]",instagram,7615,306.746843,263,4,263,3093,1279,692
,,,,1,,,,,,,,,,,46,,46,,,,45,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.980044,"[{'action_type': 'outbound_click', 'value': '1.980044'}]",1.980044,,,,0.043044,0.043044,,,0.044001,1.980044,26.053213,26.053213,1.315789,2025-12-08,2025-12-08,1,76,1.315789,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.315789'}]",threads,76,1.980044,5,5,7,42,17,9
,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704784,tyson_rap_2_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-12-08,2025-12-08,1,1,,,,,facebook,1,0.02,,5,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-08,2025-12-08,1,1,,,,,facebook,1,0,,2,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-08,2025-12-08,1,2,,,,,instagram,2,0.03,,3,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6916162285584,01 Esha,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-08,2025-12-08,1,2,,,,,instagram,2,0.03,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6916164484784,04 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-12-08,2025-12-08,1,1,,,,,facebook,1,0.01,,2,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.22,0.22,,,0.22,,24.444444,27.5,0,2025-12-08,2025-12-08,1.125,9,,,,,facebook,8,0.22,,3,,1,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-08,2025-12-08,1,1,,,,,facebook,1,0.01,1,16,1,1,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6916167868984,09 anomansollips,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.07,0.07,,,0.07,,70,70,0,2025-12-08,2025-12-08,1,1,,,,,instagram,1,0.07,,8,,1,1,
,,,,,,,,,,,,,,,3,,3,,,,3,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.019999,0.019999,,,0.019999,,19.999117,29.998675,0,2025-12-08,2025-12-08,1.5,3,,,,,audience_network,2,0.059997,1,8,1,3,1,1
5,300,3,,67,26,26,300,5,5,16,,,,5,1872,1,1872,17,16,5,1788,5,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,66,"[{'action_type': 'subscribe_mobile_app', 'value': '26.838815'}, {'action_type': 'subscribe_total', 'value': '26.838815'}]",2.002897,"[{'action_type': 'outbound_click', 'value': '2.002897'}]",2.002897,5.161311,0.447314,26.838815,0.071685,0.071685,7.893769,26.838815,0.075053,2.033244,28.197956,30.715055,1.386846,2025-12-08,2025-12-08,1.089265,4759,1.407859,67,"[{'action_type': 'outbound_click', 'value': '67'}]","[{'action_type': 'outbound_click', 'value': '1.407859'}]",facebook,4369,134.194074,251,4,229,1641,899,577
9,685,,,115,66,66,685,9,9,35,9,9,2,9,3386,5,3386,51,37,9,3220,9,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,140,"[{'action_type': 'subscribe_mobile_app', 'value': '39.40826'}, {'action_type': 'subscribe_total', 'value': '39.40826'}]",2.741444,"[{'action_type': 'outbound_click', 'value': '2.741444'}]",2.741444,4.776759,0.460242,35.029564,0.093109,0.093109,6.181688,35.029564,0.097909,2.251901,34.686553,35.22526,1.540323,2025-12-08,2025-12-08,1.015531,9089,1.265266,115,"[{'action_type': 'outbound_click', 'value': '115'}]","[{'action_type': 'outbound_click', 'value': '1.265266'}]",instagram,8950,315.266077,327,5,328,2951,1453,906
,,,,1,,,,,,,,,,,87,,87,,,,86,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,3.349852,"[{'action_type': 'outbound_click', 'value': '3.349852'}]",3.349852,,,,0.038504,0.038504,,,0.038952,3.349852,20.55124,20.678099,0.613497,2025-12-08,2025-12-08,1.006173,163,0.613497,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.613497'}]",threads,162,3.349852,13,6,13,79,49,29
,,,,,,,,,,,,,,,,,,,,,,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,16.666667,16.666667,0,2025-12-08,2025-12-08,1,3,,,,,facebook,3,0.05,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,80,80,0,2025-12-08,2025-12-08,1,1,,,,,instagram,1,0.08,,1,,,,
,4,,,2,1,1,4,,,,,,,,21,,21,,,,19,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,0.620797,"[{'action_type': 'outbound_click', 'value': '0.620797'}]",0.620797,1.241595,0.310399,,0.059124,0.059124,,,0.065347,0.620797,62.079738,177.37068,10,2025-12-08,2025-12-08,2.857143,20,10,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '10'}]",audience_network,7,1.241595,5,7,5,16,10,5
