action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,30,30,0,2025-12-12,2025-12-12,1,1,,,,,1,0.03,,1,,,,
,,,,,,,,,,,,,,,,8,,8,,,,8,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.0775,0.0775,,,0.0775,,20.666667,20.666667,0,2025-12-12,2025-12-12,1,30,,,,,30,0.62,,2,,8,2,
,1,,,3,,,1,,,,2,,,,,110,,110,2,2,,105,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,4,,2.796667,"[{'action_type': 'outbound_click', 'value': '2.796667'}]",2.796667,,8.39,,0.076273,0.076273,4.195,,0.079905,2.0975,23.435754,24.532164,1.117318,2025-12-12,2025-12-12,1.046784,358,0.837989,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.837989'}]",342,8.39,14,3,14,101,49,29
,26,,,15,4,4,26,,,,2,,,,,385,,385,2,2,,368,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,15,,1.625333,"[{'action_type': 'outbound_click', 'value': '1.625333'}]",1.625333,6.095,0.937692,,0.063325,0.063325,12.19,,0.06625,1.625333,26.243272,27.610419,1.614639,2025-12-12,2025-12-12,1.052095,929,1.614639,15,"[{'action_type': 'outbound_click', 'value': '15'}]","[{'action_type': 'outbound_click', 'value': '1.614639'}]",883,24.38,38,4,36,344,150,95
,49,,,7,3,3,49,,,,2,,,2,,285,,285,4,4,,274,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,7,"[{'action_type': 'subscribe_mobile_app', 'value': '9.42'}, {'action_type': 'subscribe_total', 'value': '9.42'}, {'action_type': 'start_trial_mobile_app', 'value': '9.42'}, {'action_type': 'start_trial_total', 'value': '9.42'}]",2.691429,"[{'action_type': 'outbound_click', 'value': '2.691429'}]",2.691429,6.28,0.38449,,0.066105,0.066105,4.71,,0.068759,2.691429,29.810127,30.584416,1.107595,2025-12-12,2025-12-12,1.025974,632,1.107595,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '1.107595'}]",616,18.84,34,4,31,262,119,69
,13,,,4,,,13,,,,,,,,,41,,41,,,,37,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,4,,0.8225,"[{'action_type': 'outbound_click', 'value': '0.8225'}]",0.8225,,0.253077,,0.080244,0.080244,,,0.088919,0.8225,33.232323,36.153846,4.040404,2025-12-12,2025-12-12,1.087912,99,4.040404,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '4.040404'}]",91,3.29,6,4,6,36,19,13
,,,,,,,,,,,,,,,,8,,8,,,,8,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.045,0.045,,,0.045,,27.692308,27.692308,0,2025-12-12,2025-12-12,1,13,,,,,13,0.36,2,5,2,8,4,2
,,,,,,,,,,,,,,,,,,,,,,,,6915585772984,jesus_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-12,2025-12-12,1,1,,,,,1,0.01,,2,,,,
,2,,,3,,,2,,,,1,,,,,34,,34,1,1,,30,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,4,,0.87,"[{'action_type': 'outbound_click', 'value': '0.87'}]",0.87,,1.305,,0.076765,0.076765,2.61,,0.087,0.6525,16.111111,17.058824,2.469136,2025-12-12,2025-12-12,1.058824,162,1.851852,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.851852'}]",153,2.61,7,3,7,28,19,11
,45,1,,7,5,5,45,,,,,,,,,187,,187,,,,180,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,7,"[{'action_type': 'subscribe_mobile_app', 'value': '14.51'}, {'action_type': 'subscribe_total', 'value': '14.51'}, {'action_type': 'start_trial_mobile_app', 'value': '14.51'}, {'action_type': 'start_trial_total', 'value': '14.51'}]",2.072857,"[{'action_type': 'outbound_click', 'value': '2.072857'}]",2.072857,2.902,0.322444,,0.077594,0.077594,,,0.080611,2.072857,21.918429,22.671875,1.057402,2025-12-12,2025-12-12,1.034375,662,1.057402,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '1.057402'}]",640,14.51,26,3,26,176,104,57
,52,1,,17,2,2,52,,,,4,,,,,425,1,425,5,4,,403,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,15,,1.796471,"[{'action_type': 'outbound_click', 'value': '1.796471'}]",1.796471,15.27,0.587308,,0.071859,0.071859,6.108,,0.075782,2.036,23.510393,24.668821,1.154734,2025-12-12,2025-12-12,1.049273,1299,1.308699,17,"[{'action_type': 'outbound_click', 'value': '17'}]","[{'action_type': 'outbound_click', 'value': '1.308699'}]",1238,30.54,74,3,69,382,194,117
,72,,,19,6,6,72,,,,1,,,,,334,,334,1,1,,314,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,20,"[{'action_type': 'subscribe_mobile_app', 'value': '8.72'}, {'action_type': 'subscribe_total', 'value': '8.72'}, {'action_type': 'start_trial_mobile_app', 'value': '6.54'}, {'action_type': 'start_trial_total', 'value': '6.54'}]",1.376842,"[{'action_type': 'outbound_click', 'value': '1.453333'}]",1.376842,4.36,0.363333,,0.078323,0.078323,26.16,,0.083312,1.308,29.22905,31.25448,2.234637,2025-12-12,2025-12-12,1.069295,895,2.122905,19,"[{'action_type': 'outbound_click', 'value': '18'}]","[{'action_type': 'outbound_click', 'value': '2.011173'}]",837,26.16,53,3,49,297,157,96
,,,,3,,,,,,,1,,,,,70,,70,1,1,,66,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,,1.736667,"[{'action_type': 'outbound_click', 'value': '1.736667'}]",1.736667,,,,0.074429,0.074429,5.21,,0.078939,1.736667,32.160494,32.5625,1.851852,2025-12-12,2025-12-12,1.0125,162,1.851852,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.851852'}]",160,5.21,6,4,5,66,31,19
,,,,1,,,,,,,,,,,,9,,9,,,,8,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.69,"[{'action_type': 'outbound_click', 'value': '0.69'}]",0.69,,,,0.076667,0.076667,,,0.08625,0.69,25.555556,25.555556,3.703704,2025-12-12,2025-12-12,1,27,3.703704,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.703704'}]",27,0.69,1,3,1,8,4,3
,,,,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,25,25,0,2025-12-12,2025-12-12,1,2,,,,,2,0.05,,2,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.06,0.06,,,0.06,,60,60,0,2025-12-12,2025-12-12,1,1,,,,,1,0.06,1,13,1,1,1,1
,,,,,,,,,,,,,,,,5,,5,,,,5,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.098,0.098,,,0.098,,49,54.444444,0,2025-12-12,2025-12-12,1.111111,10,,,,,9,0.49,,4,,4,2,1
,1,,,1,,,1,,,,1,,,1,,38,,38,2,2,,35,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,2.48,"[{'action_type': 'outbound_click', 'value': '2.48'}]",2.48,,2.48,,0.065263,0.065263,1.24,,0.070857,2.48,21.946903,22.545455,0.884956,2025-12-12,2025-12-12,1.027273,113,0.884956,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.884956'}]",110,2.48,2,3,2,34,15,9
,176,,,20,11,11,176,,,,6,,,1,,468,,468,7,7,,441,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,26,"[{'action_type': 'subscribe_mobile_app', 'value': '19.02'}, {'action_type': 'subscribe_total', 'value': '19.02'}, {'action_type': 'start_trial_mobile_app', 'value': '12.68'}, {'action_type': 'start_trial_total', 'value': '12.68'}]",1.902,"[{'action_type': 'outbound_click', 'value': '1.902'}]",1.902,3.458182,0.216136,,0.081282,0.081282,5.434286,,0.086259,1.463077,28.774584,30.359138,1.966717,2025-12-12,2025-12-12,1.055068,1322,1.512859,20,"[{'action_type': 'outbound_click', 'value': '20'}]","[{'action_type': 'outbound_click', 'value': '1.512859'}]",1253,38.04,42,4,42,397,203,137
1,227,,,27,13,13,227,1,1,,13,,,,1,584,3,584,16,13,1,541,1,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,33,"[{'action_type': 'subscribe_mobile_app', 'value': '8.518'}, {'action_type': 'subscribe_total', 'value': '8.518'}, {'action_type': 'start_trial_mobile_app', 'value': '7.098333'}, {'action_type': 'start_trial_total', 'value': '7.098333'}]",1.577407,"[{'action_type': 'outbound_click', 'value': '1.577407'}]",1.577407,3.276154,0.187621,42.59,0.072928,0.072928,2.661875,42.59,0.078725,1.290606,33.015504,33.509048,2.55814,2025-12-12,2025-12-12,1.014949,1290,2.093023,27,"[{'action_type': 'outbound_click', 'value': '27'}]","[{'action_type': 'outbound_click', 'value': '2.093023'}]",1271,42.59,72,5,72,501,277,188
,12,,,3,,,12,,,,1,,,,,77,,77,1,1,,73,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,,2.136667,"[{'action_type': 'outbound_click', 'value': '2.136667'}]",2.136667,,0.534167,,0.083247,0.083247,6.41,,0.087808,2.136667,38.848485,40.314465,1.818182,2025-12-12,2025-12-12,1.037736,165,1.818182,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.818182'}]",159,6.41,6,4,6,68,29,21
,,,,1,,,,,,,,,,,,14,,14,,,,13,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.43,"[{'action_type': 'outbound_click', 'value': '1.43'}]",1.43,,,,0.102143,0.102143,,,0.11,1.43,31.086957,34.047619,2.173913,2025-12-12,2025-12-12,1.095238,46,2.173913,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.173913'}]",42,1.43,2,3,2,11,6,6
,,,,,,,,,,,,,,,,,,,,,,,,6916169150784,13 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-12,2025-12-12,1,1,,,,,1,0,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,60,60,0,2025-12-12,2025-12-12,1,2,,,,,2,0.12,,1,,,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.035,0.035,,,0.035,,14,14,0,2025-12-12,2025-12-12,1,5,,,,,5,0.07,,3,,2,,
,,,,,,,,,,,,,,,,8,,8,,,,8,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.05875,0.05875,,,0.05875,,18.8,18.8,0,2025-12-12,2025-12-12,1,25,,,,,25,0.47,,2,,7,1,1
,,,,,,,,,,,,,,,,8,,8,,,,8,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.05,0.05,,,0.05,,21.052632,22.222222,0,2025-12-12,2025-12-12,1.055556,19,,,,,18,0.4,,3,,6,2,1
,,,,,,,,,,,,,,,,5,,5,,,,5,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.026,0.026,,,0.026,,26,26,0,2025-12-12,2025-12-12,1,5,,,,,5,0.13,,4,,3,1,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.06,0.06,,,0.06,,30,30,0,2025-12-12,2025-12-12,1,2,,,,,2,0.06,,5,,1,1,
,1,,,,,,1,,,,,,,,,,,,,,,,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0,,,,,,,,,,,2025-12-12,2025-12-12,0,0,,,,,0,0,,,,,,
,2,,,,,,2,,,,,,,,,,,,,,,,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0,,,,,,,,,,,2025-12-12,2025-12-12,0,0,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-12,2025-12-12,1,1,,,,,1,0.01,,12,,1,1,1
,,,,,,,,,,,,,,,,4,,4,,,,4,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.0325,0.0325,,,0.0325,,14.444444,16.25,0,2025-12-12,2025-12-12,1.125,9,,,,,8,0.13,2,8,2,4,2,2
,,,,,,,,,,,,,,,,4,,4,,,,4,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.03,0.03,,,0.03,,10,10,0,2025-12-12,2025-12-12,1,12,,,,,12,0.12,,4,,4,2,2
,,,,,,,,,,,,,,,,3,,3,,,,3,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.04,0.04,,,0.04,,15,15,0,2025-12-12,2025-12-12,1,8,,,,,8,0.12,,3,,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,0,0,0,2025-12-12,2025-12-12,1,1,,,,,1,0,,2,,,,
,,,,1,,,,,,,,,,,,2,,2,,,,1,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.02,"[{'action_type': 'outbound_click', 'value': '0.02'}]",0.02,,,,0.01,0.01,,,0.02,0.02,10,20,50,2025-12-12,2025-12-12,2,2,50,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '50'}]",1,0.02,,6,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-12,2025-12-12,1,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,30,30,0,2025-12-12,2025-12-12,1,1,,,,,1,0.03,,2,,,,
,,,,4,1,1,,,,,2,,,,,148,,148,2,2,,142,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,6,,1.6325,"[{'action_type': 'outbound_click', 'value': '1.6325'}]",1.6325,6.53,,,0.044122,0.044122,3.265,,0.045986,1.088333,13.191919,13.632568,1.212121,2025-12-12,2025-12-12,1.033403,495,0.808081,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '0.808081'}]",479,6.53,14,3,13,127,59,40
,148,1,1,32,14,14,148,,,,6,,,,,1017,1,1017,8,6,,977,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,38,"[{'action_type': 'subscribe_mobile_app', 'value': '7.562'}, {'action_type': 'subscribe_total', 'value': '7.562'}, {'action_type': 'start_trial_mobile_app', 'value': '4.72625'}, {'action_type': 'start_trial_total', 'value': '4.72625'}]",1.181563,"[{'action_type': 'outbound_click', 'value': '1.181563'}]",1.181563,2.700714,0.255473,,0.037178,0.037178,4.72625,,0.0387,0.995,12.63281,13.234162,1.269629,2025-12-12,2025-12-12,1.047602,2993,1.069161,32,"[{'action_type': 'outbound_click', 'value': '32'}]","[{'action_type': 'outbound_click', 'value': '1.069161'}]",2857,37.81,82,3,78,834,425,260
