action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-12-12,2025-12-12,1,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,15,15,0,2025-12-12,2025-12-12,1,2,,,,,2,0.03,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-12-12,2025-12-12,1,1,,,,,1,0.01,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,30,30,0,2025-12-12,2025-12-12,1,1,,,,,1,0.03,,2,,,,
,,,,,,,,,,,,,,,,3,,3,,,,3,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.113333,0.113333,,,0.113333,,17.894737,17.894737,0,2025-12-12,2025-12-12,1,19,,,,,19,0.34,,2,,2,,
,,,,1,,,,,,,,,,,,30,,30,,,,29,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.61,"[{'action_type': 'outbound_click', 'value': '1.61'}]",1.61,,,,0.053667,0.053667,,,0.055517,1.61,18.089888,18.295455,1.123596,2025-12-12,2025-12-12,1.011364,89,1.123596,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.123596'}]",88,1.61,5,3,5,28,15,8
1,98,,,6,3,3,98,1,1,,,,,,1,297,,297,,,1,291,1,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,7,"[{'action_type': 'subscribe_mobile_app', 'value': '10.41'}, {'action_type': 'subscribe_total', 'value': '10.41'}, {'action_type': 'start_trial_mobile_app', 'value': '20.82'}, {'action_type': 'start_trial_total', 'value': '20.82'}]",3.47,"[{'action_type': 'outbound_click', 'value': '3.47'}]",3.47,6.94,0.212449,20.82,0.070101,0.070101,,20.82,0.071546,2.974286,23.986175,24.874552,0.806452,2025-12-12,2025-12-12,1.037037,868,0.691244,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '0.691244'}]",837,20.82,24,3,23,266,99,55
,147,,,19,12,12,147,,,,2,1,1,,,762,,762,3,2,,740,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,22,"[{'action_type': 'subscribe_mobile_app', 'value': '12.67'}, {'action_type': 'subscribe_total', 'value': '12.67'}, {'action_type': 'start_trial_mobile_app', 'value': '16.893333'}, {'action_type': 'start_trial_total', 'value': '16.893333'}]",2.667368,"[{'action_type': 'outbound_click', 'value': '2.667368'}]",2.667368,4.223333,0.344762,,0.066509,0.066509,16.893333,,0.068486,2.303636,29.396752,29.396752,1.276102,2025-12-12,2025-12-12,1,1724,1.102088,19,"[{'action_type': 'outbound_click', 'value': '19'}]","[{'action_type': 'outbound_click', 'value': '1.102088'}]",1724,50.68,61,3,61,695,280,158
,38,,,3,2,2,38,,,,2,,,,,247,,247,2,2,,242,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,4,,5.3,"[{'action_type': 'outbound_click', 'value': '5.3'}]",5.3,7.95,0.418421,,0.064372,0.064372,7.95,,0.065702,3.975,29.831144,31.11546,0.750469,2025-12-12,2025-12-12,1.043053,533,0.562852,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.562852'}]",511,15.9,23,4,22,223,100,50
,,,,1,,,,,,,1,,,,,26,,26,1,1,,24,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.81,"[{'action_type': 'outbound_click', 'value': '1.81'}]",1.81,,,,0.069615,0.069615,1.81,,0.075417,1.81,29.672131,31.206897,1.639344,2025-12-12,2025-12-12,1.051724,61,1.639344,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.639344'}]",58,1.81,4,4,4,23,11,8
