action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,1,,1,,,,1,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-15,2025-12-15,1,1,,,,,audience_network,1,0.01,,6,,1,,
,164,1,,45,22,22,164,,,,14,,,,,1267,1,1267,15,14,,1207,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,44,"[{'action_type': 'subscribe_mobile_app', 'value': '17.88'}, {'action_type': 'subscribe_total', 'value': '17.88'}]",1.589333,"[{'action_type': 'outbound_click', 'value': '1.589333'}]",1.589333,3.250909,0.436098,,0.056448,0.056448,4.768,,0.059254,1.625455,22.238806,23.737139,1.368159,2025-12-15,2025-12-15,1.067375,3216,1.399254,45,"[{'action_type': 'outbound_click', 'value': '45'}]","[{'action_type': 'outbound_click', 'value': '1.399254'}]",facebook,3013,71.52,151,3,139,1150,558,311
,3,,,5,1,1,3,,,,2,,,,,151,,151,2,2,,144,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,7,,1.61,"[{'action_type': 'outbound_click', 'value': '1.61'}]",1.61,8.05,2.683333,,0.053311,0.053311,4.025,,0.055903,1.15,20.431472,20.909091,1.77665,2025-12-15,2025-12-15,1.023377,394,1.269036,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.269036'}]",instagram,385,8.05,12,4,12,135,56,28
,,,,,,,,,,,,,,,,,,,,,,,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,14,14,0,2025-12-15,2025-12-15,1,10,,,,,messenger,10,0.14,,1,,,,
,,,,1,,,,,,,,,,,,52,,52,,,,51,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,1.63,"[{'action_type': 'outbound_click', 'value': '1.63'}]",1.63,,,,0.031346,0.031346,,,0.031961,1.63,18.314607,18.314607,1.123596,2025-12-15,2025-12-15,1,89,1.123596,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.123596'}]",threads,89,1.63,16,20,16,50,30,20
,,,,,,,,,,,,,,,,1,,1,,,,1,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.03,0.03,,,0.03,,10,10,0,2025-12-15,2025-12-15,1,3,,,,,audience_network,3,0.03,,2,,1,,
,45,,1,5,3,3,45,,,,3,,,,,222,1,222,5,3,,212,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,5,"[{'action_type': 'subscribe_mobile_app', 'value': '18.2'}, {'action_type': 'subscribe_total', 'value': '18.2'}, {'action_type': 'start_trial_mobile_app', 'value': '18.2'}, {'action_type': 'start_trial_total', 'value': '18.2'}]",3.64,"[{'action_type': 'outbound_click', 'value': '3.64'}]",3.64,6.066667,0.404444,,0.081982,0.081982,3.64,,0.085849,3.64,28.888889,31.164384,0.793651,2025-12-15,2025-12-15,1.078767,630,0.793651,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '0.793651'}]",facebook,584,18.2,41,4,37,201,114,65
,3,,,,,,3,,,,,,,,,22,,22,,,,22,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,,,,,0.63,,0.085909,0.085909,,,0.085909,1.89,20.769231,21.235955,1.098901,2025-12-15,2025-12-15,1.022472,91,,,,,instagram,89,1.89,4,3,4,21,11,8
,3,,,1,,,3,,,,,,,,,20,,20,,,,19,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.63,"[{'action_type': 'outbound_click', 'value': '0.63'}]",0.63,,0.21,,0.0315,0.0315,,,0.033158,0.63,15.365854,15.365854,2.439024,2025-12-15,2025-12-15,1,41,2.439024,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.439024'}]",threads,41,0.63,4,5,4,18,14,10
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.06,0.06,,,0.06,,15,15,0,2025-12-15,2025-12-15,1,4,,,,,facebook,4,0.06,1,19,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6916144704784,tyson_rap_2_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,1,1,,,,,instagram,1,0,,1,,,,
