action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,,,6917505480984,13 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,1,1,,,,,instagram,1,0,,2,,,,
,83,1,,33,10,10,83,,,,10,,,,,955,,955,10,10,,912,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,33,"[{'action_type': 'subscribe_mobile_app', 'value': '16.19'}, {'action_type': 'subscribe_total', 'value': '16.19'}, {'action_type': 'start_trial_mobile_app', 'value': '16.19'}, {'action_type': 'start_trial_total', 'value': '16.19'}]",0.981212,"[{'action_type': 'outbound_click', 'value': '0.981212'}]",0.981212,3.238,0.39012,,0.033906,0.033906,3.238,,0.035504,0.981212,12.168358,12.344644,1.240135,2025-12-15,2025-12-15,1.014487,2661,1.240135,33,"[{'action_type': 'outbound_click', 'value': '33'}]","[{'action_type': 'outbound_click', 'value': '1.240135'}]",facebook,2623,32.38,77,3,69,795,375,210
,79,,,14,6,6,79,,,,7,1,1,,,321,,321,8,7,,299,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,20,"[{'action_type': 'subscribe_mobile_app', 'value': '11.44'}, {'action_type': 'subscribe_total', 'value': '11.44'}]",0.817143,"[{'action_type': 'outbound_click', 'value': '0.817143'}]",0.817143,1.906667,0.14481,,0.035639,0.035639,1.43,,0.038261,0.572,12.599119,13.104238,2.202643,2025-12-15,2025-12-15,1.040092,908,1.54185,14,"[{'action_type': 'outbound_click', 'value': '14'}]","[{'action_type': 'outbound_click', 'value': '1.54185'}]",instagram,873,11.44,21,3,21,248,124,72
,,,,,,,,,,,,,,,,,,,,,,,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-15,2025-12-15,1,1,,,,,messenger,1,0.01,,,,,,
,1,,,1,,,1,,,,,,,,,96,,96,,,,95,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,1.9,"[{'action_type': 'outbound_click', 'value': '1.9'}]",1.9,,1.9,,0.019792,0.019792,,,0.02,1.9,11.875,11.949686,0.625,2025-12-15,2025-12-15,1.006289,160,0.625,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.625'}]",threads,159,1.9,15,13,15,79,54,30
,,,,,,,,,,,,,,,,,,,,,,,,6917505481384,01 Esha - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,1,1,,,,,instagram,1,0,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505481584,02 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-15,2025-12-15,1,2,,,,,facebook,2,0.03,,4,,1,1,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505481584,02 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.06,0.06,,,0.06,,60,60,0,2025-12-15,2025-12-15,1,1,,,,,instagram,1,0.06,,9,,1,1,
,109,,,16,10,10,109,,,,2,,,,,450,,450,2,2,,432,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,16,"[{'action_type': 'subscribe_mobile_app', 'value': '15.54'}, {'action_type': 'subscribe_total', 'value': '15.54'}]",0.97125,"[{'action_type': 'outbound_click', 'value': '0.97125'}]",0.97125,1.554,0.142569,,0.034533,0.034533,7.77,,0.035972,0.97125,11.553903,11.981496,1.189591,2025-12-15,2025-12-15,1.037008,1345,1.189591,16,"[{'action_type': 'outbound_click', 'value': '16'}]","[{'action_type': 'outbound_click', 'value': '1.189591'}]",facebook,1297,15.54,44,4,37,382,175,99
,237,,,31,18,18,237,,,,5,2,2,1,,840,3,840,11,6,,798,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,33,"[{'action_type': 'subscribe_mobile_app', 'value': '11.88'}, {'action_type': 'subscribe_total', 'value': '11.88'}]",1.149677,"[{'action_type': 'outbound_click', 'value': '1.149677'}]",1.149677,1.98,0.15038,,0.042429,0.042429,3.24,,0.044662,1.08,16.530612,16.882994,1.530612,2025-12-15,2025-12-15,1.021317,2156,1.437848,31,"[{'action_type': 'outbound_click', 'value': '31'}]","[{'action_type': 'outbound_click', 'value': '1.437848'}]",instagram,2111,35.64,84,5,84,730,357,229
,,,,,,,,,,,1,,,,,50,,50,1,1,,49,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.0272,0.0272,1.36,,0.027755,,13.877551,13.877551,0,2025-12-15,2025-12-15,1,98,,,,,threads,98,1.36,7,6,7,44,26,17
,224,,,27,7,7,224,,,,11,,,,,1141,2,1141,13,11,,1101,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,26,"[{'action_type': 'subscribe_mobile_app', 'value': '10.275'}, {'action_type': 'subscribe_total', 'value': '10.275'}, {'action_type': 'start_trial_mobile_app', 'value': '13.7'}, {'action_type': 'start_trial_total', 'value': '13.7'}]",1.522222,"[{'action_type': 'outbound_click', 'value': '1.522222'}]",1.522222,5.871429,0.183482,,0.036021,0.036021,3.161538,,0.03733,1.580769,17.631918,18.218085,1.115401,2025-12-15,2025-12-15,1.033245,2331,1.158301,27,"[{'action_type': 'outbound_click', 'value': '27'}]","[{'action_type': 'outbound_click', 'value': '1.158301'}]",facebook,2256,41.1,130,5,118,1010,611,380
,125,,,13,13,13,125,,,,5,,,,,651,,651,5,5,,633,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,15,"[{'action_type': 'subscribe_mobile_app', 'value': '8.665'}, {'action_type': 'subscribe_total', 'value': '8.665'}]",2.666154,"[{'action_type': 'outbound_click', 'value': '2.666154'}]",2.666154,2.666154,0.27728,,0.053241,0.053241,6.932,,0.054755,2.310667,22.984085,22.984085,0.994695,2025-12-15,2025-12-15,1,1508,0.862069,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '0.862069'}]",instagram,1508,34.66,59,4,59,571,261,166
,,,,,,,,,,,,,,,,77,,77,,,,77,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.030779,0.030779,,,0.030779,,16.690141,16.690141,0,2025-12-15,2025-12-15,1,142,,,,,threads,142,2.37,10,6,10,68,43,23
,11,,,6,,,11,,,,2,,,,,169,,169,2,2,,161,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,6,,0.898333,"[{'action_type': 'outbound_click', 'value': '0.898333'}]",0.898333,,0.49,,0.031893,0.031893,2.695,,0.033478,0.898333,14.411765,15.4,1.604278,2025-12-15,2025-12-15,1.068571,374,1.604278,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.604278'}]",facebook,350,5.39,11,4,9,138,78,46
,30,,,6,4,4,30,,,,2,,,,,304,,304,2,2,,296,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,8,,1.891667,"[{'action_type': 'outbound_click', 'value': '1.891667'}]",1.891667,2.8375,0.378333,,0.037336,0.037336,5.675,,0.038345,1.41875,15.829847,15.851955,1.11576,2025-12-15,2025-12-15,1.001397,717,0.83682,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '0.83682'}]",instagram,716,11.35,17,4,17,263,102,57
,3,,,1,1,1,3,,,,,,,,,76,,76,,,,75,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,1,,1.57,"[{'action_type': 'outbound_click', 'value': '1.57'}]",1.57,1.57,0.523333,,0.020658,0.020658,,,0.020933,1.57,13.534483,13.534483,0.862069,2025-12-15,2025-12-15,1,116,0.862069,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.862069'}]",threads,116,1.57,12,7,12,68,40,21
,,,,,,,,,,,,,,,,,,,,,,,,6920994402584,07_nose ring_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,5,5,0,2025-12-15,2025-12-15,1,2,,,,,instagram,2,0.01,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994402784,09_red lipstick_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,30,45,0,2025-12-15,2025-12-15,1.5,3,,,,,instagram,2,0.09,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-15,2025-12-15,1,1,,,,,facebook,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-15,2025-12-15,1,1,,,,,instagram,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,180,180,0,2025-12-15,2025-12-15,1,1,,,,,threads,1,0.18,,,,,,
,,,,,,,,,,,,,,,,35,,35,,,,35,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.027431,0.027431,,,0.027431,,14.770717,22.327828,0,2025-12-15,2025-12-15,1.511628,65,,,,,audience_network,43,0.960097,11,5,12,29,21,16
,379,3,,65,27,27,379,,,,26,,,,,1711,1,1711,27,26,,1619,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,64,"[{'action_type': 'subscribe_mobile_app', 'value': '17.983809'}, {'action_type': 'subscribe_total', 'value': '17.983809'}, {'action_type': 'start_trial_mobile_app', 'value': '89.919046'}, {'action_type': 'start_trial_total', 'value': '89.919046'}]",1.38337,"[{'action_type': 'outbound_click', 'value': '1.38337'}]",1.38337,3.330335,0.237253,,0.052554,0.052554,3.330335,,0.05554,1.404985,27.116721,28.347745,1.930036,2025-12-15,2025-12-15,1.045397,3316,1.960193,65,"[{'action_type': 'outbound_click', 'value': '65'}]","[{'action_type': 'outbound_click', 'value': '1.960193'}]",facebook,3172,89.919046,324,6,305,1509,955,722
,5,,,3,1,1,5,,,,5,,,,,120,,120,5,5,,112,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,4,,2.61693,"[{'action_type': 'outbound_click', 'value': '2.61693'}]",2.61693,7.85079,1.570158,,0.065423,0.065423,1.570158,,0.070096,1.962697,29.625622,30.195345,1.509434,2025-12-15,2025-12-15,1.019231,265,1.132075,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.132075'}]",instagram,260,7.85079,19,5,19,100,58,48
,,,,1,,,,,,,,,,,,15,,15,,,,14,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,,0.670067,"[{'action_type': 'outbound_click', 'value': '0.670067'}]",0.670067,,,,0.044671,0.044671,,,0.047862,0.670067,39.41573,39.41573,5.882353,2025-12-15,2025-12-15,1,17,5.882353,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '5.882353'}]",threads,17,0.670067,5,12,5,13,8,7
,,,,,,,,,,,,,,,,,,,,,,,,6920994404184,04_fbg_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,1,1,,,,,threads,1,0,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920994404384,05_greendress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,13.333333,13.333333,0,2025-12-15,2025-12-15,1,3,,,,,facebook,3,0.04,,1,,,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.025,0.025,,,0.025,,8.333333,10,0,2025-12-15,2025-12-15,1.2,6,,,,,audience_network,5,0.05,,6,,2,2,1
1,300,,,57,24,24,300,1,1,,9,,,1,1,1596,5,1596,15,10,1,1524,1,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,56,"[{'action_type': 'subscribe_mobile_app', 'value': '13.375'}, {'action_type': 'subscribe_total', 'value': '13.375'}]",0.938596,"[{'action_type': 'outbound_click', 'value': '0.938596'}]",0.938596,2.229167,0.178333,53.5,0.033521,0.033521,3.566667,53.5,0.035105,0.955357,16.236722,17.47224,1.699545,2025-12-15,2025-12-15,1.076094,3295,1.729894,57,"[{'action_type': 'outbound_click', 'value': '57'}]","[{'action_type': 'outbound_click', 'value': '1.729894'}]",facebook,3062,53.5,166,4,149,1334,704,428
,82,,2,24,7,7,82,,,,17,,,,,1000,,1000,19,17,,957,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,32,"[{'action_type': 'subscribe_mobile_app', 'value': '44.78'}, {'action_type': 'subscribe_total', 'value': '44.78'}]",1.865833,"[{'action_type': 'outbound_click', 'value': '1.865833'}]",1.865833,6.397143,0.546098,,0.04478,0.04478,2.356842,,0.046792,1.399375,20.876457,21.192617,1.491841,2025-12-15,2025-12-15,1.015144,2145,1.118881,24,"[{'action_type': 'outbound_click', 'value': '24'}]","[{'action_type': 'outbound_click', 'value': '1.118881'}]",instagram,2113,44.78,73,4,75,852,412,225
,,,,,,,,,,,,,,,,,,,,,,,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,1,1,,,,,messenger,1,0,,,,,,
,,,,,,,,,,,,,,,,27,,27,,,,27,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.02963,0.02963,,,0.02963,,18.604651,18.604651,0,2025-12-15,2025-12-15,1,43,,,,,threads,43,0.8,3,6,3,25,12,7
,,,,,,,,,,,,,,,,,,,,,,,,6920995425984,05_Snoop_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,1,1,,,,,facebook,1,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920995425984,05_Snoop_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-15,2025-12-15,1,1,,,,,instagram,1,0.01,,2,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920996505584,01_black4_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.38,0.38,,,0.38,,95,95,0,2025-12-15,2025-12-15,1,4,,,,,facebook,4,0.38,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920996505584,01_black4_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-15,2025-12-15,1,3,,,,,instagram,3,0.06,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920996505984,04_fbg_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-15,2025-12-15,1,2,,,,,facebook,2,0.03,,7,,1,1,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920996505984,04_fbg_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.04,0.04,,,0.04,,13.333333,13.333333,0,2025-12-15,2025-12-15,1,3,,,,,instagram,3,0.04,,3,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6920996505984,04_fbg_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,1,1,,,,,threads,1,0,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920996506384,06_green hair_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-15,2025-12-15,1,3,,,,,instagram,3,0.03,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920996506584,11_yellow dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.05,0.05,,,0.05,,50,50,0,2025-12-15,2025-12-15,1,1,,,,,facebook,1,0.05,,3,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920996506784,10_Red pants_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-15,2025-12-15,1,1,,,,,facebook,1,0.01,,12,,1,1,1
,3,,,,,,3,,,,,,,,,8,,8,,,,8,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,0.033337,,0.012501,0.012501,,,0.012501,,11.112283,12.501319,0,2025-12-15,2025-12-15,1.125,9,,,,,audience_network,8,0.100011,4,8,4,8,5,4
,451,,1,71,33,33,451,,,,22,,,,,2080,1,2080,24,22,,1985,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,68,"[{'action_type': 'subscribe_mobile_app', 'value': '7.71445'}, {'action_type': 'subscribe_total', 'value': '7.71445'}, {'action_type': 'start_trial_mobile_app', 'value': '21.214738'}, {'action_type': 'start_trial_total', 'value': '21.214738'}]",1.195196,"[{'action_type': 'outbound_click', 'value': '1.195196'}]",1.195196,2.571483,0.188157,,0.040798,0.040798,3.53579,,0.04275,1.247926,19.99033,20.596833,1.601885,2025-12-15,2025-12-15,1.03034,4245,1.672556,71,"[{'action_type': 'outbound_click', 'value': '71'}]","[{'action_type': 'outbound_click', 'value': '1.672556'}]",facebook,4120,84.85895,248,5,232,1816,1103,774
,3,,,3,,,3,,,,3,,,,,144,,144,3,3,,138,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,6,,3.217006,"[{'action_type': 'outbound_click', 'value': '3.217006'}]",3.217006,,3.217006,,0.067021,0.067021,3.217006,,0.069935,1.608503,27.893115,28.723268,1.734104,2025-12-15,2025-12-15,1.029762,346,0.867052,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.867052'}]",instagram,336,9.651018,16,5,16,129,79,55
,,,,,,,,,,,,,,,,5,,5,,,,5,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.040004,0.040004,,,0.040004,,18.183736,18.183736,0,2025-12-15,2025-12-15,1,11,,,,,threads,11,0.200021,2,10,2,5,3,2
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920996507584,05_greendress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.04,0.04,,,0.04,,13.333333,13.333333,0,2025-12-15,2025-12-15,1,3,,,,,facebook,3,0.04,,3,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6920999335984,11_yellow dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,36.666667,36.666667,0,2025-12-15,2025-12-15,1,3,,,,,facebook,3,0.11,,1,,,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6920999335984,11_yellow dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.035,0.035,,,0.035,,17.5,17.5,0,2025-12-15,2025-12-15,1,4,,,,,instagram,4,0.07,,6,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6920999335984,11_yellow dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,33.333333,33.333333,0,2025-12-15,2025-12-15,1,3,,,,,threads,3,0.1,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920999336184,07_nose ring_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-15,2025-12-15,1,1,,,,,facebook,1,0.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920999336184,07_nose ring_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,35,35,0,2025-12-15,2025-12-15,1,2,,,,,instagram,2,0.07,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920999336384,08_Red dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-15,2025-12-15,1,1,,,,,facebook,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920999336784,05_greendress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.16,0.16,,,0.16,,40,40,0,2025-12-15,2025-12-15,1,4,,,,,facebook,4,0.16,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920999336784,05_greendress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.05,0.05,,,0.05,,16.666667,16.666667,0,2025-12-15,2025-12-15,1,3,,,,,instagram,3,0.05,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6920999336984,03_blackbodysuit_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-15,2025-12-15,1,1,,,,,instagram,1,0.02,,2,,,,
,,,,,,,,,,,,,,,,12,,12,,,,12,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.025833,0.025833,,,0.025833,,19.375,28.181818,0,2025-12-15,2025-12-15,1.454545,16,,,,,audience_network,11,0.31,2,6,2,10,5,2
,118,4,,31,20,20,118,,,,8,,,1,,848,,848,9,9,,808,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,31,"[{'action_type': 'subscribe_mobile_app', 'value': '20.61'}, {'action_type': 'subscribe_total', 'value': '20.61'}]",1.329677,"[{'action_type': 'outbound_click', 'value': '1.329677'}]",1.329677,2.061,0.349322,,0.048608,0.048608,4.58,,0.051015,1.329677,23.785343,24.71223,1.788806,2025-12-15,2025-12-15,1.038969,1733,1.788806,31,"[{'action_type': 'outbound_click', 'value': '31'}]","[{'action_type': 'outbound_click', 'value': '1.788806'}]",facebook,1668,41.22,141,7,135,730,503,340
