action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,4,,,6,1,1,4,,,,,,203,1,203,3,2,,194,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,6,,1.081667,"[{'action_type': 'outbound_click', 'value': '1.081667'}]",1.081667,6.49,1.6225,,0.03197,0.03197,2.163333,,0.033454,1.081667,13.217923,13.808511,1.221996,2025-11-26,2025-11-26,1.044681,female,491,1.221996,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.221996'}]",470,6.49,20,4,16,182,89,43
,252,2,,57,24,24,252,,,,,,1459,3,1459,19,16,,1383,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,55,,0.596842,"[{'action_type': 'outbound_click', 'value': '0.596842'}]",0.596842,1.4175,0.135,,0.023317,0.023317,1.790526,,0.024599,0.618545,10.068067,10.512979,1.627701,2025-11-26,2025-11-26,1.04419,male,3379,1.68689,57,"[{'action_type': 'outbound_click', 'value': '57'}]","[{'action_type': 'outbound_click', 'value': '1.68689'}]",3236,34.02,161,4,153,1332,635,379
,,,,,,,,,,,,,8,,8,,,,8,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.03125,0.03125,,,0.03125,,10.416667,11.904762,0,2025-11-26,2025-11-26,1.142857,unknown,24,,,,,21,0.25,2,4,2,8,5,4
,89,,,17,8,8,89,,,,,,597,1,597,6,5,,574,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,17,"[{'action_type': 'start_trial_mobile_app', 'value': '14.37351'}, {'action_type': 'start_trial_total', 'value': '14.37351'}]",0.845501,"[{'action_type': 'outbound_click', 'value': '0.845501'}]",0.845501,1.796689,0.1615,,0.024076,0.024076,2.395585,,0.025041,0.845501,11.425683,11.820321,1.351351,2025-11-26,2025-11-26,1.034539,female,1258,1.351351,17,"[{'action_type': 'outbound_click', 'value': '17'}]","[{'action_type': 'outbound_click', 'value': '1.351351'}]",1216,14.37351,44,4,35,547,256,130
2,1087,1,1,217,90,90,1087,2,2,,,2,7848,,7848,38,37,2,7593,2,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,221,"[{'action_type': 'subscribe_mobile_app', 'value': '24.73604'}, {'action_type': 'subscribe_total', 'value': '24.73604'}, {'action_type': 'start_trial_mobile_app', 'value': '18.55203'}, {'action_type': 'start_trial_total', 'value': '18.55203'}]",0.683946,"[{'action_type': 'outbound_click', 'value': '0.683946'}]",0.683946,1.649069,0.136537,74.208121,0.018911,0.018911,3.905691,74.208121,0.019546,0.671567,9.341993,10.185728,1.391074,2025-11-26,2025-11-26,1.090316,male,15887,1.365897,217,"[{'action_type': 'outbound_click', 'value': '217'}]","[{'action_type': 'outbound_click', 'value': '1.365897'}]",14571,148.416241,643,4,593,7244,3259,1733
,,,,,,,,,,,,,51,,51,,,,51,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.020005,0.020005,,,0.020005,,10.739465,10.970421,0,2025-11-26,2025-11-26,1.021505,unknown,95,,,,,93,1.020249,3,4,1,50,17,11
,,,,,,,,,,,,,1,,1,,,,1,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-11-26,2025-11-26,1,male,1,,,,,1,0.01,,4,,1,,
,44,,,14,3,3,44,,,,,,260,,260,4,4,,242,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,12,"[{'action_type': 'start_trial_mobile_app', 'value': '22.89'}, {'action_type': 'start_trial_total', 'value': '22.89'}]",1.635,"[{'action_type': 'outbound_click', 'value': '1.635'}]",1.635,7.63,0.520227,,0.088038,0.088038,5.7225,,0.094587,1.9075,30.03937,32.514205,1.574803,2025-11-26,2025-11-26,1.082386,female,762,1.83727,14,"[{'action_type': 'outbound_click', 'value': '14'}]","[{'action_type': 'outbound_click', 'value': '1.83727'}]",704,22.89,50,4,47,233,115,73
,493,2,1,108,34,34,493,,,,,,2386,3,2386,18,14,,2260,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,113,"[{'action_type': 'subscribe_mobile_app', 'value': '22.111429'}, {'action_type': 'subscribe_total', 'value': '22.111429'}, {'action_type': 'start_trial_mobile_app', 'value': '14.070909'}, {'action_type': 'start_trial_total', 'value': '14.070909'}]",1.433148,"[{'action_type': 'outbound_click', 'value': '1.433148'}]",1.433148,4.552353,0.313955,,0.06487,0.06487,8.598889,,0.068487,1.369735,22.872765,25.118468,1.669868,2025-11-26,2025-11-26,1.098182,male,6767,1.59598,108,"[{'action_type': 'outbound_click', 'value': '108'}]","[{'action_type': 'outbound_click', 'value': '1.59598'}]",6162,154.78,385,4,367,2167,1135,718
,,,,1,,,,,,,,,24,,24,,,,23,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.69,"[{'action_type': 'outbound_click', 'value': '1.69'}]",1.69,,,,0.070417,0.070417,,,0.073478,1.69,27.258065,29.649123,1.612903,2025-11-26,2025-11-26,1.087719,unknown,62,1.612903,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.612903'}]",57,1.69,6,5,6,22,14,10
,9,,,10,2,2,9,,,1,1,,378,,378,5,4,,363,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,12,"[{'action_type': 'start_trial_mobile_app', 'value': '33.45'}, {'action_type': 'start_trial_total', 'value': '33.45'}]",3.345,"[{'action_type': 'outbound_click', 'value': '3.345'}]",3.345,16.725,3.716667,,0.088492,0.088492,6.69,,0.092149,2.7875,30.162308,31.145251,1.082056,2025-11-26,2025-11-26,1.032588,female,1109,0.901713,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '0.901713'}]",1074,33.45,25,3,26,331,139,79
,500,1,,55,35,35,500,,,,,,2241,,2241,4,4,,2182,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,58,"[{'action_type': 'subscribe_mobile_app', 'value': '32.225'}, {'action_type': 'subscribe_total', 'value': '32.225'}, {'action_type': 'start_trial_mobile_app', 'value': '10.741667'}, {'action_type': 'start_trial_total', 'value': '10.741667'}]",2.343636,"[{'action_type': 'outbound_click', 'value': '2.343636'}]",2.343636,3.682857,0.2578,,0.057519,0.057519,32.225,,0.059074,2.222414,21.214615,21.843755,0.954575,2025-11-26,2025-11-26,1.029656,male,6076,0.905201,55,"[{'action_type': 'outbound_click', 'value': '55'}]","[{'action_type': 'outbound_click', 'value': '0.905201'}]",5901,128.9,178,3,167,2064,900,475
,,,,1,,,,,,,,,17,,17,,,,16,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.28,"[{'action_type': 'outbound_click', 'value': '1.28'}]",1.28,,,,0.075294,0.075294,,,0.08,1.28,27.234043,27.826087,2.12766,2025-11-26,2025-11-26,1.021739,unknown,47,2.12766,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.12766'}]",46,1.28,1,3,1,15,4,3
,,,,,1,1,,,,,,,,,,,,,,,6914859920984,pose_bday,6914859920584,FB_iOS_Purchase_itoshi_bday_241125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,0,,,,,,,,,,,,2025-11-26,2025-11-26,0,female,0,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,15,15,0,2025-11-26,2025-11-26,1,female,4,,,,,4,0.06,,1,,,,
,,,,,,,,,,,,,5,,5,,,,5,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.14,0.14,,,0.14,,43.75,43.75,0,2025-11-26,2025-11-26,1,male,16,,,,,16,0.7,,2,,5,1,
,,,,,,,,,,,,,,,,,,,,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,30,30,0,2025-11-26,2025-11-26,1,female,1,,,,,1,0.03,,1,,,,
,,,,,,,,,,,,,2,,2,,,,2,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.14,0.14,,,0.14,,56,56,0,2025-11-26,2025-11-26,1,male,5,,,,,5,0.28,,3,,3,2,1
,29,,,3,2,2,29,,,,,,207,,207,2,2,,202,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,"[{'action_type': 'subscribe_mobile_app', 'value': '22.57'}, {'action_type': 'subscribe_total', 'value': '22.57'}, {'action_type': 'start_trial_mobile_app', 'value': '22.57'}, {'action_type': 'start_trial_total', 'value': '22.57'}]",7.523333,"[{'action_type': 'outbound_click', 'value': '7.523333'}]",7.523333,11.285,0.778276,,0.109034,0.109034,11.285,,0.111733,7.523333,37.805695,39.666081,0.502513,2025-11-26,2025-11-26,1.049209,female,597,0.502513,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.502513'}]",569,22.57,18,3,18,194,90,42
