action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
1,556,1,,73,45,45,556,1,1,,29,,,,1,2096,5,2096,34,29,1,1989,1,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,82,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '15.931667'}, {'action_type': 'subscribe_total', 'value': '15.931667'}, {'action_type': 'start_trial_mobile_app', 'value': '15.931667'}, {'action_type': 'start_trial_total', 'value': '15.931667'}]",1.309452,"[{'action_type': 'outbound_click', 'value': '1.309452'}]",1.309452,2.124222,0.171924,95.59,,0.045606,0.045606,2.811471,95.59,0.048059,1.165732,22.339332,22.339332,1.916336,2025-12-13,2025-12-13,ABOVE_AVERAGE,1,4279,1.706006,73,"[{'action_type': 'outbound_click', 'value': '73'}]","[{'action_type': 'outbound_click', 'value': '1.706006'}]",BELOW_AVERAGE_35,4279,95.59,180,5,167,1713,869,454
,,,,,,,,,,,,,,,,,,,,,,,,6920996506184,03_blackbodysuit_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920996506384,06_green hair_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,,30,30,0,2025-12-13,2025-12-13,UNKNOWN,1,1,,,,,UNKNOWN,1,0.03,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6920996506584,11_yellow dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,,5,5,0,2025-12-13,2025-12-13,UNKNOWN,1,2,,,,,UNKNOWN,2,0.01,,1,,,,
1,427,,,78,36,36,427,1,1,,26,,,,1,2074,2,2074,28,26,1,1968,1,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,79,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '14.182857'}, {'action_type': 'subscribe_total', 'value': '14.182857'}, {'action_type': 'start_trial_mobile_app', 'value': '9.928'}, {'action_type': 'start_trial_total', 'value': '9.928'}]",1.272821,"[{'action_type': 'outbound_click', 'value': '1.272821'}]",1.272821,2.757778,0.232506,99.28,,0.047869,0.047869,3.545714,99.28,0.050447,1.256709,23.190843,23.773946,1.845363,2025-12-13,2025-12-13,ABOVE_AVERAGE,1.025144,4281,1.822004,78,"[{'action_type': 'outbound_click', 'value': '78'}]","[{'action_type': 'outbound_click', 'value': '1.822004'}]",AVERAGE,4176,99.28,236,5,219,1783,1057,717
,,,,,,,,,,,1,,,,,3,,3,1,1,,2,,6920996507584,05_greendress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,0.113333,0.113333,0.34,,0.17,,34,37.777778,0,2025-12-13,2025-12-13,UNKNOWN,1.111111,10,,,,,UNKNOWN,9,0.34,,2,,2,1,
,,,,,,,,,,,,,,,,3,,3,,,,3,,6920999335984,11_yellow dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,UNKNOWN,,,,,,,,,0.063333,0.063333,,,0.063333,0.19,17.272727,19,9.090909,2025-12-13,2025-12-13,UNKNOWN,1.1,11,,,,,UNKNOWN,10,0.19,1,3,1,3,1,1
,,,,,,,,,,,,,,,,4,,4,,,,4,,6920999336184,07_nose ring_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,0.0975,0.0975,,,0.0975,,26,27.857143,0,2025-12-13,2025-12-13,UNKNOWN,1.071429,15,,,,,UNKNOWN,14,0.39,,2,,3,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6920999336384,08_Red dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,,80,80,0,2025-12-13,2025-12-13,UNKNOWN,1,2,,,,,UNKNOWN,2,0.16,,1,,,,
1,283,,,53,19,19,283,1,1,,9,2,2,1,1,1094,1,1094,13,10,1,1028,1,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,52,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '11.964'}, {'action_type': 'subscribe_total', 'value': '11.964'}, {'action_type': 'start_trial_mobile_app', 'value': '7.4775'}, {'action_type': 'start_trial_total', 'value': '7.4775'}]",1.128679,"[{'action_type': 'outbound_click', 'value': '1.128679'}]",1.128679,3.148421,0.211378,59.82,,0.05468,0.05468,4.601538,59.82,0.058191,1.150385,25.607877,26.789073,2.226027,2025-12-13,2025-12-13,AVERAGE,1.046126,2336,2.268836,53,"[{'action_type': 'outbound_click', 'value': '53'}]","[{'action_type': 'outbound_click', 'value': '2.268836'}]",BELOW_AVERAGE_35,2233,59.82,112,5,108,908,561,353
,,,,,,,,,,,,,,,,,,,,,,,,6920999337384,10_Red pants_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,,10,15,0,2025-12-13,2025-12-13,UNKNOWN,1.5,3,,,,,UNKNOWN,2,0.03,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920999337784,06_green hair_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,0.04,0.04,,,0.04,,20,20,0,2025-12-13,2025-12-13,UNKNOWN,1,2,,,,,UNKNOWN,2,0.04,,6,,1,1,
,84,1,,16,7,7,84,,,,10,1,1,,,621,,621,11,10,,594,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,15,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '37.78'}, {'action_type': 'subscribe_total', 'value': '37.78'}, {'action_type': 'start_trial_mobile_app', 'value': '37.78'}, {'action_type': 'start_trial_total', 'value': '37.78'}]",2.36125,"[{'action_type': 'outbound_click', 'value': '2.36125'}]",2.36125,5.397143,0.449762,,,0.060837,0.060837,3.434545,,0.063603,2.518667,27.043665,27.779412,1.073729,2025-12-13,2025-12-13,AVERAGE,1.027206,1397,1.145311,16,"[{'action_type': 'outbound_click', 'value': '16'}]","[{'action_type': 'outbound_click', 'value': '1.145311'}]",AVERAGE,1360,37.78,75,4,66,542,320,235
,4,,,,,,4,,,,,,,,,,,,,,,,,6922648896584,08_reddress_luther -  sza,6922613549784,luther (sza),6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,0,,,,,,,,,,,,2025-12-13,2025-12-13,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,362,2,2,84,31,31,362,,,,35,,,2,,2283,1,2283,40,37,,2159,,6924679041584,12_prerna_noendcardaudio,6924675697784,FB_iOS_Rap_StartTrial_winnersnomusic_091225,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,102,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '9.829'}, {'action_type': 'subscribe_total', 'value': '9.829'}, {'action_type': 'start_trial_mobile_app', 'value': '8.935455'}, {'action_type': 'start_trial_total', 'value': '8.935455'}]",1.170119,"[{'action_type': 'outbound_click', 'value': '1.170119'}]",1.170119,3.170645,0.271519,,,0.043053,0.043053,2.45725,,0.045526,0.963627,15.917409,15.971726,1.651822,2025-12-13,2025-12-13,ABOVE_AVERAGE,1.003412,6175,1.360324,84,"[{'action_type': 'outbound_click', 'value': '84'}]","[{'action_type': 'outbound_click', 'value': '1.360324'}]",AVERAGE,6154,98.29,181,4,176,1949,986,590
,16,1,,2,,,16,,,,,,,,,86,,86,,,,84,,6924697559784,02 Morgan_Gasstation_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,2,UNKNOWN,,2.165,"[{'action_type': 'outbound_click', 'value': '2.165'}]",2.165,,0.270625,,,0.050349,0.050349,,,0.051548,2.165,14.579125,14.931034,0.673401,2025-12-13,2025-12-13,UNKNOWN,1.024138,297,0.673401,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.673401'}]",UNKNOWN,290,4.33,10,3,10,68,33,23
,,,,,,,,,,,,,,,,9,,9,,,,9,,6924698562784,03 Morgan_Gasstation_gemini_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,,0.075556,0.075556,,,0.075556,,17.894737,17.894737,0,2025-12-13,2025-12-13,UNKNOWN,1,38,,,,,UNKNOWN,38,0.68,1,2,1,9,3,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6924705570784,04 Morgan_Gasstation_gemini_ginjuice,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,,0.03,0.03,,,0.03,,10,15,0,2025-12-13,2025-12-13,UNKNOWN,1.5,3,,,,,UNKNOWN,2,0.03,,3,,1,,
,82,,,4,4,4,82,,,,,,,,,117,,117,,,,113,,6924706270984,05 Eddie_Gasstation_gemini_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,6,UNKNOWN,"[{'action_type': 'subscribe_mobile_app', 'value': '3.445'}, {'action_type': 'subscribe_total', 'value': '3.445'}, {'action_type': 'start_trial_mobile_app', 'value': '3.445'}, {'action_type': 'start_trial_total', 'value': '3.445'}]",1.7225,"[{'action_type': 'outbound_click', 'value': '1.7225'}]",1.7225,1.7225,0.084024,,,0.058889,0.058889,,,0.060973,1.148333,19.29972,20.264706,1.680672,2025-12-13,2025-12-13,UNKNOWN,1.05,357,1.120448,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.120448'}]",UNKNOWN,340,6.89,14,4,13,98,46,25
,,,,,,,,,,,,,,,,5,,5,,,,5,,6924706727584,06 Eddie_Gasstation_gemini_ginjuice,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,,0.042,0.042,,,0.042,,16.153846,16.153846,0,2025-12-13,2025-12-13,UNKNOWN,1,13,,,,,UNKNOWN,13,0.21,1,3,1,4,1,1
,176,,,31,10,10,176,,,,2,,,,,785,1,785,3,2,,751,,6924707290984,07 Mike_Gasstation_gemini_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,34,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '22.143333'}, {'action_type': 'subscribe_total', 'value': '22.143333'}, {'action_type': 'start_trial_mobile_app', 'value': '22.143333'}, {'action_type': 'start_trial_total', 'value': '22.143333'}]",2.142903,"[{'action_type': 'outbound_click', 'value': '2.142903'}]",2.142903,6.643,0.377443,,,0.084624,0.084624,22.143333,,0.088455,1.953824,19.083597,20.308774,0.976731,2025-12-13,2025-12-13,AVERAGE,1.064201,3481,0.890549,31,"[{'action_type': 'outbound_click', 'value': '31'}]","[{'action_type': 'outbound_click', 'value': '0.890549'}]",AVERAGE,3271,66.43,81,3,80,641,289,173
,2,,,1,1,1,2,,,,,,,,,4,,4,,,,3,,6924708193184,08 Mike_Gasstation_gemini_ginjuice,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,1,UNKNOWN,,0.32,"[{'action_type': 'outbound_click', 'value': '0.32'}]",0.32,0.32,0.16,,,0.08,0.08,,,0.106667,0.32,26.666667,26.666667,8.333333,2025-12-13,2025-12-13,UNKNOWN,1,12,8.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '8.333333'}]",UNKNOWN,12,0.32,,2,,2,1,
,,,,,,,,,,,,,,,,,,,,,,,,6924712086784,01 Prerna_bodakyellow,6924712086984,FB_iOS_Rap_StartTrial_prernamusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,1,,,,
,275,2,2,77,23,23,275,,,,54,2,2,4,,2783,11,2783,73,58,,2633,,6924712553784,01 Morgan_Snoop_Ginndjuice_01,6924712553984,FB_iOS_Rap_StartTrial_morgancartextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,133,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '24.744'}, {'action_type': 'subscribe_total', 'value': '24.744'}, {'action_type': 'start_trial_mobile_app', 'value': '15.465'}, {'action_type': 'start_trial_total', 'value': '15.465'}]",1.606753,"[{'action_type': 'outbound_click', 'value': '1.606753'}]",1.606753,5.37913,0.449891,,,0.044456,0.044456,1.694795,,0.046988,0.930226,14.382702,15.122846,1.546152,2025-12-13,2025-12-13,ABOVE_AVERAGE,1.051461,8602,0.895141,77,"[{'action_type': 'outbound_click', 'value': '77'}]","[{'action_type': 'outbound_click', 'value': '0.895141'}]",AVERAGE,8181,123.72,282,3,276,2349,1169,696
,,,,,,,,,,,,,,,,1,,1,,,,1,,6924712908784,01 Prerna 01,6924712908584,FB_iOS_Rap_StartTrial_prernatextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,,0.03,0.03,,,0.03,,30,30,0,2025-12-13,2025-12-13,UNKNOWN,1,1,,,,,UNKNOWN,1,0.03,,6,,1,,
,415,,,70,25,25,415,,,,22,,,2,,2134,5,2134,29,24,,2035,,6924714716184,04 Morgan_humble,6924708943384,FB_iOS_Rap_StartTrial_morgancarmusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,69,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '15.416667'}, {'action_type': 'subscribe_total', 'value': '15.416667'}, {'action_type': 'start_trial_mobile_app', 'value': '11.5625'}, {'action_type': 'start_trial_total', 'value': '11.5625'}]",1.321429,"[{'action_type': 'outbound_click', 'value': '1.321429'}]",1.321429,3.7,0.222892,,,0.043346,0.043346,3.189655,,0.045455,1.34058,16.302432,16.873404,1.216073,2025-12-13,2025-12-13,AVERAGE,1.035024,5674,1.233698,70,"[{'action_type': 'outbound_click', 'value': '70'}]","[{'action_type': 'outbound_click', 'value': '1.233698'}]",AVERAGE,5482,92.5,154,4,144,1770,840,459
,277,1,,54,20,20,277,,,,16,1,1,,,1341,1,1341,18,16,,1269,,6924716345384,02 Prerna_tusa,6924712086984,FB_iOS_Rap_StartTrial_prernamusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,56,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '20.9275'}, {'action_type': 'subscribe_total', 'value': '20.9275'}, {'action_type': 'start_trial_mobile_app', 'value': '10.46375'}, {'action_type': 'start_trial_total', 'value': '10.46375'}]",1.550185,"[{'action_type': 'outbound_click', 'value': '1.550185'}]",1.550185,4.1855,0.302202,,,0.062424,0.062424,4.650556,,0.065965,1.494821,19.305812,20.146811,1.291513,2025-12-13,2025-12-13,ABOVE_AVERAGE,1.043562,4336,1.245387,54,"[{'action_type': 'outbound_click', 'value': '54'}]","[{'action_type': 'outbound_click', 'value': '1.245387'}]",AVERAGE,4155,83.71,145,3,137,1105,533,310
,,,,,,,,,,,,,,,,,,,,,,,,6924716404584,03 Prerna_up,6924712086984,FB_iOS_Rap_StartTrial_prernamusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,UNKNOWN,1,2,,,,,UNKNOWN,2,0.04,,3,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6924716446184,04 Prerna_fancy,6924712086984,FB_iOS_Rap_StartTrial_prernamusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,,0.03,0.03,,,0.03,,30,30,0,2025-12-13,2025-12-13,UNKNOWN,1,1,,,,,UNKNOWN,1,0.03,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6924716853184,05 Prerna_thot,6924712086984,FB_iOS_Rap_StartTrial_prernamusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,,,,,,,,30,30,0,2025-12-13,2025-12-13,UNKNOWN,1,1,,,,,UNKNOWN,1,0.03,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6924717875584,04 Morgan_Snoop_Ginndjuice_01,6924712553984,FB_iOS_Rap_StartTrial_morgancartextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,,0.06,0.06,,,0.06,,15,15,0,2025-12-13,2025-12-13,UNKNOWN,1,4,,,,,UNKNOWN,4,0.06,,2,,1,,
,140,,,22,12,12,140,,,,2,,,,,521,2,521,4,2,,495,,6924718889384,02 Prerna 01,6924712908584,FB_iOS_Rap_StartTrial_prernatextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,23,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '6.454'}, {'action_type': 'subscribe_total', 'value': '6.454'}, {'action_type': 'start_trial_mobile_app', 'value': '4.61'}, {'action_type': 'start_trial_total', 'value': '4.61'}]",1.466818,"[{'action_type': 'outbound_click', 'value': '1.466818'}]",1.466818,2.689167,0.2305,,,0.061939,0.061939,8.0675,,0.065192,1.403043,17.302949,18.556642,1.233244,2025-12-13,2025-12-13,AVERAGE,1.072455,1865,1.179625,22,"[{'action_type': 'outbound_click', 'value': '22'}]","[{'action_type': 'outbound_click', 'value': '1.179625'}]",AVERAGE,1739,32.27,56,3,54,437,203,124
,114,,,32,6,6,114,,,,8,1,1,2,,661,1,661,12,10,,617,,6924719922384,03 Prerna 01,6924712908584,FB_iOS_Rap_StartTrial_prernatextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,32,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '24.95'}, {'action_type': 'subscribe_total', 'value': '24.95'}, {'action_type': 'start_trial_mobile_app', 'value': '12.475'}, {'action_type': 'start_trial_total', 'value': '12.475'}]",1.559375,"[{'action_type': 'outbound_click', 'value': '1.559375'}]",1.559375,8.316667,0.437719,,,0.075492,0.075492,4.158333,,0.080875,1.559375,21.315677,22.040636,1.366937,2025-12-13,2025-12-13,ABOVE_AVERAGE,1.034011,2341,1.366937,32,"[{'action_type': 'outbound_click', 'value': '32'}]","[{'action_type': 'outbound_click', 'value': '1.366937'}]",BELOW_AVERAGE_35,2264,49.9,75,3,72,563,283,183
,40,1,,20,4,4,40,,,,4,,,,,494,,494,4,4,,470,,6925369207984,01Prerna_bollamarket1,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,19,ABOVE_AVERAGE,,1.4955,"[{'action_type': 'outbound_click', 'value': '1.4955'}]",1.4955,7.4775,0.74775,,,0.060547,0.060547,7.4775,,0.063638,1.574211,18.942369,20.236807,1.203293,2025-12-13,2025-12-13,AVERAGE,1.068336,1579,1.266624,20,"[{'action_type': 'outbound_click', 'value': '20'}]","[{'action_type': 'outbound_click', 'value': '1.266624'}]",AVERAGE,1478,29.91,39,3,38,396,216,123
,,,,,,,,,,,,,,,,,,,,,,,,6925374916984,02black04_gasstation_1,6925369208384,FB_iOS_Rap_StartTrial_black04upvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,,,,,,,,,,0,0,0,2025-12-13,2025-12-13,UNKNOWN,1,1,,,,,UNKNOWN,1,0,,2,,,,
,,,,1,1,1,,,,,,,,,,44,1,44,1,,,42,,6925375114184,03black04_gasstation2,6925369208384,FB_iOS_Rap_StartTrial_black04upvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,1,UNKNOWN,,3,"[{'action_type': 'outbound_click', 'value': '3'}]",3,3,,,,0.068182,0.068182,3,,0.071429,3,21.276596,21.582734,0.70922,2025-12-13,2025-12-13,UNKNOWN,1.014388,141,0.70922,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.70922'}]",UNKNOWN,139,3,6,3,5,36,20,19
,48,,,7,4,4,48,,,,,,,,,119,,119,,,,112,,6925378629584,02Prerna_gasstation1,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,7,UNKNOWN,"[{'action_type': 'subscribe_mobile_app', 'value': '4.145'}, {'action_type': 'subscribe_total', 'value': '4.145'}, {'action_type': 'start_trial_mobile_app', 'value': '4.145'}, {'action_type': 'start_trial_total', 'value': '4.145'}]",1.184286,"[{'action_type': 'outbound_click', 'value': '1.184286'}]",1.184286,2.0725,0.172708,,,0.069664,0.069664,,,0.074018,1.184286,21.202046,22.466125,1.790281,2025-12-13,2025-12-13,UNKNOWN,1.059621,391,1.790281,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '1.790281'}]",UNKNOWN,369,8.29,13,3,13,102,48,34
,,,,,,,,,,,,,,,,,,,,,,,,6925378999984,03Prerna_gasstation2,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,,,,,,,,,,30,30,0,2025-12-13,2025-12-13,UNKNOWN,1,2,,,,,UNKNOWN,2,0.06,,1,,,,
,2,,,3,1,1,2,,,,,,,,,80,,80,,,,77,,6925379086584,04Prerna_redcar,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,2,UNKNOWN,,2.526667,"[{'action_type': 'outbound_click', 'value': '2.526667'}]",2.526667,7.58,3.79,,,0.09475,0.09475,,,0.098442,3.79,33.839286,34.298643,0.892857,2025-12-13,2025-12-13,UNKNOWN,1.013575,224,1.339286,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.339286'}]",UNKNOWN,221,7.58,8,4,8,70,40,27
,6,,,4,,,6,,,,1,,,,,66,,66,1,1,,61,,6926060791784,02_blonde_jumpoff_gasstation1,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,5,UNKNOWN,,1.5,"[{'action_type': 'outbound_click', 'value': '1.5'}]",1.5,,1,,,0.090909,0.090909,6,,0.098361,1.2,32.085562,35.294118,2.673797,2025-12-13,2025-12-13,UNKNOWN,1.1,187,2.139037,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '2.139037'}]",UNKNOWN,170,6,5,3,5,49,25,16
,,,,,,,,,,,,,,,,,,,,,,,,6926063705384,03_blonde_jumpoff_gasstation2,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,1,,,,
,1,,,1,,,1,,,,,,,,,3,,3,,,,2,,6926065374784,08_blonde_jumpoff_bolla1,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,1,UNKNOWN,,0.12,"[{'action_type': 'outbound_click', 'value': '0.12'}]",0.12,,0.12,,,0.04,0.04,,,0.06,0.12,20,20,16.666667,2025-12-13,2025-12-13,UNKNOWN,1,6,16.666667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '16.666667'}]",UNKNOWN,6,0.12,,4,,1,1,1
,,,,,,,,,,,,,,,,2,,2,,,,2,,6926065580384,10_blonde_jumpoff_bolla2,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,,,,0.08,0.08,,,0.08,,20,22.857143,0,2025-12-13,2025-12-13,UNKNOWN,1.142857,8,,,,,UNKNOWN,7,0.16,1,4,1,2,1,1
,,,,1,,,,,,,,,,,,5,,5,,,,4,,6926065746384,11_blonde_jumpoff_gasstation4,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,0.16,"[{'action_type': 'outbound_click', 'value': '0.16'}]",0.16,,,,,0.032,0.032,,,0.04,,32,40,0,2025-12-13,2025-12-13,UNKNOWN,1.25,5,20,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '20'}]",UNKNOWN,4,0.16,3,12,3,4,3,3
