action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,,10,10,0,2025-12-13,2025-12-13,UNKNOWN,1,2,,,,,UNKNOWN,2,0.02,,1,,,,
1,338,,,53,23,23,338,1,1,,12,2,2,2,1,1100,,1100,16,14,1,1031,1,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,58,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '11.655'}, {'action_type': 'subscribe_total', 'value': '11.655'}, {'action_type': 'start_trial_mobile_app', 'value': '11.655'}, {'action_type': 'start_trial_total', 'value': '11.655'}]",1.759245,"[{'action_type': 'outbound_click', 'value': '1.759245'}]",1.759245,4.053913,0.275858,93.24,,0.084764,0.084764,5.8275,93.24,0.090436,1.607586,31.341176,32.738764,1.94958,2025-12-13,2025-12-13,ABOVE_AVERAGE,1.044593,2975,1.781513,53,"[{'action_type': 'outbound_click', 'value': '53'}]","[{'action_type': 'outbound_click', 'value': '1.781513'}]",BELOW_AVERAGE_35,2848,93.24,113,4,111,939,476,314
,,,,,,,,,,,,,,,,18,,18,,,,18,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,UNKNOWN,,,,,,,,,0.06,0.06,,,0.06,1.08,20.377358,20.377358,1.886792,2025-12-13,2025-12-13,UNKNOWN,1,53,,,,,UNKNOWN,53,1.08,2,3,2,15,4,3
,,,,1,,,,,,,,,,,,12,,12,,,,11,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,UNKNOWN,,0.61,"[{'action_type': 'outbound_click', 'value': '0.61'}]",0.61,,,,,0.050833,0.050833,,,0.055455,0.61,25.416667,25.416667,4.166667,2025-12-13,2025-12-13,UNKNOWN,1,24,4.166667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '4.166667'}]",UNKNOWN,24,0.61,,3,,9,3,2
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-13,2025-12-13,UNKNOWN,1,2,,,,,UNKNOWN,2,0.03,,6,,1,1,1
,1,,,,,,1,,,,,,,,,,,,,,,,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,0,,,,,,,,,,,,2025-12-13,2025-12-13,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6917461954784,04 will_rapGod - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,,30,30,0,2025-12-13,2025-12-13,UNKNOWN,1,4,,,,,UNKNOWN,4,0.12,,2,,,,
,,,,,,,,,,,,,,,,10,,10,,,,10,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,0.042,0.042,,,0.042,,16.8,16.8,0,2025-12-13,2025-12-13,UNKNOWN,1,25,,,,,UNKNOWN,25,0.42,1,4,1,9,6,3
,,,,,,,,,,,,,,,,6,,6,,,,6,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,0.075,0.075,,,0.075,,25,25,0,2025-12-13,2025-12-13,UNKNOWN,1,18,,,,,UNKNOWN,18,0.45,,2,,3,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461955984,02 Mike_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-13,2025-12-13,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,4,,1,,
