action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
1,174,,,16,9,9,174,1,1,3,3,3,,1,833,,833,6,3,1,811,1,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,18,"[{'action_type': 'subscribe_mobile_app', 'value': '96.26'}, {'action_type': 'subscribe_total', 'value': '96.26'}]",6.01625,"[{'action_type': 'outbound_click', 'value': '6.01625'}]",6.01625,10.695556,0.553218,96.26,0.115558,0.115558,16.043333,96.26,0.118693,5.347778,47.724343,47.724343,0.892414,2025-12-08,2025-12-08,1,female,2017,0.793257,16,"[{'action_type': 'outbound_click', 'value': '16'}]","[{'action_type': 'outbound_click', 'value': '0.793257'}]",2017,96.26,59,4,60,775,306,165
13,720,1,,91,44,44,720,13,13,11,1,1,2,13,4552,3,4552,17,13,13,4444,13,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,107,"[{'action_type': 'subscribe_mobile_app', 'value': '38.703333'}, {'action_type': 'subscribe_total', 'value': '38.703333'}]",3.827802,"[{'action_type': 'outbound_click', 'value': '3.827802'}]",3.827802,7.916591,0.483792,26.794615,0.076522,0.076522,20.49,26.794615,0.078382,3.255421,30.809305,33.867769,0.9464,2025-12-08,2025-12-08,1.099271,male,11306,0.804882,91,"[{'action_type': 'outbound_click', 'value': '91'}]","[{'action_type': 'outbound_click', 'value': '0.804882'}]",10285,348.33,387,4,383,4210,1809,968
,1,,,2,,,1,,,,,,,,46,,46,,,,44,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,1.83,"[{'action_type': 'outbound_click', 'value': '1.83'}]",1.83,,3.66,,0.079565,0.079565,,,0.083182,1.83,34.205607,35.533981,1.869159,2025-12-08,2025-12-08,1.038835,unknown,107,1.869159,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.869159'}]",103,3.66,4,4,4,41,19,11
,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704784,tyson_rap_2_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-12-08,2025-12-08,1,female,1,,,,,1,0.02,,5,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-08,2025-12-08,1,female,1,,,,,1,0,,2,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-08,2025-12-08,1,male,2,,,,,2,0.03,,3,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6916162285584,01 Esha,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-08,2025-12-08,1,female,2,,,,,2,0.03,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6916164484784,04 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-12-08,2025-12-08,1,male,1,,,,,1,0.01,,2,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.22,0.22,,,0.22,,24.444444,27.5,0,2025-12-08,2025-12-08,1.125,female,9,,,,,8,0.22,,3,,1,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-08,2025-12-08,1,female,1,,,,,1,0.01,1,16,1,1,1,1
