action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,4,,,3,,,4,,,,1,,,,,57,,57,1,1,,53,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,,0.92,"[{'action_type': 'outbound_click', 'value': '0.92'}]",0.92,,0.69,,0.048421,0.048421,2.76,,0.052075,0.92,21.5625,23,2.34375,2025-12-15,2025-12-15,1.066667,128,2.34375,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.34375'}]",120,2.76,2,4,2,48,16,10
,,,,,,,,,,,,,,,,12,,12,,,,12,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.053333,0.053333,,,0.053333,,22.068966,22.068966,0,2025-12-15,2025-12-15,1,29,,,,,29,0.64,,3,,7,4,
,,,,,,,,,,,,,,,,,,,,,,,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,27.5,27.5,0,2025-12-15,2025-12-15,1,4,,,,,4,0.11,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.11,0.11,,,0.11,,27.5,27.5,0,2025-12-15,2025-12-15,1,4,,,,,4,0.11,1,5,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,15,15,0,2025-12-15,2025-12-15,1,2,,,,,2,0.03,,1,,,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.03,0.03,,,0.03,,12,12,0,2025-12-15,2025-12-15,1,5,,,,,5,0.06,1,5,1,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,11,11,0,2025-12-15,2025-12-15,1,10,,,,,10,0.11,,1,,,,
,,,,,,,,,,,,,,,,8,,8,,,,8,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,,,,,,,0.055,0.055,,,0.055,0.22,29.333333,29.333333,13.333333,2025-12-15,2025-12-15,1,15,,,,,15,0.44,1,6,1,7,5,4
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.06,0.06,,,0.06,,20,20,0,2025-12-15,2025-12-15,1,3,,,,,3,0.06,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,20,20,0,2025-12-15,2025-12-15,1,1,,,,,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,30,30,0,2025-12-15,2025-12-15,1,3,,,,,3,0.09,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461955784,03 Mike_gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.1,0.1,,,0.1,,25,25,0,2025-12-15,2025-12-15,1,4,,,,,4,0.1,,2,,,,
,,,,2,,,,,,,,,,,,43,,43,,,,41,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,0.775,"[{'action_type': 'outbound_click', 'value': '0.775'}]",0.775,,,,0.036047,0.036047,,,0.037805,0.775,12.109375,12.301587,1.5625,2025-12-15,2025-12-15,1.015873,128,1.5625,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.5625'}]",126,1.55,7,3,6,39,21,16
,220,,1,27,11,11,220,,,,2,2,2,1,,653,,653,6,3,,620,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,27,"[{'action_type': 'subscribe_mobile_app', 'value': '5.16'}, {'action_type': 'subscribe_total', 'value': '5.16'}, {'action_type': 'start_trial_mobile_app', 'value': '10.32'}, {'action_type': 'start_trial_total', 'value': '10.32'}]",0.764444,"[{'action_type': 'outbound_click', 'value': '0.764444'}]",0.764444,1.876364,0.093818,,0.031608,0.031608,3.44,,0.03329,0.764444,10.535988,10.868878,1.378254,2025-12-15,2025-12-15,1.031596,1959,1.378254,27,"[{'action_type': 'outbound_click', 'value': '27'}]","[{'action_type': 'outbound_click', 'value': '1.378254'}]",1899,20.64,56,3,56,539,271,176
,213,,,44,15,15,213,,,,4,1,1,,,1336,1,1336,6,4,,1286,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,44,"[{'action_type': 'subscribe_mobile_app', 'value': '9.138'}, {'action_type': 'subscribe_total', 'value': '9.138'}, {'action_type': 'start_trial_mobile_app', 'value': '6.527143'}, {'action_type': 'start_trial_total', 'value': '6.527143'}]",1.038409,"[{'action_type': 'outbound_click', 'value': '1.038409'}]",1.038409,3.046,0.214507,,0.034199,0.034199,7.615,,0.035529,1.038409,12.158063,12.158063,1.170836,2025-12-15,2025-12-15,1,3758,1.170836,44,"[{'action_type': 'outbound_click', 'value': '44'}]","[{'action_type': 'outbound_click', 'value': '1.170836'}]",3758,45.69,118,3,108,1134,580,332
,73,,,26,11,11,73,,,,3,,,,,851,1,851,4,3,,821,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,25,"[{'action_type': 'subscribe_mobile_app', 'value': '28.36'}, {'action_type': 'subscribe_total', 'value': '28.36'}, {'action_type': 'start_trial_mobile_app', 'value': '28.36'}, {'action_type': 'start_trial_total', 'value': '28.36'}]",1.090769,"[{'action_type': 'outbound_click', 'value': '1.090769'}]",1.090769,2.578182,0.388493,,0.033326,0.033326,7.09,,0.034543,1.1344,15.15767,15.746807,1.336184,2025-12-15,2025-12-15,1.038867,1871,1.389631,26,"[{'action_type': 'outbound_click', 'value': '26'}]","[{'action_type': 'outbound_click', 'value': '1.389631'}]",1801,28.36,90,5,87,771,448,266
,,1,,4,,,,,,,3,,,,,119,,119,3,3,,112,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,4,,1.06,"[{'action_type': 'outbound_click', 'value': '1.06'}]",1.06,,,,0.03563,0.03563,1.413333,,0.037857,1.06,17.235772,17.740586,1.626016,2025-12-15,2025-12-15,1.029289,246,1.626016,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.626016'}]",239,4.24,14,5,13,107,72,49
,,,,,1,1,,,,,,,,,,24,,24,,,,24,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,0.84,,,0.035,0.035,,,0.035,,15,15.272727,0,2025-12-15,2025-12-15,1.018182,56,,,,,55,0.84,1,4,1,24,14,7
,,,,,,,,,,,,,,,,,,,,,,,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-15,2025-12-15,1,1,,,,,1,0.01,,2,,,,
,,,,,,,,,,,,,,,,3,,3,,,,3,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-15,2025-12-15,1,3,,,,,3,0.03,,7,,3,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-15,2025-12-15,1,1,,,,,1,0.01,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6917461957184,01 Jesus_travis - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-15,2025-12-15,1,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,13-17,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,1,1,,,,,1,0,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.06,0.06,,,0.06,,30,30,0,2025-12-15,2025-12-15,1,2,,,,,2,0.06,,2,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.1,0.1,,,0.1,,33.333333,50,0,2025-12-15,2025-12-15,1.5,3,,,,,2,0.1,,2,,1,,
,,,,,,,,,,,,,,,,3,,3,,,,3,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.013333,0.013333,,,0.013333,,13.333333,13.333333,0,2025-12-15,2025-12-15,1,3,,,,,3,0.04,,6,,3,1,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480184,04 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-15,2025-12-15,1,1,,,,,1,0.01,,3,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,13-17,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-15,2025-12-15,1,4,,,,,4,0,,3,,1,1,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.22,0.22,,,0.22,,15.714286,15.714286,0,2025-12-15,2025-12-15,1,14,,,,,14,0.22,,2,,1,1,1
,1,,,2,,,1,,,,,,,,,26,,26,,,,24,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,,0.8,"[{'action_type': 'outbound_click', 'value': '0.8'}]",0.8,,1.6,,0.061538,0.061538,,,0.066667,0.8,18.390805,19.047619,2.298851,2025-12-15,2025-12-15,1.035714,87,2.298851,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '2.298851'}]",84,1.6,5,4,5,24,11,8
,,,,1,1,1,,,,,,,,,,39,,39,,,,38,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,2.11,"[{'action_type': 'outbound_click', 'value': '2.11'}]",2.11,2.11,,,0.054103,0.054103,,,0.055526,2.11,15.62963,16.356589,0.740741,2025-12-15,2025-12-15,1.046512,135,0.740741,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.740741'}]",129,2.11,5,3,4,37,18,10
,,,,1,1,1,,,,,,,,,,27,,27,,,,26,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,1.31,"[{'action_type': 'outbound_click', 'value': '1.31'}]",1.31,1.31,,,0.048519,0.048519,,,0.050385,1.31,18.194444,18.985507,1.388889,2025-12-15,2025-12-15,1.043478,72,1.388889,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.388889'}]",69,1.31,3,4,2,24,10,6
,,,,,,,,,,,,,,,,6,,6,,,,6,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.031667,0.031667,,,0.031667,,13.571429,13.571429,0,2025-12-15,2025-12-15,1,14,,,,,14,0.19,,3,,6,1,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.05,0.05,,,0.05,,16.666667,25,0,2025-12-15,2025-12-15,1.5,3,,,,,2,0.05,,3,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,6917505480984,13 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,13-17,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,1,1,,,,,1,0,,2,,,,
,,,,,,,,,,,,,,,,6,,6,,,,6,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,13-17,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.005,0.005,,,0.005,,1.034483,1.2,0,2025-12-15,2025-12-15,1.16,29,,,,,25,0.03,,2,,6,2,2
,,,,2,,,,,,,,,,,,21,,21,,,,19,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,,0.42,"[{'action_type': 'outbound_click', 'value': '0.42'}]",0.42,,,,0.04,0.04,,,0.044211,0.28,11.666667,11.666667,4.166667,2025-12-15,2025-12-15,1,72,2.777778,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '2.777778'}]",72,0.84,2,17,2,14,10,7
,9,,,9,2,2,9,,,,4,1,1,,,292,,292,5,4,,278,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,11,,1.065556,"[{'action_type': 'outbound_click', 'value': '1.065556'}]",1.065556,4.795,1.065556,,0.032842,0.032842,1.918,,0.034496,0.871818,10.300752,10.538462,1.181525,2025-12-15,2025-12-15,1.023077,931,0.966702,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '0.966702'}]",910,9.59,28,3,27,237,106,64
,123,1,,25,10,10,123,,,,7,,,,,646,,646,7,7,,614,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,28,"[{'action_type': 'subscribe_mobile_app', 'value': '7.29'}, {'action_type': 'subscribe_total', 'value': '7.29'}, {'action_type': 'start_trial_mobile_app', 'value': '10.935'}, {'action_type': 'start_trial_total', 'value': '10.935'}]",0.8748,"[{'action_type': 'outbound_click', 'value': '0.8748'}]",0.8748,2.187,0.177805,,0.033854,0.033854,3.124286,,0.035619,0.781071,12.042952,12.641619,1.54185,2025-12-15,2025-12-15,1.049711,1816,1.376652,25,"[{'action_type': 'outbound_click', 'value': '25'}]","[{'action_type': 'outbound_click', 'value': '1.376652'}]",1730,21.87,44,3,42,520,255,139
,31,,,12,4,4,31,,,,5,,,,,366,,366,5,5,,349,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,12,,1.026667,"[{'action_type': 'outbound_click', 'value': '1.026667'}]",1.026667,3.08,0.397419,,0.033661,0.033661,2.464,,0.035301,1.026667,15.535939,15.694268,1.513241,2025-12-15,2025-12-15,1.010191,793,1.513241,12,"[{'action_type': 'outbound_click', 'value': '12'}]","[{'action_type': 'outbound_click', 'value': '1.513241'}]",785,12.32,33,4,28,310,169,91
,,,,,,,,,,,1,,,,,36,,36,1,1,,35,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.024167,0.024167,0.87,,0.024857,,12.428571,12.985075,0,2025-12-15,2025-12-15,1.044776,70,,,,,67,0.87,4,5,4,30,9,7
,,,,,,,,,,,,,,,,3,,3,,,,3,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.066667,0.066667,,,0.066667,,11.764706,11.764706,0,2025-12-15,2025-12-15,1,17,,,,,17,0.2,1,3,1,3,1,1
,,,,,,,,,,,,,,,,2,,2,,,,2,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,Unknown,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.005,0.005,,,0.005,,5,5,0,2025-12-15,2025-12-15,1,2,,,,,2,0.01,1,16,1,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6917505481384,01 Esha - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,1,1,,,,,1,0,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505481584,02 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.06,0.06,,,0.06,,60,60,0,2025-12-15,2025-12-15,1,1,,,,,1,0.06,,9,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,6917505481584,02 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-15,2025-12-15,1,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917505481584,02 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-12-15,2025-12-15,1,1,,,,,1,0.02,,7,,1,1,
,,,,,,,,,,,1,,,,,6,,6,1,1,,5,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,13-17,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.018333,0.018333,0.11,,0.022,,3.235294,4.074074,0,2025-12-15,2025-12-15,1.259259,34,,,,,27,0.11,1,3,1,4,3,2
,,,,1,,,,,,,,,,,,12,,12,,,,11,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.36,"[{'action_type': 'outbound_click', 'value': '0.36'}]",0.36,,,,0.03,0.03,,,0.032727,0.36,12.413793,12.857143,3.448276,2025-12-15,2025-12-15,1.035714,29,3.448276,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.448276'}]",28,0.36,1,4,1,10,5,2
,4,,,1,,,4,,,,,,,,,98,1,98,1,,,96,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,4.5,"[{'action_type': 'outbound_click', 'value': '4.5'}]",4.5,,1.125,,0.045918,0.045918,4.5,,0.046875,4.5,11.335013,11.904762,0.251889,2025-12-15,2025-12-15,1.050265,397,0.251889,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.251889'}]",378,4.5,7,4,7,88,35,24
,217,,,27,18,18,217,,,,2,1,1,1,,677,1,677,5,3,,645,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,27,"[{'action_type': 'subscribe_mobile_app', 'value': '9.053333'}, {'action_type': 'subscribe_total', 'value': '9.053333'}]",1.005926,"[{'action_type': 'outbound_click', 'value': '1.005926'}]",1.005926,1.508889,0.125161,,0.040118,0.040118,5.432,,0.042109,1.005926,14.036176,14.400848,1.395349,2025-12-15,2025-12-15,1.025981,1935,1.395349,27,"[{'action_type': 'outbound_click', 'value': '27'}]","[{'action_type': 'outbound_click', 'value': '1.395349'}]",1886,27.16,67,4,63,576,279,171
,114,,,15,9,9,114,,,,4,1,1,,,463,1,463,6,4,,442,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,16,"[{'action_type': 'subscribe_mobile_app', 'value': '17.52'}, {'action_type': 'subscribe_total', 'value': '17.52'}]",1.168,"[{'action_type': 'outbound_click', 'value': '1.168'}]",1.168,1.946667,0.153684,,0.03784,0.03784,2.92,,0.039638,1.095,16.622391,16.878613,1.518027,2025-12-15,2025-12-15,1.015414,1054,1.42315,15,"[{'action_type': 'outbound_click', 'value': '15'}]","[{'action_type': 'outbound_click', 'value': '1.42315'}]",1038,17.52,42,5,39,404,187,112
,11,,,3,1,1,11,,,,,,,,,66,,66,,,,63,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,4,,0.72,"[{'action_type': 'outbound_click', 'value': '0.72'}]",0.72,2.16,0.196364,,0.032727,0.032727,,,0.034286,0.54,18.782609,19.459459,3.478261,2025-12-15,2025-12-15,1.036036,115,2.608696,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.608696'}]",111,2.16,13,6,13,58,36,27
,,,,,,,,,,,1,,,,,16,,16,1,1,,15,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.045625,0.045625,0.73,,0.048667,,23.548387,23.548387,0,2025-12-15,2025-12-15,1,31,,,,,31,0.73,4,13,4,15,12,7
,,,,,,,,,,,,,,,,2,,2,,,,2,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,Unknown,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-15,2025-12-15,1,4,,,,,4,0,,3,,1,1,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),18-24,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.07,0.07,,,0.07,,17.5,17.5,0,2025-12-15,2025-12-15,1,8,,,,,8,0.14,,2,,2,1,
,,,,1,,,,,,,2,,,,,32,,32,2,2,,29,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),25-34,6920965699384,FB_iOS_Purchase_Rap_251203,1,,1.65,"[{'action_type': 'outbound_click', 'value': '1.65'}]",1.65,,,,0.051563,0.051563,0.825,,0.056897,1.65,16.836735,17.1875,1.020408,2025-12-15,2025-12-15,1.020833,98,1.020408,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.020408'}]",96,1.65,3,3,3,25,16,9
,27,,,4,1,1,27,,,,,,,,,218,,218,,,,214,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),35-44,6920965699384,FB_iOS_Purchase_Rap_251203,4,,2.465,"[{'action_type': 'outbound_click', 'value': '2.465'}]",2.465,9.86,0.365185,,0.045229,0.045229,,,0.046075,2.465,16.111111,16.111111,0.653595,2025-12-15,2025-12-15,1,612,0.653595,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '0.653595'}]",612,9.86,24,3,23,196,86,56
