action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,30,30,0,2025-12-11,2025-12-11,1,2,,,,,facebook,2,0.06,,2,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-11,2025-12-11,1,1,,,,,threads,1,0.01,1,16,1,1,1,1
,6,,,8,1,1,6,,,2,,,,,306,,306,2,2,,296,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,8,,2.2825,"[{'action_type': 'outbound_click', 'value': '2.2825'}]",2.2825,18.26,3.043333,,0.059673,0.059673,9.13,,0.061689,2.2825,25.325936,26.011396,1.10957,2025-12-11,2025-12-11,1.027066,721,1.10957,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '1.10957'}]",facebook,702,18.26,21,3,18,278,123,70
,156,,,28,17,17,156,,,4,2,2,,,930,1,930,7,4,,895,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,33,"[{'action_type': 'subscribe_mobile_app', 'value': '35.9'}, {'action_type': 'subscribe_total', 'value': '35.9'}, {'action_type': 'start_trial_mobile_app', 'value': '35.9'}, {'action_type': 'start_trial_total', 'value': '35.9'}]",2.564286,"[{'action_type': 'outbound_click', 'value': '2.564286'}]",2.564286,4.223529,0.460256,,0.077204,0.077204,10.257143,,0.080223,2.175758,30.762639,31.163194,1.413882,2025-12-11,2025-12-11,1.013021,2334,1.199657,28,"[{'action_type': 'outbound_click', 'value': '28'}]","[{'action_type': 'outbound_click', 'value': '1.199657'}]",instagram,2304,71.8,66,3,66,835,328,173
,,,,,,,,,,,,,,,64,,64,,,,64,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.03375,0.03375,,,0.03375,,18.305085,18.305085,0,2025-12-11,2025-12-11,1,118,,,,,threads,118,2.16,17,8,17,62,38,27
,,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,12.5,12.5,0,2025-12-11,2025-12-11,1,4,,,,,facebook,4,0.05,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-11,2025-12-11,1,2,,,,,instagram,2,0.03,,5,,1,,
,33,,,6,4,4,33,,,,,,,,170,,170,,,,164,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,6,"[{'action_type': 'subscribe_mobile_app', 'value': '15.37'}, {'action_type': 'subscribe_total', 'value': '15.37'}, {'action_type': 'start_trial_mobile_app', 'value': '15.37'}, {'action_type': 'start_trial_total', 'value': '15.37'}]",2.561667,"[{'action_type': 'outbound_click', 'value': '2.561667'}]",2.561667,3.8425,0.465758,,0.090412,0.090412,,,0.09372,2.561667,36.25,38.044554,1.415094,2025-12-11,2025-12-11,1.049505,424,1.415094,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.415094'}]",facebook,404,15.37,25,4,24,154,82,54
,11,,,1,,,11,,,0,,,1,,35,,35,1,1,,33,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,2.95,"[{'action_type': 'outbound_click', 'value': '2.95'}]",2.95,,0.268182,,0.084286,0.084286,2.95,,0.089394,2.95,32.065217,33.146067,1.086957,2025-12-11,2025-12-11,1.033708,92,1.086957,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.086957'}]",instagram,89,2.95,3,3,3,32,12,7
,,,,,,,,,,,,,,,4,,4,,,,4,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.01,0.01,,,0.01,,8,8,0,2025-12-11,2025-12-11,1,5,,,,,threads,5,0.04,1,9,1,4,3,2
