action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,2,,2,,,,2,,6916166162984,05 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.14,0.14,,,0.14,,140,140,0,2025-12-05,2025-12-05,1,2,,,,,2,0.28,,4,,2,,
,,,,,,,,,,,,,,,3,,3,,,,3,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-05,2025-12-05,1,3,,,,,3,0.03,2,14,2,3,2,2
,6,,,2,,,6,,,,,,,,4,,4,,,,2,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,0.095,"[{'action_type': 'outbound_click', 'value': '0.095'}]",0.095,,0.031667,,0.0475,0.0475,,,0.095,0.095,21.111111,21.111111,22.222222,2025-12-05,2025-12-05,1,9,22.222222,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '22.222222'}]",9,0.19,,3,,2,,
,2,,,,,,2,,,,,,,,3,,3,,,,3,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0.245,,0.163333,0.163333,,,0.163333,,70,81.666667,0,2025-12-05,2025-12-05,1.166667,7,,,,,6,0.49,,6,,3,2,2
,,,,,,,,,,,,,,,1,,1,,,,1,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-05,2025-12-05,1,1,,,,,1,0,,11,,1,1,1
,,,,,,,,,,,,,,,2,,2,,,,2,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.005,0.005,,,0.005,,5,5,0,2025-12-05,2025-12-05,1,2,,,,,2,0.01,,4,,1,,
,2,,,,,,2,,,,,,,,1,,1,,,,1,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0.005,,0.01,0.01,,,0.01,,5,5,0,2025-12-05,2025-12-05,1,2,,,,,2,0.01,1,9,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,6916167702784,08 aiartist3,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,30,30,0,2025-12-05,2025-12-05,1,1,,,,,1,0.03,,,,,,
,5,,,1,,,5,,,,,,,,17,,17,,,,16,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.85,"[{'action_type': 'outbound_click', 'value': '0.85'}]",0.85,,0.17,,0.05,0.05,,,0.053125,0.85,22.972973,23.611111,2.702703,2025-12-05,2025-12-05,1.027778,37,2.702703,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.702703'}]",36,0.85,1,4,1,15,10,3
,21,,,2,2,2,21,,,,,,,,149,1,149,5,4,,142,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,6.2,"[{'action_type': 'outbound_click', 'value': '6.2'}]",6.2,6.2,0.590476,,0.083221,0.083221,2.48,,0.087324,6.2,25.101215,26.215645,0.404858,2025-12-05,2025-12-05,1.044397,494,0.404858,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.404858'}]",473,12.4,8,3,8,129,55,32
