action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_conversion.post_unsave,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
2,616,3,1,98,47,47,616,2,2,30,1,1,,,2,2579,5,2579,37,30,2,2444,2,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,101,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '9.724'}, {'action_type': 'subscribe_total', 'value': '9.724'}, {'action_type': 'start_trial_mobile_app', 'value': '7.48'}, {'action_type': 'start_trial_total', 'value': '7.48'}]",0.992245,"[{'action_type': 'outbound_click', 'value': '0.992245'}]",0.992245,2.068936,0.157857,48.62,0.037705,0.037705,2.628108,48.62,0.039787,0.962772,17.931034,18.786708,1.862438,2025-12-14,2025-12-14,ABOVE_AVERAGE,1.04772,5423,1.807118,98,"[{'action_type': 'outbound_click', 'value': '98'}]","[{'action_type': 'outbound_click', 'value': '1.807118'}]",AVERAGE,5176,97.24,192,5,179,2154,1107,603
,,,,1,,,,,,,,,,,,2,,2,,,,1,,6920996505784,09_red lipstick_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,UNKNOWN,,0.06,"[{'action_type': 'outbound_click', 'value': '0.06'}]",0.06,,,,0.03,0.03,,,0.06,0.06,60,60,100,2025-12-14,2025-12-14,UNKNOWN,1,1,100,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '100'}]",UNKNOWN,1,0.06,,9,,1,1,
,487,1,,107,32,32,487,,,28,1,1,2,,,2586,3,2586,34,30,,2445,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,103,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '14.674286'}, {'action_type': 'subscribe_total', 'value': '14.674286'}, {'action_type': 'start_trial_mobile_app', 'value': '14.674286'}, {'action_type': 'start_trial_total', 'value': '14.674286'}]",0.96,"[{'action_type': 'outbound_click', 'value': '0.96'}]",0.96,3.21,0.210924,,0.039722,0.039722,3.021176,,0.042012,0.997282,19.84544,20.490724,1.989954,2025-12-14,2025-12-14,ABOVE_AVERAGE,1.032515,5176,2.067233,107,"[{'action_type': 'outbound_click', 'value': '107'}]","[{'action_type': 'outbound_click', 'value': '2.067233'}]",AVERAGE,5013,102.72,324,5,300,2204,1381,970
,,,,,,,,,,1,,,,,,13,,13,1,1,,12,,6920999336384,08_Red dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.079231,0.079231,1.03,,0.085833,,24.52381,27.105263,0,2025-12-14,2025-12-14,UNKNOWN,1.105263,42,,,,,UNKNOWN,38,1.03,1,3,,12,4,3
,,,,,,,,,,,,,,,,1,,1,,,,1,,6920999336584,09_red lipstick_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.05,0.05,,,0.05,,16.666667,16.666667,0,2025-12-14,2025-12-14,UNKNOWN,1,3,,,,,UNKNOWN,3,0.05,,3,,1,,
,166,1,,45,17,17,166,,,13,,,,,,1319,,1319,13,13,,1261,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,48,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '13.62'}, {'action_type': 'subscribe_total', 'value': '13.62'}, {'action_type': 'start_trial_mobile_app', 'value': '13.62'}, {'action_type': 'start_trial_total', 'value': '13.62'}]",1.513333,"[{'action_type': 'outbound_click', 'value': '1.513333'}]",1.513333,4.005882,0.410241,,0.05163,0.05163,5.238462,,0.054005,1.41875,24.727669,26.498054,1.742919,2025-12-14,2025-12-14,AVERAGE,1.071595,2754,1.633987,45,"[{'action_type': 'outbound_click', 'value': '45'}]","[{'action_type': 'outbound_click', 'value': '1.633987'}]",AVERAGE,2570,68.1,189,5,178,1140,739,504
,,,,,,,,,,,,,,,,,,,,,,,,6920999337584,01_black4_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-14,2025-12-14,UNKNOWN,1,2,,,,,UNKNOWN,2,0.02,,1,,,,
,121,2,,28,13,13,121,,,8,,,,,,692,,692,8,8,,656,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,28,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '33.92'}, {'action_type': 'subscribe_total', 'value': '33.92'}, {'action_type': 'start_trial_mobile_app', 'value': '33.92'}, {'action_type': 'start_trial_total', 'value': '33.92'}]",1.211429,"[{'action_type': 'outbound_click', 'value': '1.211429'}]",1.211429,2.609231,0.280331,,0.049017,0.049017,4.24,,0.051707,1.211429,22.583222,23.360882,1.864181,2025-12-14,2025-12-14,AVERAGE,1.034435,1502,1.864181,28,"[{'action_type': 'outbound_click', 'value': '28'}]","[{'action_type': 'outbound_click', 'value': '1.864181'}]",AVERAGE,1452,33.92,58,4,54,597,328,246
,1,,,,,,1,,,,,,,,,,,,,,,,,6922617151984,05_Jesus_Dakiti,6922611483384,dakiti,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-14,2025-12-14,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,,,,6922621057784,07_Morgan_Dtfm,6922613374384,dtfm,6922611476584,FB_iOS_Purchase_RapSinging_251205,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-14,2025-12-14,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6924668031984,01 Morgan_Gasstation_gthang,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,,,,,,,0,0,0,2025-12-14,2025-12-14,UNKNOWN,1,1,,,,,UNKNOWN,1,0,,0,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6924675698584,04_morgan_snoop_gin_noendcardaudio,6924675697784,FB_iOS_Rap_StartTrial_winnersnomusic_091225,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.03,0.03,,,0.03,,30,30,0,2025-12-14,2025-12-14,UNKNOWN,1,1,,,,,UNKNOWN,1,0.03,,3,,,,
,329,,,71,43,43,329,,,39,6,7,,1,,2786,,2786,46,39,,2669,,6924679041584,12_prerna_noendcardaudio,6924675697784,FB_iOS_Rap_StartTrial_winnersnomusic_091225,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,97,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '10.737'}, {'action_type': 'subscribe_total', 'value': '10.737'}, {'action_type': 'start_trial_mobile_app', 'value': '9.760909'}, {'action_type': 'start_trial_total', 'value': '9.760909'}]",1.512254,"[{'action_type': 'outbound_click', 'value': '1.512254'}]",1.512254,2.496977,0.326353,,0.038539,0.038539,2.33413,,0.040229,1.106907,14.850622,15.69278,1.341632,2025-12-14,2025-12-14,ABOVE_AVERAGE,1.056709,7230,0.982019,71,"[{'action_type': 'outbound_click', 'value': '71'}]","[{'action_type': 'outbound_click', 'value': '0.982019'}]",BELOW_AVERAGE_35,6842,107.37,191,4,189,2406,1125,656
,86,,,9,6,6,86,,,2,,,2,,,274,,274,4,4,,261,,6924697559784,02 Morgan_Gasstation_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,14,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '5.51'}, {'action_type': 'subscribe_total', 'value': '5.51'}, {'action_type': 'start_trial_mobile_app', 'value': '4.1325'}, {'action_type': 'start_trial_total', 'value': '4.1325'}]",1.836667,"[{'action_type': 'outbound_click', 'value': '1.836667'}]",1.836667,2.755,0.192209,,0.060328,0.060328,4.1325,,0.063333,1.180714,15.506567,16.447761,1.313321,2025-12-14,2025-12-14,AVERAGE,1.060697,1066,0.844278,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '0.844278'}]",AVERAGE,1005,16.53,21,3,20,221,89,46
,,,,,,,,,,,,,,,,1,,1,,,,1,,6924698562784,03 Morgan_Gasstation_gemini_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,0.07,0.07,,,0.07,,14,14,0,2025-12-14,2025-12-14,UNKNOWN,1,5,,,,,UNKNOWN,5,0.07,,2,,1,,
,2,,,1,1,1,2,,,,,,,,,2,,2,,,,1,,6924705570784,04 Morgan_Gasstation_gemini_ginjuice,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,1,UNKNOWN,"[{'action_type': 'start_trial_mobile_app', 'value': '0.25'}, {'action_type': 'start_trial_total', 'value': '0.25'}]",0.25,"[{'action_type': 'outbound_click', 'value': '0.25'}]",0.25,0.25,0.125,,0.125,0.125,,,0.25,0.25,11.363636,11.363636,4.545455,2025-12-14,2025-12-14,UNKNOWN,1,22,4.545455,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '4.545455'}]",UNKNOWN,22,0.25,,1,,1,1,1
,31,,,9,3,3,31,,,1,1,1,,,,354,1,354,3,1,,342,,6924706270984,05 Eddie_Gasstation_gemini_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,9,ABOVE_AVERAGE,"[{'action_type': 'start_trial_mobile_app', 'value': '17.78'}, {'action_type': 'start_trial_total', 'value': '17.78'}]",1.975556,"[{'action_type': 'outbound_click', 'value': '1.975556'}]",1.975556,5.926667,0.573548,,0.050226,0.050226,5.926667,,0.051988,1.975556,15.131915,15.596491,0.765957,2025-12-14,2025-12-14,AVERAGE,1.030702,1175,0.765957,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '0.765957'}]",AVERAGE,1140,17.78,28,3,28,299,117,52
,76,,,6,1,1,76,,,1,,,,,,162,,162,1,1,,155,,6924706727584,06 Eddie_Gasstation_gemini_ginjuice,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,7,ABOVE_AVERAGE,"[{'action_type': 'start_trial_mobile_app', 'value': '2.6'}, {'action_type': 'start_trial_total', 'value': '2.6'}]",1.3,"[{'action_type': 'outbound_click', 'value': '1.3'}]",1.3,7.8,0.102632,,0.048148,0.048148,7.8,,0.050323,1.114286,14.079422,14.444444,1.263538,2025-12-14,2025-12-14,BELOW_AVERAGE_35,1.025926,554,1.083032,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.083032'}]",AVERAGE,540,7.8,8,3,8,143,65,39
,127,,,17,4,4,127,,,2,1,1,1,,,518,,518,4,3,,497,,6924707290984,07 Mike_Gasstation_gemini_hht2,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,18,ABOVE_AVERAGE,"[{'action_type': 'start_trial_mobile_app', 'value': '12.286667'}, {'action_type': 'start_trial_total', 'value': '12.286667'}]",2.168235,"[{'action_type': 'outbound_click', 'value': '2.168235'}]",2.168235,9.215,0.290236,,0.071158,0.071158,9.215,,0.074165,2.047778,18.663291,19.71123,0.911392,2025-12-14,2025-12-14,AVERAGE,1.05615,1975,0.860759,17,"[{'action_type': 'outbound_click', 'value': '17'}]","[{'action_type': 'outbound_click', 'value': '0.860759'}]",AVERAGE,1870,36.86,48,3,46,431,207,118
,,,,1,,,,,,,,,,,,53,,53,,,,52,,6924708193184,08 Mike_Gasstation_gemini_ginjuice,6924668039784,FB_iOS_Rap_StartTrial_gasstation_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,1,UNKNOWN,,3.44,"[{'action_type': 'outbound_click', 'value': '3.44'}]",3.44,,,,0.064906,0.064906,,,0.066154,3.44,16,16.45933,0.465116,2025-12-14,2025-12-14,UNKNOWN,1.028708,215,0.465116,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.465116'}]",UNKNOWN,209,3.44,5,3,4,44,19,14
,,,,,,,,,,,,,,,,,,,,,,,,6924708943784,01 Morgan_dropit,6924708943384,FB_iOS_Rap_StartTrial_morgancarmusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-14,2025-12-14,UNKNOWN,1,2,,,,,UNKNOWN,2,0.02,,1,,,,
,,,,1,1,1,,,,,,,,,,4,,4,,,,3,,6924712086784,01 Prerna_bodakyellow,6924712086984,FB_iOS_Rap_StartTrial_prernamusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,1,UNKNOWN,,0.23,"[{'action_type': 'outbound_click', 'value': '0.23'}]",0.23,0.23,,,0.0575,0.0575,,,0.076667,0.23,16.428571,16.428571,7.142857,2025-12-14,2025-12-14,UNKNOWN,1,14,7.142857,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '7.142857'}]",UNKNOWN,14,0.23,,2,,3,2,1
,377,2,2,130,33,33,377,,,47,2,2,2,,,3081,4,3081,57,49,,2894,,6924712553784,01 Morgan_Snoop_Ginndjuice_01,6924712553984,FB_iOS_Rap_StartTrial_morgancartextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,155,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '18.048571'}, {'action_type': 'subscribe_total', 'value': '18.048571'}, {'action_type': 'start_trial_mobile_app', 'value': '12.634'}, {'action_type': 'start_trial_total', 'value': '12.634'}]",0.971846,"[{'action_type': 'outbound_click', 'value': '0.971846'}]",0.971846,3.828485,0.335119,,0.041006,0.041006,2.216491,,0.043656,0.815097,13.160417,13.502191,1.614583,2025-12-14,2025-12-14,ABOVE_AVERAGE,1.02597,9600,1.354167,130,"[{'action_type': 'outbound_click', 'value': '130'}]","[{'action_type': 'outbound_click', 'value': '1.354167'}]",AVERAGE,9357,126.34,271,3,260,2558,1224,718
,,,,,,,,,,,,,,,,2,,2,,,,2,,6924712908784,01 Prerna 01,6924712908584,FB_iOS_Rap_StartTrial_prernatextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,0.095,0.095,,,0.095,,31.666667,31.666667,0,2025-12-14,2025-12-14,UNKNOWN,1,6,,,,,UNKNOWN,6,0.19,,2,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,6924714404184,03 Morgan_htt2,6924708943384,FB_iOS_Rap_StartTrial_morgancarmusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,,,,,,,0,0,0,2025-12-14,2025-12-14,UNKNOWN,1,1,,,,,UNKNOWN,1,0,,1,,,,
,456,,2,90,35,35,456,,,51,2,2,2,,,3414,11,3414,68,53,,3256,,6924714716184,04 Morgan_humble,6924708943384,FB_iOS_Rap_StartTrial_morgancarmusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,92,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '11.564545'}, {'action_type': 'subscribe_total', 'value': '11.564545'}, {'action_type': 'start_trial_mobile_app', 'value': '10.600833'}, {'action_type': 'start_trial_total', 'value': '10.600833'}]",1.413444,"[{'action_type': 'outbound_click', 'value': '1.413444'}]",1.413444,3.634571,0.278969,,0.037261,0.037261,1.870735,,0.039069,1.382717,14.109361,14.642035,1.020408,2025-12-14,2025-12-14,AVERAGE,1.037753,9016,0.998225,90,"[{'action_type': 'outbound_click', 'value': '90'}]","[{'action_type': 'outbound_click', 'value': '0.998225'}]",AVERAGE,8688,127.21,237,4,221,2787,1310,703
,,,,,,,,,,,,,,,,,,,,,,,,6924715460784,05 Morgan_indaclub,6924708943384,FB_iOS_Rap_StartTrial_morgancarmusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-14,2025-12-14,UNKNOWN,1,2,,,,,UNKNOWN,2,0.02,,1,,,,
,,,,1,,,,,,,,,,,,2,,2,,,,1,,6924715827784,06 Morgan_gthang,6924708943384,FB_iOS_Rap_StartTrial_morgancarmusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,1,UNKNOWN,,0.06,"[{'action_type': 'outbound_click', 'value': '0.06'}]",0.06,,,,0.03,0.03,,,0.06,0.06,12,12,20,2025-12-14,2025-12-14,UNKNOWN,1,5,20,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '20'}]",UNKNOWN,5,0.06,,3,,1,1,
2,139,,1,49,15,15,139,2,2,14,2,2,1,,2,1450,1,1450,19,15,2,1382,2,6924716345384,02 Prerna_tusa,6924712086984,FB_iOS_Rap_StartTrial_prernamusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,56,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '27.873333'}, {'action_type': 'subscribe_total', 'value': '27.873333'}, {'action_type': 'start_trial_mobile_app', 'value': '41.81'}, {'action_type': 'start_trial_total', 'value': '41.81'}]",1.706531,"[{'action_type': 'outbound_click', 'value': '1.706531'}]",1.706531,5.574667,0.601583,41.81,0.057669,0.057669,4.401053,41.81,0.060507,1.493214,18.922833,18.922833,1.267255,2025-12-14,2025-12-14,AVERAGE,1,4419,1.108848,49,"[{'action_type': 'outbound_click', 'value': '49'}]","[{'action_type': 'outbound_click', 'value': '1.108848'}]",AVERAGE,4419,83.62,172,3,162,1211,551,352
,,,,,,,,,,,,,,,,1,,1,,,,1,,6924716446184,04 Prerna_fancy,6924712086984,FB_iOS_Rap_StartTrial_prernamusicvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,0.04,0.04,,,0.04,,20,20,0,2025-12-14,2025-12-14,UNKNOWN,1,2,,,,,UNKNOWN,2,0.04,1,14,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,6924717255784,02 Morgan_Snoop_Ginndjuice_01,6924712553984,FB_iOS_Rap_StartTrial_morgancartextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-14,2025-12-14,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,2,,,,
,163,1,,38,15,15,163,,,10,,,1,,,871,,871,11,11,,822,,6924718889384,02 Prerna 01,6924712908584,FB_iOS_Rap_StartTrial_prernatextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,39,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '9.18'}, {'action_type': 'subscribe_total', 'value': '9.18'}, {'action_type': 'start_trial_mobile_app', 'value': '11.475'}, {'action_type': 'start_trial_total', 'value': '11.475'}]",1.207895,"[{'action_type': 'outbound_click', 'value': '1.207895'}]",1.207895,3.06,0.281595,,0.052698,0.052698,4.172727,,0.055839,1.176923,15.612245,16.422182,1.326531,2025-12-14,2025-12-14,AVERAGE,1.051878,2940,1.292517,38,"[{'action_type': 'outbound_click', 'value': '38'}]","[{'action_type': 'outbound_click', 'value': '1.292517'}]",AVERAGE,2795,45.9,86,3,78,724,344,230
,253,,,35,21,21,253,,,6,2,2,1,,,714,,714,9,7,,670,,6924719922384,03 Prerna 01,6924712908584,FB_iOS_Rap_StartTrial_prernatextvariants_091225,6924668035784,FB_iOS_Rap_StartTrial_Set2_091225,38,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '11.645'}, {'action_type': 'subscribe_total', 'value': '11.645'}, {'action_type': 'start_trial_mobile_app', 'value': '11.645'}, {'action_type': 'start_trial_total', 'value': '11.645'}]",1.330857,"[{'action_type': 'outbound_click', 'value': '1.330857'}]",1.330857,2.218095,0.184111,,0.065238,0.065238,5.175556,,0.069522,1.225789,18.535615,19.678918,1.512137,2025-12-14,2025-12-14,ABOVE_AVERAGE,1.061681,2513,1.392758,35,"[{'action_type': 'outbound_click', 'value': '35'}]","[{'action_type': 'outbound_click', 'value': '1.392758'}]",BELOW_AVERAGE_35,2367,46.58,85,3,77,604,305,196
,72,,2,40,7,7,72,,,3,1,1,,,,1061,,1061,6,3,,1015,,6925369207984,01Prerna_bollamarket1,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,36,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '53.98'}, {'action_type': 'subscribe_total', 'value': '53.98'}, {'action_type': 'start_trial_mobile_app', 'value': '53.98'}, {'action_type': 'start_trial_total', 'value': '53.98'}]",1.3495,"[{'action_type': 'outbound_click', 'value': '1.3495'}]",1.3495,7.711429,0.749722,,0.050877,0.050877,8.996667,,0.053182,1.499444,16.842434,17.531666,1.123245,2025-12-14,2025-12-14,AVERAGE,1.040922,3205,1.24805,40,"[{'action_type': 'outbound_click', 'value': '40'}]","[{'action_type': 'outbound_click', 'value': '1.24805'}]",AVERAGE,3079,53.98,110,3,104,886,488,259
,,,,,,,,,,,,,,,,2,,2,,,,2,,6925379387784,06Prerna_bollamarket2,6925369208584,FB_iOS_Rap_StartTrial_prernajumpoffvariants_101225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-14,2025-12-14,UNKNOWN,1,4,,,,,UNKNOWN,4,0.06,,4,,2,1,
,18,,,8,3,3,18,,,,,,,,,45,,45,,,,37,,6926060791784,02_blonde_jumpoff_gasstation1,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,6,UNKNOWN,,0.59125,"[{'action_type': 'outbound_click', 'value': '0.59125'}]",0.59125,1.576667,0.262778,,0.105111,0.105111,,,0.127838,0.788333,31.744966,36.953125,4.026846,2025-12-14,2025-12-14,UNKNOWN,1.164063,149,5.369128,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '5.369128'}]",UNKNOWN,128,4.73,3,3,2,32,15,8
,,,,1,,,,,,,,,,,,1,,1,,,,,,6926064243784,06_blonde_jumpoff_gasstation3,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,1,UNKNOWN,,0.2,"[{'action_type': 'outbound_click', 'value': '0.2'}]",0.2,,,,0.2,0.2,,,,0.2,66.666667,66.666667,33.333333,2025-12-14,2025-12-14,UNKNOWN,1,3,33.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '33.333333'}]",UNKNOWN,3,0.2,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6926065374784,08_blonde_jumpoff_bolla1,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-14,2025-12-14,UNKNOWN,1,2,,,,,UNKNOWN,2,0.03,,2,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6926065580384,10_blonde_jumpoff_bolla2,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,,,0.1,0.1,,,0.1,,20,25,0,2025-12-14,2025-12-14,UNKNOWN,1.25,5,,,,,UNKNOWN,4,0.1,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6926065746384,11_blonde_jumpoff_gasstation4,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,0,UNKNOWN,,,,,,,,,,,,,,20,20,0,2025-12-14,2025-12-14,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,1,,,,
,46,,,14,9,9,46,,,,,,,,,122,,122,,,,108,,6926066018184,13_blonde_jumpoff_redcar,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,15,UNKNOWN,,0.637857,"[{'action_type': 'outbound_click', 'value': '0.637857'}]",0.637857,0.992222,0.19413,,0.073197,0.073197,,,0.082685,0.595333,27.561728,30.687285,4.62963,2025-12-14,2025-12-14,UNKNOWN,1.113402,324,4.320988,14,"[{'action_type': 'outbound_click', 'value': '14'}]","[{'action_type': 'outbound_click', 'value': '4.320988'}]",UNKNOWN,291,8.93,11,3,11,98,40,23
1,527,,,75,49,49,527,1,1,13,4,4,1,,1,1373,3,1373,21,14,1,1277,1,6926066642184,35_blonde_bent,6926060791584,FB_iOS_Rap_StartTrial_blondelilkimvariants_111225,6925369206784,FB_iOS_Rap_StartTrial_Set3_101225,82,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '7.241538'}, {'action_type': 'subscribe_total', 'value': '7.241538'}, {'action_type': 'start_trial_mobile_app', 'value': '6.724286'}, {'action_type': 'start_trial_total', 'value': '6.724286'}]",1.2552,"[{'action_type': 'outbound_click', 'value': '1.2552'}]",1.2552,1.921224,0.178634,94.14,0.068565,0.068565,4.482857,94.14,0.07372,1.148049,18.142224,19.498757,1.580266,2025-12-14,2025-12-14,ABOVE_AVERAGE,1.074772,5189,1.445365,75,"[{'action_type': 'outbound_click', 'value': '75'}]","[{'action_type': 'outbound_click', 'value': '1.445365'}]",BELOW_AVERAGE_35,4828,94.14,128,3,129,1131,556,331
