action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,1,,1,,,,1,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-11,2025-12-11,1,1,,,,,1,0.01,1,16,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,40,40,0,2025-12-11,2025-12-11,1,1,,,,,1,0.04,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-11,2025-12-11,1,1,,,,,1,0.02,,2,,,,
,,,,1,,,,,,,,,,,7,,7,,,,6,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.35,"[{'action_type': 'outbound_click', 'value': '0.35'}]",0.35,,,,0.05,0.05,,,0.058333,0.35,21.875,25,6.25,2025-12-11,2025-12-11,1.142857,16,6.25,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '6.25'}]",14,0.35,,4,,6,4,3
,,,,,,,,,,,,,,,21,,21,,,,21,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.078571,0.078571,,,0.078571,,20.886076,21.153846,0,2025-12-11,2025-12-11,1.012821,79,,,,,78,1.65,4,3,4,20,10,6
,62,,,13,7,7,62,,,,1,1,,,239,,239,1,,,225,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,14,"[{'action_type': 'subscribe_mobile_app', 'value': '17.39'}, {'action_type': 'subscribe_total', 'value': '17.39'}, {'action_type': 'start_trial_mobile_app', 'value': '17.39'}, {'action_type': 'start_trial_total', 'value': '17.39'}]",1.337692,"[{'action_type': 'outbound_click', 'value': '1.337692'}]",1.337692,2.484286,0.280484,,0.072762,0.072762,17.39,,0.077289,1.242143,24.878398,25.093795,2.002861,2025-12-11,2025-12-11,1.008658,699,1.8598,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '1.8598'}]",693,17.39,24,3,22,208,83,48
,84,,,16,10,10,84,,,4,1,1,,,775,1,775,6,4,,753,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,19,"[{'action_type': 'subscribe_mobile_app', 'value': '53.36'}, {'action_type': 'subscribe_total', 'value': '53.36'}, {'action_type': 'start_trial_mobile_app', 'value': '53.36'}, {'action_type': 'start_trial_total', 'value': '53.36'}]",3.335,"[{'action_type': 'outbound_click', 'value': '3.335'}]",3.335,5.336,0.635238,,0.068852,0.068852,8.893333,,0.070863,2.808421,30.028137,30.028137,1.069218,2025-12-11,2025-12-11,1,1777,0.900394,16,"[{'action_type': 'outbound_click', 'value': '16'}]","[{'action_type': 'outbound_click', 'value': '0.900394'}]",1777,53.36,51,4,50,710,300,163
,16,,,6,1,1,16,,,2,,,,,241,,241,2,2,,233,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,7,,3.055,"[{'action_type': 'outbound_click', 'value': '3.055'}]",3.055,18.33,1.145625,,0.076058,0.076058,9.165,,0.07867,2.618571,32.849462,34.519774,1.25448,2025-12-11,2025-12-11,1.050847,558,1.075269,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.075269'}]",531,18.33,22,3,22,214,82,44
,,,,,,,,,,,,,,,17,,17,,,,17,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.067059,0.067059,,,0.067059,,25.909091,26.511628,0,2025-12-11,2025-12-11,1.023256,44,,,,,43,1.14,3,4,3,17,10,6
,,,,,,,,,,,,,,,1,,1,,,,1,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-11,2025-12-11,1,2,,,,,2,0.03,,3,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,13.333333,13.333333,0,2025-12-11,2025-12-11,1,3,,,,,3,0.04,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-11,2025-12-11,1,1,,,,,1,0.01,,1,,,,
,7,,,1,,,7,,,0,,,1,,9,,9,1,1,,7,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.42,"[{'action_type': 'outbound_click', 'value': '0.42'}]",0.42,,0.06,,0.046667,0.046667,0.42,,0.06,0.42,18.26087,19.090909,4.347826,2025-12-11,2025-12-11,1.045455,23,4.347826,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '4.347826'}]",22,0.42,1,3,,7,2,1
,,,,1,,,,,,,,,,,32,,32,,,,31,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,2.43,"[{'action_type': 'outbound_click', 'value': '2.43'}]",2.43,,,,0.075938,0.075938,,,0.078387,2.43,25.578947,27.931034,1.052632,2025-12-11,2025-12-11,1.091954,95,1.052632,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.052632'}]",87,2.43,5,3,5,31,16,12
,4,,,1,1,1,4,,,,,,,,75,,75,,,,74,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,7.87,"[{'action_type': 'outbound_click', 'value': '7.87'}]",7.87,7.87,1.9675,,0.104933,0.104933,,,0.106351,7.87,39.35,40.153061,0.5,2025-12-11,2025-12-11,1.020408,200,0.5,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.5'}]",196,7.87,10,3,10,68,37,20
,29,,,3,3,3,29,,,,,,,,82,,82,,,,79,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,"[{'action_type': 'subscribe_mobile_app', 'value': '5.68'}, {'action_type': 'subscribe_total', 'value': '5.68'}, {'action_type': 'start_trial_mobile_app', 'value': '5.68'}, {'action_type': 'start_trial_total', 'value': '5.68'}]",1.893333,"[{'action_type': 'outbound_click', 'value': '1.893333'}]",1.893333,1.893333,0.195862,,0.069268,0.069268,,,0.071899,1.893333,32.643678,33.023256,1.724138,2025-12-11,2025-12-11,1.011628,174,1.724138,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.724138'}]",172,5.68,7,4,7,74,33,23
,4,,,1,,,4,,,,,,,,11,,11,,,,10,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,1.95,"[{'action_type': 'outbound_click', 'value': '1.95'}]",1.95,,0.4875,,0.177273,0.177273,,,0.195,1.95,69.642857,72.222222,3.571429,2025-12-11,2025-12-11,1.037037,28,3.571429,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.571429'}]",27,1.95,6,5,6,10,9,7
,,,,,,,,,,,,,,,,,,,,,,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-11,2025-12-11,1,1,,,,,1,0.01,,1,,,,
