action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,3,,,2,,,3,,,3,,,,,54,,54,3,3,,49,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,,2,"[{'action_type': 'outbound_click', 'value': '2'}]",2,,1.333333,,0.074074,0.074074,1.333333,,0.081633,1.333333,22.857143,23.255814,1.714286,2025-12-11,2025-12-11,1.017442,175,1.142857,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.142857'}]",172,4,6,3,6,49,22,10
,29,,,7,1,1,29,,,1,,,,,251,1,251,2,1,,242,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,10,"[{'action_type': 'subscribe_mobile_app', 'value': '19.03'}, {'action_type': 'subscribe_total', 'value': '19.03'}, {'action_type': 'start_trial_mobile_app', 'value': '19.03'}, {'action_type': 'start_trial_total', 'value': '19.03'}]",2.718571,"[{'action_type': 'outbound_click', 'value': '2.718571'}]",2.718571,19.03,0.656207,,0.075817,0.075817,9.515,,0.078636,1.903,22.231308,24.149746,1.168224,2025-12-11,2025-12-11,1.086294,856,0.817757,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '0.817757'}]",788,19.03,35,3,35,232,110,72
1,178,1,,32,6,6,178,1,1,5,,,,1,649,,649,5,5,1,612,1,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,31,"[{'action_type': 'subscribe_mobile_app', 'value': '12.1925'}, {'action_type': 'subscribe_total', 'value': '12.1925'}, {'action_type': 'start_trial_mobile_app', 'value': '16.256667'}, {'action_type': 'start_trial_total', 'value': '16.256667'}]",1.524063,"[{'action_type': 'outbound_click', 'value': '1.524063'}]",1.524063,8.128333,0.273989,48.77,0.075146,0.075146,9.754,48.77,0.07969,1.573226,24.66869,26.010667,1.568032,2025-12-11,2025-12-11,1.0544,1977,1.618614,32,"[{'action_type': 'outbound_click', 'value': '32'}]","[{'action_type': 'outbound_click', 'value': '1.618614'}]",1875,48.77,102,3,96,582,301,182
,60,1,,25,8,8,60,,,4,,,1,,560,,560,5,5,,530,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,27,"[{'action_type': 'subscribe_mobile_app', 'value': '21.16'}, {'action_type': 'subscribe_total', 'value': '21.16'}, {'action_type': 'start_trial_mobile_app', 'value': '21.16'}, {'action_type': 'start_trial_total', 'value': '21.16'}]",1.6928,"[{'action_type': 'outbound_click', 'value': '1.763333'}]",1.6928,5.29,0.705333,,0.075571,0.075571,8.464,,0.079849,1.567407,30.622287,32.755418,1.95369,2025-12-11,2025-12-11,1.069659,1382,1.808973,25,"[{'action_type': 'outbound_click', 'value': '24'}]","[{'action_type': 'outbound_click', 'value': '1.736614'}]",1292,42.32,80,4,72,508,244,152
,1,,,5,,,1,,,4,,,,,123,,123,4,4,,114,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,55-64,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,4,,1.916,"[{'action_type': 'outbound_click', 'value': '1.916'}]",1.916,,9.58,,0.077886,0.077886,2.395,,0.084035,2.395,34.836364,36.425856,1.454545,2025-12-11,2025-12-11,1.045627,275,1.818182,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.818182'}]",263,9.58,27,5,25,109,61,38
,,,,,,,,,,,,,,,17,,17,,,,17,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,65+,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.089412,0.089412,,,0.089412,,41.081081,42.222222,0,2025-12-11,2025-12-11,1.027778,37,,,,,36,1.52,3,5,3,15,7,5
,,,,,,,,,,,,,,,1,,1,,,,1,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.03,0.03,,,0.03,,30,30,0,2025-12-11,2025-12-11,1,1,,,,,1,0.03,,11,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,35,35,0,2025-12-11,2025-12-11,1,2,,,,,2,0.07,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,0,0,0,2025-12-11,2025-12-11,1,1,,,,,1,0,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.09,0.09,,,0.09,,90,90,0,2025-12-11,2025-12-11,1,1,,,,,1,0.09,1,13,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,50,50,0,2025-12-11,2025-12-11,1,1,,,,,1,0.05,,2,,,,
,,,,1,,,,,,,,,,,4,,4,,,,3,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.18,"[{'action_type': 'outbound_click', 'value': '0.18'}]",0.18,,,,0.045,0.045,,,0.06,0.18,20,20,11.111111,2025-12-11,2025-12-11,1,9,11.111111,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '11.111111'}]",9,0.18,1,4,1,3,2,1
,,,,1,,,,,,,,,,,46,,46,,,,45,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,2.91,"[{'action_type': 'outbound_click', 'value': '2.91'}]",2.91,,,,0.063261,0.063261,,,0.064667,2.91,19.019608,19.662162,0.653595,2025-12-11,2025-12-11,1.033784,153,0.653595,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.653595'}]",148,2.91,4,3,4,38,21,9
,140,,,18,14,14,140,,,11,1,1,,,558,1,558,13,11,,527,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,18,"[{'action_type': 'subscribe_mobile_app', 'value': '20.74'}, {'action_type': 'subscribe_total', 'value': '20.74'}, {'action_type': 'start_trial_mobile_app', 'value': '10.37'}, {'action_type': 'start_trial_total', 'value': '10.37'}]",2.304444,"[{'action_type': 'outbound_click', 'value': '2.304444'}]",2.304444,2.962857,0.296286,,0.074337,0.074337,3.190769,,0.07871,2.304444,25.589143,26.286439,1.110426,2025-12-11,2025-12-11,1.02725,1621,1.110426,18,"[{'action_type': 'outbound_click', 'value': '18'}]","[{'action_type': 'outbound_click', 'value': '1.110426'}]",1578,41.48,42,3,41,477,228,140
,154,,,28,14,14,154,,,12,2,2,,,626,1,626,15,12,,583,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,33,"[{'action_type': 'subscribe_mobile_app', 'value': '20.845'}, {'action_type': 'subscribe_total', 'value': '20.845'}, {'action_type': 'start_trial_mobile_app', 'value': '20.845'}, {'action_type': 'start_trial_total', 'value': '20.845'}]",1.488929,"[{'action_type': 'outbound_click', 'value': '1.488929'}]",1.488929,2.977857,0.270714,,0.066597,0.066597,2.779333,,0.071509,1.263333,29.885305,31.322314,2.365591,2025-12-11,2025-12-11,1.048084,1395,2.007168,28,"[{'action_type': 'outbound_click', 'value': '28'}]","[{'action_type': 'outbound_click', 'value': '2.007168'}]",1331,41.69,59,6,58,530,278,179
,23,,,6,3,3,23,,,2,1,1,,,97,,97,3,2,,88,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,6,"[{'action_type': 'subscribe_mobile_app', 'value': '5.56'}, {'action_type': 'subscribe_total', 'value': '5.56'}, {'action_type': 'start_trial_mobile_app', 'value': '5.56'}, {'action_type': 'start_trial_total', 'value': '5.56'}]",0.926667,"[{'action_type': 'outbound_click', 'value': '0.926667'}]",0.926667,1.853333,0.241739,,0.05732,0.05732,1.853333,,0.063182,0.926667,32.138728,33.493976,3.468208,2025-12-11,2025-12-11,1.042169,173,3.468208,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '3.468208'}]",166,5.56,13,6,13,83,44,32
,,,,,,,,,,,,,,,8,,8,,,,8,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.11875,0.11875,,,0.11875,,29.6875,29.6875,0,2025-12-11,2025-12-11,1,32,,,,,32,0.95,,2,,8,2,1
,,,,,,,,,,,,,,,,,,,,,,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-11,2025-12-11,1,1,,,,,1,0.02,,3,,,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.035,0.035,,,0.035,,35,35,0,2025-12-11,2025-12-11,1,2,,,,,2,0.07,,9,,2,2,1
,,,,,,,,,,,,,,,,,,,,,,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,30,30,0,2025-12-11,2025-12-11,1,1,,,,,1,0.03,,2,,,,
,1,,,,,,1,,,,,,,,4,,4,,,,4,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0.49,,0.1225,0.1225,,,0.1225,,40.833333,40.833333,0,2025-12-11,2025-12-11,1,12,,,,,12,0.49,1,6,1,4,2,1
,,,,1,,,,,,,,,,,16,,16,,,,15,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.37,"[{'action_type': 'outbound_click', 'value': '1.37'}]",1.37,,,,0.085625,0.085625,,,0.091333,1.37,22.833333,23.220339,1.666667,2025-12-11,2025-12-11,1.016949,60,1.666667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.666667'}]",59,1.37,3,3,3,14,8,5
,1,,,3,,,1,,,,,,,,78,,78,,,,75,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,,2.74,"[{'action_type': 'outbound_click', 'value': '2.74'}]",2.74,,8.22,,0.105385,0.105385,,,0.1096,2.74,28.150685,28.344828,1.027397,2025-12-11,2025-12-11,1.006897,292,1.027397,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.027397'}]",290,8.22,16,3,16,65,34,24
,94,,,9,5,5,94,,,3,,,,,206,,206,3,3,,194,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,9,"[{'action_type': 'subscribe_mobile_app', 'value': '20.63'}, {'action_type': 'subscribe_total', 'value': '20.63'}, {'action_type': 'start_trial_mobile_app', 'value': '20.63'}, {'action_type': 'start_trial_total', 'value': '20.63'}]",2.292222,"[{'action_type': 'outbound_click', 'value': '2.292222'}]",2.292222,4.126,0.219468,,0.100146,0.100146,6.876667,,0.10634,2.292222,37.238267,39.14611,1.624549,2025-12-11,2025-12-11,1.051233,554,1.624549,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '1.624549'}]",527,20.63,28,7,26,166,97,63
,34,1,,10,1,1,34,,,2,,,,,172,,172,2,2,,160,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,9,"[{'action_type': 'subscribe_mobile_app', 'value': '13.06'}, {'action_type': 'subscribe_total', 'value': '13.06'}]",1.306,"[{'action_type': 'outbound_click', 'value': '1.306'}]",1.306,13.06,0.384118,,0.07593,0.07593,6.53,,0.081625,1.451111,37.207977,38.29912,2.564103,2025-12-11,2025-12-11,1.029326,351,2.849003,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '2.849003'}]",341,13.06,31,6,30,138,79,55
,4,,,1,1,1,4,,,,,,,,27,,27,,,,26,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,"[{'action_type': 'subscribe_mobile_app', 'value': '3.28'}, {'action_type': 'subscribe_total', 'value': '3.28'}, {'action_type': 'start_trial_mobile_app', 'value': '1.64'}, {'action_type': 'start_trial_total', 'value': '1.64'}]",3.28,"[{'action_type': 'outbound_click', 'value': '3.28'}]",3.28,3.28,0.82,,0.121481,0.121481,,,0.126154,3.28,54.666667,55.59322,1.666667,2025-12-11,2025-12-11,1.016949,60,1.666667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.666667'}]",59,3.28,4,4,4,25,13,9
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,45-54,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.03,0.03,,,0.03,,30,30,0,2025-12-11,2025-12-11,1,1,,,,,1,0.03,,9,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,6917461955184,03 will_loseYourself - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,80,80,0,2025-12-11,2025-12-11,1,1,,,,,1,0.08,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,120,120,0,2025-12-11,2025-12-11,1,1,,,,,1,0.12,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6917461955384,03 Snoop_sicko - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.04,0.04,,,0.04,,20,20,0,2025-12-11,2025-12-11,1,2,,,,,2,0.04,,6,,1,,
