action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,1,,,1,,,1,,,,,,12,,12,,,,11,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,18-24,6913347651784,FB_iOS_itoshi_rap_install,1,,0.35,"[{'action_type': 'outbound_click', 'value': '0.35'}]",0.35,,0.35,,0.029167,0.029167,,,0.031818,0.35,10.9375,11.290323,3.125,2025-11-28,2025-11-28,1.032258,32,3.125,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.125'}]",31,0.35,1,3,1,11,1,1
,,,,2,,,,,,,,,22,,22,,,,20,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,25-34,6913347651784,FB_iOS_itoshi_rap_install,2,,0.34,"[{'action_type': 'outbound_click', 'value': '0.34'}]",0.34,,,,0.030909,0.030909,,,0.034,0.34,11.147541,11.525424,3.278689,2025-11-28,2025-11-28,1.033898,61,3.278689,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '3.278689'}]",59,0.68,4,4,3,20,9,7
,4,1,,2,,,4,,,,,,85,,85,1,1,,82,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,35-44,6913347651784,FB_iOS_itoshi_rap_install,2,,1.085,"[{'action_type': 'outbound_click', 'value': '1.085'}]",1.085,,0.5425,,0.025529,0.025529,2.17,,0.026463,1.085,9.6875,10,0.892857,2025-11-28,2025-11-28,1.032258,224,0.892857,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.892857'}]",217,2.17,10,3,9,79,34,23
,137,,,10,7,7,137,,,,,,220,,220,1,1,,209,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,45-54,6913347651784,FB_iOS_itoshi_rap_install,10,"[{'action_type': 'subscribe_mobile_app', 'value': '5.81'}, {'action_type': 'subscribe_total', 'value': '5.81'}, {'action_type': 'start_trial_mobile_app', 'value': '5.81'}, {'action_type': 'start_trial_total', 'value': '5.81'}]",0.581,"[{'action_type': 'outbound_click', 'value': '0.581'}]",0.581,0.83,0.042409,,0.026409,0.026409,5.81,,0.027799,0.581,11.690141,12.079002,2.012072,2025-11-28,2025-11-28,1.033264,497,2.012072,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '2.012072'}]",481,5.81,36,4,32,198,108,66
,49,1,,7,5,5,49,,,,,,101,1,101,3,2,,91,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,55-64,6913347651784,FB_iOS_itoshi_rap_install,7,,0.414286,"[{'action_type': 'outbound_click', 'value': '0.414286'}]",0.414286,0.58,0.059184,,0.028713,0.028713,0.966667,,0.031868,0.414286,14.948454,15.343915,3.608247,2025-11-28,2025-11-28,1.026455,194,3.608247,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '3.608247'}]",189,2.9,14,5,13,89,46,25
,,,,1,,,,,,,,,9,,9,,,,8,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,65+,6913347651784,FB_iOS_itoshi_rap_install,0,,0.37,"[{'action_type': 'outbound_click', 'value': '0.37'}]",0.37,,,,0.041111,0.041111,,,0.04625,,15.416667,16.818182,0,2025-11-28,2025-11-28,1.090909,24,4.166667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '4.166667'}]",22,0.37,1,3,1,8,3,1
,,,,,,,,,,,,,8,,8,,,,8,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,18-24,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.03625,0.03625,,,0.03625,,19.333333,19.333333,0,2025-11-28,2025-11-28,1,15,,,,,15,0.29,2,6,2,8,3,3
,3,,,1,,,3,,,,,,39,,39,,,,38,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,25-34,6913347651784,FB_iOS_itoshi_rap_install,1,,0.83,"[{'action_type': 'outbound_click', 'value': '0.83'}]",0.83,,0.276667,,0.021282,0.021282,,,0.021842,0.83,8.469388,8.556701,1.020408,2025-11-28,2025-11-28,1.010309,98,1.020408,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.020408'}]",97,0.83,6,4,6,34,16,8
,18,,,5,1,1,18,,,,,,327,,327,,,,322,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,35-44,6913347651784,FB_iOS_itoshi_rap_install,5,,1.236,"[{'action_type': 'outbound_click', 'value': '1.236'}]",1.236,6.18,0.343333,,0.018899,0.018899,,,0.019193,1.236,8.306452,8.619247,0.672043,2025-11-28,2025-11-28,1.037657,744,0.672043,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '0.672043'}]",717,6.18,22,4,22,310,119,61
,146,,,26,12,12,146,,,,,,1349,,1349,6,6,,1317,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,45-54,6913347651784,FB_iOS_itoshi_rap_install,25,"[{'action_type': 'subscribe_mobile_app', 'value': '12.92'}, {'action_type': 'subscribe_total', 'value': '12.92'}, {'action_type': 'start_trial_mobile_app', 'value': '12.92'}, {'action_type': 'start_trial_total', 'value': '12.92'}]",0.993846,"[{'action_type': 'outbound_click', 'value': '0.993846'}]",0.993846,2.153333,0.176986,,0.019155,0.019155,4.306667,,0.01962,1.0336,8.873626,9.591685,0.858516,2025-11-28,2025-11-28,1.080921,2912,0.892857,26,"[{'action_type': 'outbound_click', 'value': '26'}]","[{'action_type': 'outbound_click', 'value': '0.892857'}]",2694,25.84,111,4,104,1251,564,290
