action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,1,,1,,,,1,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-07,2025-12-07,1,female,2,,,,,2,0.02,,4,,1,1,
,,,,,,,,,,,,,,,,,,,,,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,30,30,0,2025-12-07,2025-12-07,1,male,2,,,,,2,0.06,,2,,,,
,,,,,,,,,,,,,,14,,14,,,,14,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.085714,0.085714,,,0.085714,,27.906977,29.268293,0,2025-12-07,2025-12-07,1.04878,male,43,,,,,41,1.2,,3,,14,2,
3,182,,,24,13,13,182,3,3,,,,3,935,2,935,4,2,3,907,3,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,29,"[{'action_type': 'subscribe_mobile_app', 'value': '33.593333'}, {'action_type': 'subscribe_total', 'value': '33.593333'}]",4.199167,"[{'action_type': 'outbound_click', 'value': '4.199167'}]",4.199167,7.752308,0.553736,33.593333,0.107786,0.107786,25.195,33.593333,0.111114,3.475172,44.337879,45.111907,1.275847,2025-12-07,2025-12-07,1.017457,female,2273,1.055873,24,"[{'action_type': 'outbound_click', 'value': '24'}]","[{'action_type': 'outbound_click', 'value': '1.055873'}]",2234,100.78,61,3,61,851,323,171
7,692,,1,102,57,57,692,7,7,,,1,7,4739,4,4739,22,17,7,4615,7,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,119,"[{'action_type': 'subscribe_mobile_app', 'value': '73.356'}, {'action_type': 'subscribe_total', 'value': '73.356'}]",3.595882,"[{'action_type': 'outbound_click', 'value': '3.595882'}]",3.595882,6.434737,0.530029,52.397143,0.077396,0.077396,16.671818,52.397143,0.079476,3.082185,31.469755,32.415378,1.021021,2025-12-07,2025-12-07,1.030049,male,11655,0.875161,102,"[{'action_type': 'outbound_click', 'value': '102'}]","[{'action_type': 'outbound_click', 'value': '0.875161'}]",11315,366.78,351,3,342,4348,1779,948
,,,,,,,,,,,,,,54,,54,,,,54,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.059074,0.059074,,,0.059074,,27.982456,29.813084,0,2025-12-07,2025-12-07,1.065421,unknown,114,,,,,107,3.19,4,4,4,52,21,12
,,,,,,,,,,,,,,,,,,,,,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-12-07,2025-12-07,1,male,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-12-07,2025-12-07,1,female,1,,,,,1,0.01,,2,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.19,0.19,,,0.19,,38,38,0,2025-12-07,2025-12-07,1,female,5,,,,,5,0.19,,3,,1,1,1
16,1181,1,,195,118,118,1181,16,16,7,7,7,16,5673,9,5673,90,74,16,5388,16,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,231,"[{'action_type': 'subscribe_mobile_app', 'value': '35.770769'}, {'action_type': 'subscribe_total', 'value': '35.770769'}]",2.384718,"[{'action_type': 'outbound_click', 'value': '2.384718'}]",2.384718,3.940847,0.393751,29.06375,0.081971,0.081971,5.166889,29.06375,0.086307,2.013074,33.459491,36.994431,1.66211,2025-12-07,2025-12-07,1.105648,female,13898,1.40308,195,"[{'action_type': 'outbound_click', 'value': '195'}]","[{'action_type': 'outbound_click', 'value': '1.40308'}]",12570,465.02,557,5,545,4901,2448,1545
,16,,,2,1,1,16,,,,,,,206,,206,2,2,,202,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,6.335,"[{'action_type': 'outbound_click', 'value': '6.335'}]",6.335,12.67,0.791875,,0.061505,0.061505,6.335,,0.062723,6.335,23.078324,24.554264,0.364299,2025-12-07,2025-12-07,1.063953,male,549,0.364299,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.364299'}]",516,12.67,24,4,24,186,91,59
