action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,2,,,,,,,,,,39,,39,,,,37,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,,1.54,"[{'action_type': 'outbound_click', 'value': '1.54'}]",1.54,,,,0.078974,0.078974,,,0.083243,1.026667,35.813953,37.560976,3.488372,2025-12-07,2025-12-07,1.04878,unknown,86,2.325581,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '2.325581'}]",82,3.08,5,5,5,32,16,13
,,,,,,,,,,,,,,2,,2,,,,2,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.19,0.19,,,0.19,,95,95,0,2025-12-07,2025-12-07,1,male,4,,,,,4,0.38,1,9,1,2,1,1
2,84,,,27,11,11,84,2,2,,,,2,805,3,805,9,6,2,769,2,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,30,"[{'action_type': 'subscribe_mobile_app', 'value': '86.1'}, {'action_type': 'subscribe_total', 'value': '86.1'}]",3.188889,"[{'action_type': 'outbound_click', 'value': '3.188889'}]",3.188889,7.827273,1.025,43.05,0.106957,0.106957,9.566667,43.05,0.111964,2.87,43.617021,46.616134,1.519757,2025-12-07,2025-12-07,1.06876,female,1974,1.367781,27,"[{'action_type': 'outbound_click', 'value': '27'}]","[{'action_type': 'outbound_click', 'value': '1.367781'}]",1847,86.1,67,5,68,663,323,208
3,156,,,41,10,10,156,3,3,2,2,,3,1501,,1501,9,7,3,1451,3,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,41,"[{'action_type': 'subscribe_mobile_app', 'value': '33.8775'}, {'action_type': 'subscribe_total', 'value': '33.8775'}]",3.305122,"[{'action_type': 'outbound_click', 'value': '3.305122'}]",3.305122,13.551,0.868654,45.17,0.09028,0.09028,15.056667,45.17,0.093391,3.305122,29.749726,30.846802,0.90011,2025-12-07,2025-12-07,1.036877,male,4555,0.90011,41,"[{'action_type': 'outbound_click', 'value': '41'}]","[{'action_type': 'outbound_click', 'value': '0.90011'}]",4393,135.51,174,3,167,1239,597,391
,,,,1,,,,,,,,,,27,,27,,,,26,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,2.12,"[{'action_type': 'outbound_click', 'value': '2.12'}]",2.12,,,,0.078519,0.078519,,,0.081538,2.12,33.125,34.193548,1.5625,2025-12-07,2025-12-07,1.032258,unknown,64,1.5625,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.5625'}]",62,2.12,7,6,7,24,18,15
,,,,,,,,,,,,,,1,,1,,,,1,,6920992821984,02 snoop_loseYourself - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-07,2025-12-07,1,male,1,,,,,1,0.01,,3,,,,
,11,,,8,1,1,11,,,,,,,233,1,233,8,7,,217,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,8,,1.8925,"[{'action_type': 'outbound_click', 'value': '1.8925'}]",1.8925,15.14,1.376364,,0.064979,0.064979,1.8925,,0.06977,1.8925,28.299065,29.284333,1.495327,2025-12-07,2025-12-07,1.034816,female,535,1.495327,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '1.495327'}]",517,15.14,16,4,16,200,97,48
15,1404,5,6,292,94,94,1404,15,15,3,3,2,15,7362,14,7362,107,84,15,6963,15,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,314,"[{'action_type': 'subscribe_mobile_app', 'value': '32.7975'}, {'action_type': 'subscribe_total', 'value': '32.7975'}]",1.347842,"[{'action_type': 'outbound_click', 'value': '1.347842'}]",1.347842,4.186915,0.280321,26.238,0.05346,0.05346,3.678224,26.238,0.056523,1.253408,22.272084,23.642098,1.776923,2025-12-07,2025-12-07,1.061513,male,17671,1.652425,292,"[{'action_type': 'outbound_click', 'value': '292'}]","[{'action_type': 'outbound_click', 'value': '1.652425'}]",16647,393.57,736,5,712,6236,3399,2100
,,,,1,,,,,,,,,,51,,51,,,,50,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,3,,3.04,"[{'action_type': 'outbound_click', 'value': '3.04'}]",3.04,,,,0.059608,0.059608,,,0.0608,1.013333,24.715447,25.762712,2.439024,2025-12-07,2025-12-07,1.042373,unknown,123,0.813008,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.813008'}]",118,3.04,9,4,9,45,29,14
,,,,,,,,,,,,,,9,,9,,,,9,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.046667,0.046667,,,0.046667,,16.153846,16.153846,0,2025-12-07,2025-12-07,1,female,26,,,,,26,0.42,1,3,1,8,4,4
,8,,,3,2,2,8,,,2,2,,,189,1,189,6,3,,180,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,3,,2.65,"[{'action_type': 'outbound_click', 'value': '2.65'}]",2.65,3.975,0.99375,,0.042063,0.042063,1.325,,0.044167,2.65,17.096774,17.096774,0.645161,2025-12-07,2025-12-07,1,male,465,0.645161,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.645161'}]",465,7.95,7,4,8,151,70,40
,,,,,,,,,,,,,,1,,1,,,,1,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.02,0.02,,,0.02,,6.666667,6.666667,0,2025-12-07,2025-12-07,1,unknown,3,,,,,3,0.02,,1,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6920992824184,01 Jesus_travis - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-07,2025-12-07,1,male,2,,,,,2,0.03,,3,,1,,
6,1131,8,2,376,120,120,1131,6,6,4,4,4,6,8180,12,8180,126,108,6,7678,6,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,362,"[{'action_type': 'subscribe_mobile_app', 'value': '148.206667'}, {'action_type': 'subscribe_total', 'value': '148.206667'}]",1.1825,"[{'action_type': 'outbound_click', 'value': '1.1825'}]",1.1825,3.705167,0.393121,74.103333,0.054355,0.054355,3.52873,74.103333,0.057908,1.228232,27.06312,30.786595,2.203421,2025-12-07,2025-12-07,1.137585,female,16429,2.288636,376,"[{'action_type': 'outbound_click', 'value': '376'}]","[{'action_type': 'outbound_click', 'value': '2.288636'}]",14442,444.62,1382,5,1293,7107,4324,3070
,2,,1,14,,,2,,,,,,,284,,284,3,2,,267,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,13,,1.190714,"[{'action_type': 'outbound_click', 'value': '1.190714'}]",1.190714,,8.335,,0.058697,0.058697,5.556667,,0.062434,1.282308,24.696296,26.8438,1.925926,2025-12-07,2025-12-07,1.086957,male,675,2.074074,14,"[{'action_type': 'outbound_click', 'value': '14'}]","[{'action_type': 'outbound_click', 'value': '2.074074'}]",621,16.67,45,5,40,237,130,95
,,,,2,,,,,,,,,,39,,39,,,,37,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,2,,1.22,"[{'action_type': 'outbound_click', 'value': '1.22'}]",1.22,,,,0.062564,0.062564,,,0.065946,1.22,28.045977,29.39759,2.298851,2025-12-07,2025-12-07,1.048193,unknown,87,2.298851,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '2.298851'}]",83,2.44,4,4,3,36,21,14
,,,,,,,,,,,,,,1,,1,,,,1,,6920995425184,06_WillS_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-07,2025-12-07,1,male,1,,,,,1,0,,4,,1,,
,,,,,,,,,,,,,,1,,1,,,,1,,6920995425384,02_jesus_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-07,2025-12-07,1,male,1,,,,,1,0.01,,4,,1,,
,2,,,16,,,2,,,,,,,436,2,436,17,15,,403,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,19,,1.680625,"[{'action_type': 'outbound_click', 'value': '1.680625'}]",1.680625,,13.445,,0.061674,0.061674,1.581765,,0.066725,1.415263,27.244174,28.728632,1.925025,2025-12-07,2025-12-07,1.054487,female,987,1.621074,16,"[{'action_type': 'outbound_click', 'value': '16'}]","[{'action_type': 'outbound_click', 'value': '1.621074'}]",936,26.89,60,4,59,349,188,129
6,1171,4,3,341,107,107,1171,6,6,3,3,4,6,7590,14,7590,134,114,6,7115,6,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,358,"[{'action_type': 'subscribe_mobile_app', 'value': '69.84'}, {'action_type': 'subscribe_total', 'value': '69.84'}]",1.228856,"[{'action_type': 'outbound_click', 'value': '1.236106'}]",1.228856,3.916262,0.357848,69.84,0.055209,0.055209,3.127164,69.84,0.058895,1.170503,25.475105,27.068019,2.176424,2025-12-07,2025-12-07,1.062528,male,16449,2.073074,341,"[{'action_type': 'outbound_click', 'value': '339'}]","[{'action_type': 'outbound_click', 'value': '2.060916'}]",15481,419.04,946,4,928,6289,3409,2138
,,,,2,,,,,,,,,,52,,52,,,,50,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,2,,1.605,"[{'action_type': 'outbound_click', 'value': '1.605'}]",1.605,,,,0.061731,0.061731,,,0.0642,1.605,25.887097,26.75,1.612903,2025-12-07,2025-12-07,1.033333,unknown,124,1.612903,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.612903'}]",120,3.21,7,4,7,42,25,15
,,,,,,,,,,,,,,,,,,,,,,6920995425984,05_Snoop_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,,0,2025-12-07,2025-12-07,0,female,1,,,,,0,0.01,,2,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6920995425984,05_Snoop_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-07,2025-12-07,1,male,1,,,,,1,0.01,,4,,1,,
,,,,,,,,,,,,,,1,,1,,,,1,,6920996505584,01_black4_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.04,0.04,,,0.04,,20,20,0,2025-12-07,2025-12-07,1,female,2,,,,,2,0.04,,11,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,6920996505584,01_black4_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,0,0,0,2025-12-07,2025-12-07,1,male,1,,,,,1,0,,0,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6920996505984,04_fbg_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.08,0.08,,,0.08,,40,40,0,2025-12-07,2025-12-07,1,female,2,,,,,2,0.08,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,,6920996506184,03_blackbodysuit_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,30,30,0,2025-12-07,2025-12-07,1,female,1,,,,,1,0.03,,3,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6920996506184,03_blackbodysuit_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-07,2025-12-07,1,male,1,,,,,1,0,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,6920996506584,11_yellow dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-07,2025-12-07,1,female,1,,,,,1,0.02,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,6920996506584,11_yellow dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,150,150,0,2025-12-07,2025-12-07,1,male,1,,,,,1,0.15,,2,,,,
2,822,6,1,162,83,83,822,2,2,4,4,,2,4348,10,4348,96,81,2,4090,2,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,159,"[{'action_type': 'subscribe_mobile_app', 'value': '116.815'}, {'action_type': 'subscribe_total', 'value': '116.815'}]",1.44216,"[{'action_type': 'outbound_click', 'value': '1.44216'}]",1.44216,2.814819,0.284221,116.815,0.053733,0.053733,2.433646,116.815,0.057122,1.469371,26.147734,28.356597,1.779519,2025-12-07,2025-12-07,1.084476,female,8935,1.813095,162,"[{'action_type': 'outbound_click', 'value': '162'}]","[{'action_type': 'outbound_click', 'value': '1.813095'}]",8239,233.63,529,5,500,3695,2247,1554
,2,,,5,,,2,,,,,,,153,,153,1,1,,147,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,5,,1.528,"[{'action_type': 'outbound_click', 'value': '1.528'}]",1.528,,3.82,,0.049935,0.049935,7.64,,0.051973,1.528,22.60355,24.100946,1.47929,2025-12-07,2025-12-07,1.066246,male,338,1.47929,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.47929'}]",317,7.64,27,5,27,127,76,60
,,,,1,,,,,,,,,,36,,36,1,1,,34,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,,1.55,"[{'action_type': 'outbound_click', 'value': '1.55'}]",1.55,,,,0.043056,0.043056,1.55,,0.045588,1.55,23.846154,25,1.538462,2025-12-07,2025-12-07,1.048387,unknown,65,1.538462,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.538462'}]",62,1.55,4,6,3,32,23,15
,,,,,,,,,,,,,,,,,,,,,,6920996507184,08_Red dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-07,2025-12-07,1,female,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6920996507584,05_greendress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,140,140,0,2025-12-07,2025-12-07,1,female,1,,,,,1,0.14,,0,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6920996507584,05_greendress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.08,0.08,,,0.08,,80,80,0,2025-12-07,2025-12-07,1,male,1,,,,,1,0.08,,10,,1,1,
1,581,4,,125,61,61,581,1,1,2,2,1,1,3939,3,3939,44,39,1,3770,1,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,135,"[{'action_type': 'subscribe_mobile_app', 'value': '192.95'}, {'action_type': 'subscribe_total', 'value': '192.95'}]",1.5436,"[{'action_type': 'outbound_click', 'value': '1.5436'}]",1.5436,3.163115,0.3321,192.95,0.048985,0.048985,4.385227,192.95,0.05118,1.429259,23.43048,25.258542,1.639344,2025-12-07,2025-12-07,1.078021,female,8235,1.517911,125,"[{'action_type': 'outbound_click', 'value': '125'}]","[{'action_type': 'outbound_click', 'value': '1.517911'}]",7639,192.95,394,5,375,3434,2137,1314
,18,,,8,1,1,18,,,,,,,314,,314,4,4,,302,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,9,,1.71125,"[{'action_type': 'outbound_click', 'value': '1.71125'}]",1.71125,13.69,0.760556,,0.043599,0.043599,3.4225,,0.045331,1.521111,20.964778,21.904,1.378254,2025-12-07,2025-12-07,1.0448,male,653,1.225115,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '1.225115'}]",625,13.69,29,6,31,271,150,108
,,,,1,,,,,,,,,,24,,24,,,,23,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,,1.47,"[{'action_type': 'outbound_click', 'value': '1.47'}]",1.47,,,,0.06125,0.06125,,,0.063913,1.47,24.5,27.222222,1.666667,2025-12-07,2025-12-07,1.111111,unknown,60,1.666667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.666667'}]",54,1.47,2,4,2,21,12,10
,27,,,13,5,5,27,,,,,,,296,,296,7,7,,276,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,13,,1.057692,"[{'action_type': 'outbound_click', 'value': '1.057692'}]",1.057692,2.75,0.509259,,0.046453,0.046453,1.964286,,0.049819,1.057692,23.07047,24.336283,2.181208,2025-12-07,2025-12-07,1.054867,female,596,2.181208,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '2.181208'}]",565,13.75,43,5,43,246,151,119
,,,,,,,,,,,,,,22,,22,,,,22,,6920999337984,04_fbg_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.063636,0.063636,,,0.063636,,22.95082,24.561404,0,2025-12-07,2025-12-07,1.070175,male,61,,,,,57,1.4,1,4,2,22,14,12
