action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_conversion.post_unsave,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,201,2,1,29,13,13,201,,,5,,,1,,,894,,894,7,6,,858,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,30,"[{'action_type': 'subscribe_mobile_app', 'value': '24.865'}, {'action_type': 'subscribe_total', 'value': '24.865'}, {'action_type': 'start_trial_mobile_app', 'value': '9.946'}, {'action_type': 'start_trial_total', 'value': '9.946'}]",1.714828,"[{'action_type': 'outbound_click', 'value': '1.714828'}]",1.714828,3.825385,0.247413,,0.055626,0.055626,7.104286,,0.05796,1.657667,22.832874,24.024155,1.37741,2025-12-14,2025-12-14,1.052174,male,2178,1.331497,29,"[{'action_type': 'outbound_click', 'value': '29'}]","[{'action_type': 'outbound_click', 'value': '1.331497'}]",2070,49.73,98,4,95,820,386,225
,,,,,,,,,,,,,,,,12,,12,,,,12,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.058333,0.058333,,,0.058333,,15.909091,17.5,0,2025-12-14,2025-12-14,1.1,unknown,44,,,,,40,0.7,2,3,2,10,4,4
,14,,,3,1,1,14,,,1,,,,,,86,,86,1,1,,82,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,"[{'action_type': 'subscribe_mobile_app', 'value': '4.9'}, {'action_type': 'subscribe_total', 'value': '4.9'}, {'action_type': 'start_trial_mobile_app', 'value': '4.9'}, {'action_type': 'start_trial_total', 'value': '4.9'}]",1.633333,"[{'action_type': 'outbound_click', 'value': '2.45'}]",1.633333,4.9,0.35,,0.056977,0.056977,4.9,,0.059756,1.633333,22.897196,23.333333,1.401869,2025-12-14,2025-12-14,1.019048,female,214,1.401869,3,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.934579'}]",210,4.9,9,3,8,79,36,16
,53,1,,15,3,3,53,,,,,,,,,202,,202,,,,187,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,14,,0.899333,"[{'action_type': 'outbound_click', 'value': '0.899333'}]",0.899333,4.496667,0.254528,,0.066782,0.066782,,,0.072139,0.963571,22.787162,23.791887,2.364865,2025-12-14,2025-12-14,1.044092,male,592,2.533784,15,"[{'action_type': 'outbound_click', 'value': '15'}]","[{'action_type': 'outbound_click', 'value': '2.533784'}]",567,13.49,28,3,27,183,97,57
,,,,,,,,,,,,,,,,1,,1,,,,1,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.07,0.07,,,0.07,,17.5,17.5,0,2025-12-14,2025-12-14,1,unknown,4,,,,,4,0.07,,1,,1,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-14,2025-12-14,1,male,1,,,,,1,0,,5,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,15,15,0,2025-12-14,2025-12-14,1,female,2,,,,,2,0.03,,1,,,,
,223,,,33,26,26,223,,,11,,,1,,,819,,819,12,12,,774,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,39,"[{'action_type': 'subscribe_mobile_app', 'value': '8.98125'}, {'action_type': 'subscribe_total', 'value': '8.98125'}, {'action_type': 'start_trial_mobile_app', 'value': '11.975'}, {'action_type': 'start_trial_total', 'value': '11.975'}]",2.177273,"[{'action_type': 'outbound_click', 'value': '2.177273'}]",2.177273,2.763462,0.322197,,0.087729,0.087729,5.9875,,0.092829,1.842308,30.757705,31.947532,1.669521,2025-12-14,2025-12-14,1.038684,female,2336,1.412671,33,"[{'action_type': 'outbound_click', 'value': '33'}]","[{'action_type': 'outbound_click', 'value': '1.412671'}]",2249,71.85,98,4,94,703,373,236
,3,,,2,,,3,,,1,,,,,,35,,35,1,1,,32,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,0.975,"[{'action_type': 'outbound_click', 'value': '0.975'}]",0.975,,0.65,,0.055714,0.055714,1.95,,0.060938,0.975,20.967742,21.910112,2.150538,2025-12-14,2025-12-14,1.044944,male,93,2.150538,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '2.150538'}]",89,1.95,3,3,3,28,10,7
,,,,,,,,,,,,,,,,5,,5,,,,5,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.176,0.176,,,0.176,,46.315789,48.888889,0,2025-12-14,2025-12-14,1.055556,unknown,19,,,,,18,0.88,1,3,1,4,2,2
