action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,2,,,,,,2,,,,,,,,,,,,,,6908318943184,fwg_sliding,6908318942984,FB_iOS_Purchase_itoshi_fwgvariants,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-11-23,2025-11-23,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,11,,,,,,11,,,,,,,,,,,,,,6912302343584,04 creatydesign06_natural-looking_y2k,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-11-23,2025-11-23,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,8,,,,,,8,,,,,,,,,,,,,,6912306130584,10 kimk-braids_Slayer,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-11-23,2025-11-23,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,13,,,,2,2,13,,,,,,,,,,,,,,6913301788584,pose_arrestprank_2,6913294152984,FB_iOS_Purchase_itoshi_arrestprank_211125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,0.03,0.004615,,,,,,,,20,20,0,2025-11-23,2025-11-23,UNKNOWN,1,3,,,,,UNKNOWN,3,0.06,,1,,,,
,,,,,,,,,,,,,8,,8,,,,8,,6913347654184,tyson_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.11875,0.11875,,,0.11875,,23.170732,23.170732,0,2025-11-23,2025-11-23,UNKNOWN,1,41,,,,,UNKNOWN,41,0.95,,2,,8,3,
27,4062,30,9,1328,380,380,4062,27,27,4,4,27,31817,35,31817,341,293,27,30148,27,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,1337,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '51.42875'}, {'action_type': 'subscribe_total', 'value': '51.42875'}, {'action_type': 'start_trial_mobile_app', 'value': '411.43'}, {'action_type': 'start_trial_total', 'value': '411.43'}]",0.619623,"[{'action_type': 'outbound_click', 'value': '0.62009'}]",0.619623,2.165421,0.202575,30.476296,0.025862,0.025862,2.413079,30.476296,0.027294,0.615453,11.036805,12.160792,1.793283,2025-11-23,2025-11-23,ABOVE_AVERAGE,1.10184,74556,1.781211,1328,"[{'action_type': 'outbound_click', 'value': '1327'}]","[{'action_type': 'outbound_click', 'value': '1.77987'}]",AVERAGE,67665,822.86,3872,4,3631,28790,13778,7988
,80,,,17,5,5,80,,,,,,343,,343,1,1,,325,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,18,ABOVE_AVERAGE,,0.687059,"[{'action_type': 'outbound_click', 'value': '0.687059'}]",0.687059,2.336,0.146,,0.034052,0.034052,11.68,,0.035938,0.648889,14.296206,15.635877,2.203182,2025-11-23,2025-11-23,AVERAGE,1.093708,817,2.080783,17,"[{'action_type': 'outbound_click', 'value': '17'}]","[{'action_type': 'outbound_click', 'value': '2.080783'}]",AVERAGE,747,11.68,37,7,35,312,144,80
,,,,,,,,,,,,,2,,2,,,,2,,6913358999384,jesus_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.24,0.24,,,0.24,,17.142857,19.2,0,2025-11-23,2025-11-23,UNKNOWN,1.12,28,,,,,UNKNOWN,25,0.48,1,1,1,2,1,1
,2,,,2,,,2,,,,,,15,,15,,,,13,,6913359259784,kendrick_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,2,UNKNOWN,,0.48,"[{'action_type': 'outbound_click', 'value': '0.48'}]",0.48,,0.48,,0.064,0.064,,,0.073846,0.48,13.150685,14.769231,2.739726,2025-11-23,2025-11-23,UNKNOWN,1.123077,73,2.739726,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '2.739726'}]",UNKNOWN,65,0.96,4,3,4,25,10,9
,,,,,,,,,,,,,2,,2,,,,2,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.285,0.285,,,0.285,,47.5,47.5,0,2025-11-23,2025-11-23,UNKNOWN,1,12,,,,,UNKNOWN,12,0.57,1,3,1,3,2,2
