action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,,6920992823784,02 Mike_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,110,110,0,2025-12-05,2025-12-05,1,1,,,,,facebook,1,0.11,,2,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992823784,02 Mike_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.09,0.09,,,0.09,,30,30,0,2025-12-05,2025-12-05,1,3,,,,,instagram,3,0.09,,2,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992823784,02 Mike_rapGod - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-05,2025-12-05,1,1,,,,,threads,1,0,,9,,1,1,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992823984,01 Santa_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-05,2025-12-05,1,2,,,,,facebook,2,0.03,,6,,1,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6920992823984,01 Santa_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.11,0.11,,,0.11,,12.222222,12.222222,0,2025-12-05,2025-12-05,1,9,,,,,instagram,9,0.11,,2,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,6920992823984,01 Santa_slim - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,threads,1,0.01,,2,,,,
,,,,,,,,,,,,,,,10,,10,1,1,,9,,6920992824184,01 Jesus_travis - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.045,0.045,0.45,,0.05,,25,26.470588,0,2025-12-05,2025-12-05,1.058824,18,,,,,facebook,17,0.45,,4,,8,5,4
,,,,,,,,,,,,,,,4,,4,,,,4,,6920992824184,01 Jesus_travis - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.0425,0.0425,,,0.0425,,13.076923,13.076923,0,2025-12-05,2025-12-05,1,13,,,,,instagram,13,0.17,,3,,2,1,1
,,,,,,,,,,,,,,,2,,2,,,,2,,6920992824184,01 Jesus_travis - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-05,2025-12-05,1,2,,,,,threads,2,0.02,,11,,2,2,2
,,,,,,,,,,,,,,,7,,7,,,,7,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.121304,0.121304,,,0.121304,,44.691076,44.691076,0,2025-12-05,2025-12-05,1,19,,,,,facebook,19,0.84913,1,4,1,5,5,3
,,,,,,,,,,,,,,,15,,15,,,,15,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.062674,0.062674,,,0.062674,,24.105351,24.739703,0,2025-12-05,2025-12-05,1.026316,39,,,,,instagram,38,0.940109,2,4,2,13,6,4
,,,,,,,,,,,,,,,2,,2,,,,2,,6920994402984,06_green hair_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.03538,0.03538,,,0.03538,,23.586957,23.586957,0,2025-12-05,2025-12-05,1,3,,,,,threads,3,0.070761,1,9,1,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,6920994403384,10_Red pants_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,facebook,1,0.01,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920994403384,10_Red pants_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,1,,,,,threads,1,0.02,,2,,,,
,,,,,,,,,,,,,,,3,,3,,,,3,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.006678,0.006678,,,0.006678,,6.677692,6.677692,0,2025-12-05,2025-12-05,1,3,,,,,audience_network,3,0.020033,2,10,2,2,2,2
7,591,2,1,119,55,55,591,7,7,,1,1,4,7,2629,3,2629,48,43,7,2462,7,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,114,"[{'action_type': 'subscribe_mobile_app', 'value': '32.764097'}, {'action_type': 'subscribe_total', 'value': '32.764097'}]",1.101314,"[{'action_type': 'outbound_click', 'value': '1.110647'}]",1.101314,2.382843,0.221754,18.722341,0.04985,0.04985,2.730341,18.722341,0.053232,1.149617,24.346348,27.145068,2.117778,2025-12-05,2025-12-05,1.114954,5383,2.210663,119,"[{'action_type': 'outbound_click', 'value': '118'}]","[{'action_type': 'outbound_click', 'value': '2.192086'}]",facebook,4828,131.056389,474,5,452,2262,1403,1026
,3,,,4,1,1,3,,,,,,,,101,,101,2,2,,95,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,5,,2.033357,"[{'action_type': 'outbound_click', 'value': '2.033357'}]",2.033357,8.133429,2.711143,,0.080529,0.080529,4.066715,,0.085615,1.626686,30.123812,31.043623,1.851852,2025-12-05,2025-12-05,1.030534,270,1.481481,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.481481'}]",instagram,262,8.133429,14,4,14,87,46,28
,,,,,,,,,,,,,,,2,,2,,,,2,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.045074,0.045074,,,0.045074,,22.537211,22.537211,0,2025-12-05,2025-12-05,1,4,,,,,threads,4,0.090149,,4,,2,1,
,,,,,,,,,,,,,,,,,,,,,,,6920994404384,05_greendress_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,facebook,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920995424984,01_Eddie_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,instagram,1,0.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920995425184,06_WillS_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,0,0,0,2025-12-05,2025-12-05,1,1,,,,,facebook,1,0,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920995425184,06_WillS_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,500,500,0,2025-12-05,2025-12-05,1,1,,,,,instagram,1,0.5,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920995425184,06_WillS_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,1,,,,,messenger,1,0.02,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920995425384,02_jesus_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,40,40,0,2025-12-05,2025-12-05,1,1,,,,,instagram,1,0.04,,,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.040012,0.040012,,,0.040012,,10.002883,10.002883,0,2025-12-05,2025-12-05,1,4,,,,,audience_network,4,0.040012,,2,,1,,
5,497,4,,168,35,35,497,5,5,,2,2,2,5,2749,5,2749,40,33,5,2541,5,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,162,"[{'action_type': 'subscribe_mobile_app', 'value': '38.671147'}, {'action_type': 'subscribe_total', 'value': '38.671147'}]",0.690556,"[{'action_type': 'outbound_click', 'value': '0.690556'}]",0.690556,3.31467,0.233427,23.202688,0.042202,0.042202,2.900336,23.202688,0.045657,0.716132,19.07802,20.701899,2.664036,2025-12-05,2025-12-05,1.085118,6081,2.762704,168,"[{'action_type': 'outbound_click', 'value': '168'}]","[{'action_type': 'outbound_click', 'value': '2.762704'}]",facebook,5604,116.013441,412,4,392,2268,1284,851
,85,,,12,5,5,85,,,,,,,,329,1,329,3,2,,314,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,14,,1.745503,"[{'action_type': 'outbound_click', 'value': '1.745503'}]",1.745503,4.189208,0.246424,,0.063666,0.063666,6.982013,,0.066707,1.496146,29.543071,30.400635,1.974612,2025-12-05,2025-12-05,1.029028,709,1.692525,12,"[{'action_type': 'outbound_click', 'value': '12'}]","[{'action_type': 'outbound_click', 'value': '1.692525'}]",instagram,689,20.946038,29,5,29,274,128,64
,,,,,,,,,,,,,,,30,,30,,,,30,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.059017,0.059017,,,0.059017,,24.590421,24.590421,0,2025-12-05,2025-12-05,1,72,,,,,threads,72,1.77051,2,4,2,25,14,8
,,,,,,,,,,,,,,,,,,,,,,,6920995425984,05_Snoop_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,facebook,1,0.01,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920995425984,05_Snoop_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,1,,,,,instagram,1,0.02,,1,,,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6920996505584,01_black4_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.07,0.07,,,0.07,,23.333333,23.333333,0,2025-12-05,2025-12-05,1,6,,,,,facebook,6,0.14,,4,,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,6920996505584,01_black4_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,instagram,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920996505784,09_red lipstick_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,40,40,0,2025-12-05,2025-12-05,1,2,,,,,instagram,2,0.08,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996505984,04_fbg_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.04,0.04,,,0.04,,13.333333,13.333333,0,2025-12-05,2025-12-05,1,3,,,,,facebook,3,0.04,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6920996505984,04_fbg_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,instagram,1,0.01,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996506184,03_blackbodysuit_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.05,0.05,,,0.05,,16.666667,16.666667,0,2025-12-05,2025-12-05,1,3,,,,,facebook,3,0.05,,2,,1,,
,,,,,,,,,,,,,,,3,,3,1,1,,2,,6920996506184,03_blackbodysuit_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.056667,0.056667,0.17,,0.085,,24.285714,24.285714,0,2025-12-05,2025-12-05,1,7,,,,,instagram,7,0.17,,6,,2,2,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996506184,03_blackbodysuit_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,5,5,0,2025-12-05,2025-12-05,1,2,,,,,messenger,2,0.01,1,14,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,6920996506384,06_green hair_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,facebook,1,0.01,,3,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996506384,06_green hair_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-05,2025-12-05,1,2,,,,,instagram,2,0.02,,3,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996506584,11_yellow dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.04,0.04,,,0.04,,20,20,0,2025-12-05,2025-12-05,1,2,,,,,facebook,2,0.04,,6,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,6920996506584,11_yellow dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,1,,,,,instagram,1,0.02,,3,,,,
,,,,,,,,,,,,,,,3,,3,1,1,,2,,6920996506784,10_Red pants_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.04,0.04,0.12,,0.06,,30,30,0,2025-12-05,2025-12-05,1,4,,,,,instagram,4,0.12,,4,,2,1,1
,,,,1,,,,,,,,,,,3,,3,,,,2,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,,0.03,"[{'action_type': 'outbound_click', 'value': '0.03'}]",0.03,,,,0.01,0.01,,,0.015,0.03,15,15,50,2025-12-05,2025-12-05,1,2,50,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '50'}]",audience_network,2,0.03,1,10,1,2,1,1
1,455,4,,98,47,47,455,1,1,,1,1,,1,2275,6,2275,38,31,1,2139,1,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,94,"[{'action_type': 'subscribe_mobile_app', 'value': '121.24'}, {'action_type': 'subscribe_total', 'value': '121.24'}]",1.237143,"[{'action_type': 'outbound_click', 'value': '1.237143'}]",1.237143,2.579574,0.266462,121.24,0.053292,0.053292,3.190526,121.24,0.056681,1.289787,25.867293,28.770764,2.005547,2025-12-05,2025-12-05,1.112245,4687,2.09089,98,"[{'action_type': 'outbound_click', 'value': '98'}]","[{'action_type': 'outbound_click', 'value': '2.09089'}]",facebook,4214,121.24,292,5,278,1947,1188,825
,61,,,13,8,8,61,,,,,,,,339,1,339,9,8,,317,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,19,,2.01,"[{'action_type': 'outbound_click', 'value': '2.01'}]",2.01,3.26625,0.428361,,0.07708,0.07708,2.903333,,0.082429,1.375263,31.444043,31.444043,2.286402,2025-12-05,2025-12-05,1,831,1.56438,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '1.56438'}]",instagram,831,26.13,41,4,41,273,148,107
,,,,,,,,,,,,,,,8,,8,,,,8,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.0375,0.0375,,,0.0375,,20,20,0,2025-12-05,2025-12-05,1,15,,,,,threads,15,0.3,,6,,7,5,5
,,,,,,,,,,,,,,,,,,,,,,,6920996507184,08_Red dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,26,26,0,2025-12-05,2025-12-05,1,5,,,,,instagram,5,0.13,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920996507384,07_nose ring_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,40,0,2025-12-05,2025-12-05,2,2,,,,,facebook,1,0.04,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920996507384,07_nose ring_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,1,,,,,instagram,1,0.02,,5,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920996507584,05_greendress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.05,0.05,,,0.05,,12.5,12.5,0,2025-12-05,2025-12-05,1,4,,,,,facebook,4,0.05,,3,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,6920996507584,05_greendress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,60,60,0,2025-12-05,2025-12-05,1,2,,,,,instagram,2,0.12,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920999335984,11_yellow dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.07,0.07,,,0.07,,17.5,17.5,0,2025-12-05,2025-12-05,1,4,,,,,facebook,4,0.07,,5,,1,1,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6920999335984,11_yellow dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.05,0.05,,,0.05,,16.666667,16.666667,0,2025-12-05,2025-12-05,1,3,,,,,instagram,3,0.05,,4,,1,1,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920999335984,11_yellow dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,threads,1,0.01,,6,,1,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6920999336184,07_nose ring_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.085,0.085,,,0.085,,42.5,42.5,0,2025-12-05,2025-12-05,1,4,,,,,instagram,4,0.17,,5,,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,6920999336384,08_Red dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,3.333333,3.333333,0,2025-12-05,2025-12-05,1,3,,,,,facebook,3,0.01,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920999336384,08_Red dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,30,30,0,2025-12-05,2025-12-05,1,5,,,,,instagram,5,0.15,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920999336384,08_Red dress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,0,0,0,2025-12-05,2025-12-05,1,1,,,,,threads,1,0,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920999336584,09_red lipstick_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,1,,,,,facebook,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920999336584,09_red lipstick_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,1,,,,,instagram,1,0.02,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6920999336784,05_greendress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,3,,,,,facebook,3,0.06,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920999336784,05_greendress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.05,0.05,,,0.05,,25,25,0,2025-12-05,2025-12-05,1,2,,,,,instagram,2,0.05,,2,,,,
,,,,,,,,,,,,,,,3,,3,,,,3,,6920999336784,05_greendress_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.016667,0.016667,,,0.016667,,10,10,0,2025-12-05,2025-12-05,1,5,,,,,threads,5,0.05,1,13,1,3,2,1
,,,,,,,,,,,,,,,,,,,,,,,6920999336984,03_blackbodysuit_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,30,30,0,2025-12-05,2025-12-05,1,1,,,,,facebook,1,0.03,,1,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.009998,0.009998,,,0.009998,,9.997871,9.997871,0,2025-12-05,2025-12-05,1,1,,,,,audience_network,1,0.009998,,6,,1,,
2,236,3,,98,33,33,236,2,2,,1,1,3,2,2395,4,2395,27,22,2,2270,2,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,96,"[{'action_type': 'subscribe_mobile_app', 'value': '107.307144'}, {'action_type': 'subscribe_total', 'value': '107.307144'}]",1.094971,"[{'action_type': 'outbound_click', 'value': '1.094971'}]",1.094971,3.251732,0.454691,53.653572,0.044805,0.044805,3.974339,53.653572,0.047272,1.117783,22.002695,24.119385,1.968423,2025-12-05,2025-12-05,1.096201,4877,2.009432,98,"[{'action_type': 'outbound_click', 'value': '98'}]","[{'action_type': 'outbound_click', 'value': '2.009432'}]",facebook,4449,107.307144,232,6,211,2072,1307,839
1,179,,1,49,25,25,179,1,1,,4,4,1,1,1416,3,1416,30,22,1,1337,1,6920999337184,02_blackNew_Wap 1 - Copy,6920998203984,F_Purhcase_Rap_WAP1_251203,6920965699384,FB_iOS_Purchase_Rap_251203,69,"[{'action_type': 'subscribe_mobile_app', 'value': '77.37352'}, {'action_type': 'subscribe_total', 'value': '77.37352'}]",1.579051,"[{'action_type': 'outbound_click', 'value': '1.579051'}]",1.579051,3.094941,0.432254,77.37352,0.054642,0.054642,2.579117,77.37352,0.057871,1.121355,23.089681,24.910985,2.059087,2025-12-05,2025-12-05,1.07888,3351,1.46225,49,"[{'action_type': 'outbound_click', 'value': '49'}]","[{'action_type': 'outbound_click', 'value': '1.46225'}]",instagram,3106,77.37352,125,4,125,1206,714,438
