action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,2,,,,,,2,,,,,,,,2,,2,,,,2,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0.005,,0.005,0.005,,,0.005,,3.333333,3.333333,0,2025-12-05,2025-12-05,1,3,,,,,facebook,3,0.01,,3,,1,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,instagram,1,0.01,1,15,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,6916167702784,08 aiartist3,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,30,30,0,2025-12-05,2025-12-05,1,1,,,,,facebook,1,0.03,,,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.120003,0.120003,,,0.120003,,30.000822,120.003288,0,2025-12-05,2025-12-05,4,4,,,,,audience_network,1,0.120003,,1,,1,,
,75,,,29,6,6,75,,,,,,,,755,,755,4,4,,722,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,28,,1.964192,"[{'action_type': 'outbound_click', 'value': '1.964192'}]",1.964192,9.493593,0.759487,,0.075446,0.075446,14.24039,,0.078894,2.034341,31.453098,34.334877,1.546107,2025-12-05,2025-12-05,1.091621,1811,1.601325,29,"[{'action_type': 'outbound_click', 'value': '29'}]","[{'action_type': 'outbound_click', 'value': '1.601325'}]",facebook,1659,56.961561,125,6,111,660,384,255
11,832,,,116,63,63,832,11,11,,14,14,2,11,3439,7,3439,88,67,11,3235,11,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,142,"[{'action_type': 'subscribe_mobile_app', 'value': '30.65484'}, {'action_type': 'subscribe_total', 'value': '30.65484'}]",2.642659,"[{'action_type': 'outbound_click', 'value': '2.642659'}]",2.642659,4.865848,0.368448,27.868036,0.089139,0.089139,3.483505,27.868036,0.09476,2.158792,36.128273,37.279387,1.673542,2025-12-05,2025-12-05,1.031862,8485,1.367118,116,"[{'action_type': 'outbound_click', 'value': '116'}]","[{'action_type': 'outbound_click', 'value': '1.367118'}]",instagram,8223,306.548399,302,4,302,2961,1445,873
,,,,,,,,,,,,,,,36,,36,,,,36,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.038057,0.038057,,,0.038057,,20.758144,20.758144,0,2025-12-05,2025-12-05,1,66,,,,,threads,66,1.370038,3,7,3,30,16,8
,,,,,,,,,,,,,,,,,,,,,,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,32.5,32.5,0,2025-12-05,2025-12-05,1,4,,,,,facebook,4,0.13,,1,,,,
,,,,,,,,,,,,,,,2,,2,,,,2,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.05,0.05,,,0.05,,33.333333,33.333333,0,2025-12-05,2025-12-05,1,3,,,,,instagram,3,0.1,1,7,1,2,1,1
,,,,,,,,,,,,,,,12,,12,,,,12,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.046672,0.046672,,,0.046672,,43.082142,186.689282,0,2025-12-05,2025-12-05,4.333333,13,,,,,audience_network,3,0.560068,4,9,4,12,8,5
5,135,,,16,8,8,135,5,5,,1,1,,5,335,,335,5,4,5,314,5,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,16,"[{'action_type': 'subscribe_mobile_app', 'value': '5.303976'}, {'action_type': 'subscribe_total', 'value': '5.303976'}]",1.988991,"[{'action_type': 'outbound_click', 'value': '1.988991'}]",1.988991,3.977982,0.235732,6.364771,0.094997,0.094997,6.364771,6.364771,0.10135,1.988991,34.628787,38.668111,1.741023,2025-12-05,2025-12-05,1.116646,919,1.741023,16,"[{'action_type': 'outbound_click', 'value': '16'}]","[{'action_type': 'outbound_click', 'value': '1.741023'}]",facebook,823,31.823855,51,4,49,274,163,103
