action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,1,,1,,,,1,,6920992821984,02 snoop_loseYourself - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-07,2025-12-07,1,1,,,,,facebook,1,0.01,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,0,0,0,2025-12-07,2025-12-07,1,2,,,,,audience_network,2,0,,0,,,,
6,471,5,3,179,36,36,471,6,6,,,,6,3127,3,3127,34,28,6,2914,6,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,175,"[{'action_type': 'subscribe_mobile_app', 'value': '36.435302'}, {'action_type': 'subscribe_total', 'value': '36.435302'}]",0.814197,"[{'action_type': 'outbound_click', 'value': '0.814197'}]",0.814197,4.048367,0.309429,24.290201,0.046607,0.046607,4.286506,24.290201,0.050014,0.832807,20.535608,21.407345,2.465831,2025-12-07,2025-12-07,1.04245,7097,2.522192,179,"[{'action_type': 'outbound_click', 'value': '179'}]","[{'action_type': 'outbound_click', 'value': '2.522192'}]",facebook,6808,145.741207,403,6,367,2661,1635,1046
9,943,,3,114,59,59,943,9,9,2,2,2,9,3920,12,3920,77,60,9,3729,9,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,142,"[{'action_type': 'subscribe_mobile_app', 'value': '30.184737'}, {'action_type': 'subscribe_total', 'value': '30.184737'}]",2.118227,"[{'action_type': 'outbound_click', 'value': '2.118227'}]",2.118227,4.092846,0.256074,26.830877,0.061602,0.061602,3.136077,26.830877,0.064757,1.700549,23.970409,26.219098,1.409569,2025-12-07,2025-12-07,1.093811,10074,1.131626,114,"[{'action_type': 'outbound_click', 'value': '114'}]","[{'action_type': 'outbound_click', 'value': '1.131626'}]",instagram,9210,241.477896,274,4,274,3297,1611,948
,1,,,8,,,1,,,1,1,,,599,,599,4,3,,587,,6920992822584,04 Morgan_Gin - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,8,,3.066362,"[{'action_type': 'outbound_click', 'value': '3.066362'}]",3.066362,,24.530897,,0.040953,0.040953,6.132724,,0.04179,3.066362,21.220499,21.387007,0.692042,2025-12-07,2025-12-07,1.007847,1156,0.692042,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '0.692042'}]",threads,1147,24.530897,84,13,96,523,279,168
,,,,1,,,,,,,,,,20,,20,,,,19,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,1,,0.62,"[{'action_type': 'outbound_click', 'value': '0.62'}]",0.62,,,,0.031,0.031,,,0.032632,0.62,13.478261,13.478261,2.173913,2025-12-07,2025-12-07,1,46,2.173913,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.173913'}]",facebook,46,0.62,1,4,1,16,11,8
,8,,,2,2,2,8,,,2,2,,,159,1,159,6,3,,151,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,2,,3.565,"[{'action_type': 'outbound_click', 'value': '3.565'}]",3.565,3.565,0.89125,,0.044843,0.044843,1.188333,,0.047219,3.565,17.180723,17.305825,0.481928,2025-12-07,2025-12-07,1.007282,415,0.481928,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.481928'}]",instagram,412,7.13,4,3,4,126,54,30
,,,,,,,,,,,,,,20,,20,,,,20,,6920992823584,02 Eddie_Snoop - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.032,0.032,,,0.032,,19.393939,19.393939,0,2025-12-07,2025-12-07,1,33,,,,,threads,33,0.64,3,9,4,17,9,6
,,,,,,,,,,,,,,1,,1,,,,1,,6920992824184,01 Jesus_travis - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-07,2025-12-07,1,1,,,,,instagram,1,0.01,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,6920992824184,01 Jesus_travis - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,20,20,0,2025-12-07,2025-12-07,1,1,,,,,threads,1,0.02,,2,,,,
,2,,,1,,,2,,,,,,,10,,10,,,,9,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,,0.110333,"[{'action_type': 'outbound_click', 'value': '0.110333'}]",0.110333,,0.055167,,0.011033,0.011033,,,0.012259,0.110333,12.259233,15.761871,11.111111,2025-12-07,2025-12-07,1.285714,9,11.111111,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '11.111111'}]",audience_network,7,0.110333,1,7,1,8,4,2
6,1094,8,3,373,113,113,1094,6,6,3,3,4,6,7919,11,7919,105,88,6,7441,6,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,356,"[{'action_type': 'subscribe_mobile_app', 'value': '140.049476'}, {'action_type': 'subscribe_total', 'value': '140.049476'}]",1.126403,"[{'action_type': 'outbound_click', 'value': '1.126403'}]",1.126403,3.718128,0.384048,70.024738,0.053056,0.053056,4.001414,70.024738,0.056464,1.180192,26.414462,30.133287,2.238149,2025-12-07,2025-12-07,1.140787,15906,2.345027,373,"[{'action_type': 'outbound_click', 'value': '373'}]","[{'action_type': 'outbound_click', 'value': '2.345027'}]",facebook,13943,420.148427,1364,5,1269,6888,4210,2999
,37,,,18,7,7,37,,,1,1,,,528,1,528,24,22,,486,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,20,,2.2635,"[{'action_type': 'outbound_click', 'value': '2.2635'}]",2.2635,5.820429,1.101162,,0.077165,0.077165,1.697625,,0.083833,2.03715,33.560958,34.852868,1.647446,2025-12-07,2025-12-07,1.038494,1214,1.482702,18,"[{'action_type': 'outbound_click', 'value': '18'}]","[{'action_type': 'outbound_click', 'value': '1.482702'}]",instagram,1169,40.743003,52,4,52,442,232,155
,,,,,,,,,,,,,,46,,46,,,,46,,6920994403584,03_blackbodysuit_Big energy - Copy,6920991773384,F_Purhcase_Rap_BigEnergy_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.059309,0.059309,,,0.059309,,44.003815,44.003815,0,2025-12-07,2025-12-07,1,62,,,,,threads,62,2.728237,14,12,14,42,29,23
,,,,,,,,,,,,,,1,,1,,,,1,,6920995425184,06_WillS_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-07,2025-12-07,1,1,,,,,threads,1,0,,4,,1,,
,,,,,,,,,,,,,,1,,1,,,,1,,6920995425384,02_jesus_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-07,2025-12-07,1,1,,,,,instagram,1,0.01,,4,,1,,
,,,,,,,,,,,,,,22,,22,,,,22,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.020953,0.020953,,,0.020953,,13.558089,28.81094,0,2025-12-07,2025-12-07,2.125,34,,,,,audience_network,16,0.460975,7,6,7,18,11,8
3,664,4,3,243,51,51,664,3,3,,,2,3,4380,8,4380,66,55,3,4071,3,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,236,"[{'action_type': 'subscribe_mobile_app', 'value': '66.774572'}, {'action_type': 'subscribe_total', 'value': '66.774572'}]",0.824377,"[{'action_type': 'outbound_click', 'value': '0.831219'}]",0.824377,3.927916,0.301692,66.774572,0.045736,0.045736,3.035208,66.774572,0.049208,0.848829,21.895695,23.334154,2.579517,2025-12-07,2025-12-07,1.065696,9149,2.656028,243,"[{'action_type': 'outbound_click', 'value': '241'}]","[{'action_type': 'outbound_click', 'value': '2.634168'}]",facebook,8585,200.323715,738,5,713,3660,2251,1522
3,509,,,115,56,56,509,3,3,3,3,2,3,3534,8,3534,85,74,3,3334,3,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,142,"[{'action_type': 'subscribe_mobile_app', 'value': '80.142848'}, {'action_type': 'subscribe_total', 'value': '80.142848'}]",2.090683,"[{'action_type': 'outbound_click', 'value': '2.090683'}]",2.090683,4.293367,0.472355,80.142848,0.068033,0.068033,2.828571,80.142848,0.072114,1.693159,29.744964,31.498565,1.756773,2025-12-07,2025-12-07,1.058955,8083,1.422739,115,"[{'action_type': 'outbound_click', 'value': '115'}]","[{'action_type': 'outbound_click', 'value': '1.422739'}]",instagram,7633,240.428543,247,4,247,2882,1291,706
,,,,,,,,,,,,,,,,,,,,,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,13.361595,13.361595,0,2025-12-07,2025-12-07,1,3,,,,,messenger,3,0.040085,,,,,,
,,,,1,,,,,,,,,,142,,142,,,,141,,6920995425584,04_MorganF_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,1,,7.886682,"[{'action_type': 'outbound_click', 'value': '7.886682'}]",7.886682,,,,0.05554,0.05554,,,0.055934,7.886682,27.101998,27.384311,0.343643,2025-12-07,2025-12-07,1.010417,291,0.343643,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.343643'}]",threads,288,7.886682,21,5,27,120,69,46
,,,,,,,,,,,,,,,,,,,,,,6920995425984,05_Snoop_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,,,,2025-12-07,2025-12-07,0,0,,,,,facebook,0,0,,2,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6920995425984,05_Snoop_Nuthin But A G Thang - Copy,6920991984384,F_Purhcase_Rap_GThang_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.02,0.02,,,0.02,,10,20,0,2025-12-07,2025-12-07,2,2,,,,,instagram,1,0.02,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,6920996505584,01_black4_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,0,0,0,2025-12-07,2025-12-07,1,1,,,,,facebook,1,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,6920996505584,01_black4_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,10,10,0,2025-12-07,2025-12-07,1,1,,,,,instagram,1,0.01,,,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6920996505584,01_black4_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.03,0.03,,,0.03,,30,30,0,2025-12-07,2025-12-07,1,1,,,,,threads,1,0.03,,11,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,6920996505984,04_fbg_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,30,30,0,2025-12-07,2025-12-07,1,1,,,,,facebook,1,0.03,,1,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6920996505984,04_fbg_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.05,0.05,,,0.05,,50,50,0,2025-12-07,2025-12-07,1,1,,,,,threads,1,0.05,,4,,1,,
,,,,,,,,,,,,,,1,,1,,,,1,,6920996506184,03_blackbodysuit_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-07,2025-12-07,1,2,,,,,instagram,2,0.03,,3,,1,,
,,,,,,,,,,,,,,,,,,,,,,6920996506584,11_yellow dress_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,,,,,,,,,,85,85,0,2025-12-07,2025-12-07,1,2,,,,,facebook,2,0.17,,1,,,,
,2,,,,1,1,2,,,,,,,14,,14,,,,14,,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,0,,,,,0.281799,0.140899,,0.020128,0.020128,,,0.020128,,15.65549,17.612426,0,2025-12-07,2025-12-07,1.125,18,,,,,audience_network,16,0.281799,1,7,2,13,9,5
2,788,6,1,158,78,78,788,2,2,4,4,,2,4163,9,4163,89,75,2,3916,2,6920996506984,02_blackNew_Wap 2 - Copy,6920965699184,F_Purhcase_Rap_WAP2_251203,6920965699384,FB_iOS_Purchase_Rap_251203,153,"[{'action_type': 'subscribe_mobile_app', 'value': '104.793934'}, {'action_type': 'subscribe_total', 'value': '104.793934'}]",1.326506,"[{'action_type': 'outbound_click', 'value': '1.326506'}]",1.326506,2.687024,0.265974,104.793934,0.050345,0.050345,2.35492,104.793934,0.053521,1.369855,25.115383,27.124093,1.833433,2025-12-07,2025-12-07,1.079979,8345,1.893349,158,"[{'action_type': 'outbound_click', 'value': '158'}]","[{'action_type': 'outbound_click', 'value': '1.893349'}]",facebook,7727,209.587868,519,5,488,3550,2190,1513
