action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,40,40,0,2025-12-07,2025-12-07,1,1,,,,,facebook,1,0.04,,2,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.04,0.04,,,0.04,,13.333333,13.333333,0,2025-12-07,2025-12-07,1,3,,,,,instagram,3,0.04,,3,,1,1,
,,,,,,,,,,,,,,3,,3,,,,3,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.103333,0.103333,,,0.103333,,20.666667,23.846154,0,2025-12-07,2025-12-07,1.153846,15,,,,,facebook,13,0.31,,2,,3,,
,,,,,,,,,,,,,,9,,9,,,,9,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.096667,0.096667,,,0.096667,,34.8,34.8,0,2025-12-07,2025-12-07,1,25,,,,,instagram,25,0.87,,3,,9,1,
,,,,,,,,,,,,,,2,,2,,,,2,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,6.666667,6.666667,0,2025-12-07,2025-12-07,1,3,,,,,threads,3,0.02,,5,,2,1,
1,148,,,35,11,11,148,1,1,,,,1,1557,,1557,5,5,1,1517,1,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,35,"[{'action_type': 'subscribe_mobile_app', 'value': '114.438236'}, {'action_type': 'subscribe_total', 'value': '114.438236'}]",3.269664,"[{'action_type': 'outbound_click', 'value': '3.269664'}]",3.269664,10.403476,0.773231,114.438236,0.073499,0.073499,22.887647,114.438236,0.075437,3.269664,27.973169,30.218705,0.855537,2025-12-07,2025-12-07,1.080275,4091,0.855537,35,"[{'action_type': 'outbound_click', 'value': '35'}]","[{'action_type': 'outbound_click', 'value': '0.855537'}]",facebook,3787,114.438236,116,3,106,1435,606,339
9,726,,1,91,59,59,726,9,9,,,1,9,4093,6,4093,21,14,9,3981,9,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,113,"[{'action_type': 'subscribe_mobile_app', 'value': '50.336218'}, {'action_type': 'subscribe_total', 'value': '50.336218'}]",3.872017,"[{'action_type': 'outbound_click', 'value': '3.872017'}]",3.872017,5.972094,0.485335,39.150392,0.086087,0.086087,16.778739,39.150392,0.088509,3.118173,35.852007,36.623378,1.149776,2025-12-07,2025-12-07,1.021515,9828,0.925926,91,"[{'action_type': 'outbound_click', 'value': '91'}]","[{'action_type': 'outbound_click', 'value': '0.925926'}]",instagram,9621,352.353524,289,3,289,3743,1477,765
,,,,,,,,,,,,,,,,,,,,,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,12.526077,12.526077,0,2025-12-07,2025-12-07,1,4,,,,,messenger,4,0.050104,,,,,,
,,,,,,,,,,,,,,78,,78,,,,78,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.050104,0.050104,,,0.050104,,32.841478,32.841478,0,2025-12-07,2025-12-07,1,119,,,,,threads,119,3.908136,11,8,12,73,40,27
,,,,,,,,,,,,,,,,,,,,,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-12-07,2025-12-07,1,1,,,,,instagram,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-12-07,2025-12-07,1,1,,,,,facebook,1,0.01,,2,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.19,0.19,,,0.19,,38,38,0,2025-12-07,2025-12-07,1,5,,,,,facebook,5,0.19,,3,,1,1,1
,,,,,,,,,,,,,,1,,1,,,,1,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.010042,0.010042,,,0.010042,,10.042403,10.042403,0,2025-12-07,2025-12-07,1,1,,,,,audience_network,1,0.010042,,6,,1,,
4,194,1,,47,25,25,194,4,4,1,1,3,4,1284,,1284,13,12,4,1224,4,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,45,"[{'action_type': 'subscribe_mobile_app', 'value': '29.106231'}, {'action_type': 'subscribe_total', 'value': '29.106231'}]",1.857845,"[{'action_type': 'outbound_click', 'value': '1.857845'}]",1.857845,3.492748,0.450096,21.829673,0.068005,0.068005,6.716823,21.829673,0.071339,1.940415,30.287442,32.472553,1.560874,2025-12-07,2025-12-07,1.072146,2883,1.630246,47,"[{'action_type': 'outbound_click', 'value': '47'}]","[{'action_type': 'outbound_click', 'value': '1.630246'}]",facebook,2689,87.318694,164,7,152,1123,610,396
12,1003,,,150,94,94,1003,12,12,6,6,4,12,4549,9,4549,79,64,12,4320,12,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,189,"[{'action_type': 'subscribe_mobile_app', 'value': '39.032812'}, {'action_type': 'subscribe_total', 'value': '39.032812'}]",2.602187,"[{'action_type': 'outbound_click', 'value': '2.602187'}]",2.602187,4.152427,0.389161,32.527343,0.085805,0.085805,4.940862,32.527343,0.090354,2.065228,33.891475,36.265736,1.641052,2025-12-07,2025-12-07,1.070055,11517,1.302423,150,"[{'action_type': 'outbound_click', 'value': '150'}]","[{'action_type': 'outbound_click', 'value': '1.302423'}]",instagram,10763,390.328119,401,4,401,3920,1903,1191
,,,,2,,,,,,,,,,84,,84,,,,82,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,1.556572,"[{'action_type': 'outbound_click', 'value': '1.556572'}]",1.556572,,,,0.037061,0.037061,,,0.037965,1.556572,23.584431,23.584431,1.515152,2025-12-07,2025-12-07,1,132,1.515152,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.515152'}]",threads,132,3.113145,21,9,21,75,42,30
,,,,,,,,,,,,,,2,,2,,,,2,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.19,0.19,,,0.19,,95,95,0,2025-12-07,2025-12-07,1,4,,,,,facebook,4,0.38,1,9,1,2,1,1
,,,,,,,,,,,,,,17,,17,,,,17,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.006489,0.006489,,,0.006489,,6.489151,27.578892,0,2025-12-07,2025-12-07,4.25,17,,,,,audience_network,4,0.110316,2,7,2,16,5,2
4,154,,,51,13,13,154,4,4,1,1,,4,1184,,1184,7,6,4,1126,4,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,49,"[{'action_type': 'subscribe_mobile_app', 'value': '37.216461'}, {'action_type': 'subscribe_total', 'value': '37.216461'}]",2.189204,"[{'action_type': 'outbound_click', 'value': '2.189204'}]",2.189204,8.588414,0.724996,27.912346,0.094298,0.094298,15.949912,27.912346,0.099156,2.278559,31.494889,35.021764,1.382228,2025-12-07,2025-12-07,1.111982,3545,1.438646,51,"[{'action_type': 'outbound_click', 'value': '51'}]","[{'action_type': 'outbound_click', 'value': '1.438646'}]",facebook,3188,111.649383,171,4,162,975,522,376
1,86,,,17,8,8,86,1,1,1,1,,1,959,3,959,11,7,1,931,1,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,22,"[{'action_type': 'subscribe_mobile_app', 'value': '51.532413'}, {'action_type': 'subscribe_total', 'value': '51.532413'}]",6.062637,"[{'action_type': 'outbound_click', 'value': '6.062637'}]",6.062637,12.883103,1.198428,103.064826,0.107471,0.107471,9.36953,103.064826,0.110703,4.684765,37.423684,37.919362,0.798838,2025-12-07,2025-12-07,1.013245,2754,0.617284,17,"[{'action_type': 'outbound_click', 'value': '17'}]","[{'action_type': 'outbound_click', 'value': '0.617284'}]",instagram,2718,103.064826,50,3,51,788,323,181
,,,,1,,,,,,,,,,173,,173,,,,172,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,8.905475,"[{'action_type': 'outbound_click', 'value': '8.905475'}]",8.905475,,,,0.051477,0.051477,,,0.051776,8.905475,32.149729,32.149729,0.361011,2025-12-07,2025-12-07,1,277,0.361011,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.361011'}]",threads,277,8.905475,25,15,27,147,88,55
