action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,1,,,,,,1,,,,,,,,,,,,,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,0,,,,,instagram,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,6908318943184,fwg_sliding,6908318942984,FB_iOS_Purchase_itoshi_fwgvariants,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,0,,,,,facebook,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,6910107137584,OG_fbg_variant,6910106337984,FB_iOS_Purchase_itoshi_fbgvariants_141125,6910102452984,FB_iOS_Purchase_itoshi_v1_set3,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,0,,,,,facebook,0,0,,,,,,
,3,,,,,,3,,,,,,,,,,,,,,6910489554384,kimk_twitt,6910489554184,FB_iOS_Purchase_itoshi_kimkvariants_151125,6910102452984,FB_iOS_Purchase_itoshi_v1_set3,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,0,,,,,facebook,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,6910489554384,kimk_twitt,6910489554184,FB_iOS_Purchase_itoshi_kimkvariants_151125,6910102452984,FB_iOS_Purchase_itoshi_v1_set3,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,0,,,,,instagram,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,6910489554784,kdash_sisters,6910489554184,FB_iOS_Purchase_itoshi_kimkvariants_151125,6910102452984,FB_iOS_Purchase_itoshi_v1_set3,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,0,,,,,audience_network,0,0,,,,,,
,4,,,,,,4,,,,,,,,,,,,,,6912302343584,04 creatydesign06_natural-looking_y2k,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,0,,,,,facebook,0,0,,,,,,
,1,,,,,,1,,,,,,,,,,,,,,6912306130584,10 kimk-braids_Slayer,6912278892584,FB_iOS_Purchase_itoshi_splitscreen_191125,6911773197184,FB_iOS_Purchase_itoshi_v1_set5_181125,0,,,,,,0,,,,,,,,,,,2025-11-24,2025-11-24,0,0,,,,,facebook,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,6913347654184,tyson_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,15,15,0,2025-11-24,2025-11-24,1,2,,,,,facebook,2,0.03,,1,,,,
,,,,,,,,,,,,,3,,3,1,1,,2,,6913347654184,tyson_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.056667,0.056667,0.17,,0.085,,85,85,0,2025-11-24,2025-11-24,1,2,,,,,instagram,2,0.17,,4,,2,,
,,,,,,,,,,,,,1,,1,,,,1,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0,0,,,0,,0,0,0,2025-11-24,2025-11-24,1,1,,,,,audience_network,1,0,,3,,1,,
5,1166,16,3,512,90,90,1166,5,5,3,3,5,10021,10,10021,100,84,5,9409,5,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,497,"[{'action_type': 'subscribe_mobile_app', 'value': '61.58'}, {'action_type': 'subscribe_total', 'value': '61.58'}]",0.481094,"[{'action_type': 'outbound_click', 'value': '0.481094'}]",0.481094,2.736889,0.211252,49.264,0.02458,0.02458,2.4632,49.264,0.026179,0.495614,11.013145,11.610106,2.222123,2025-11-24,2025-11-24,1.054204,22366,2.289189,512,"[{'action_type': 'outbound_click', 'value': '512'}]","[{'action_type': 'outbound_click', 'value': '2.289189'}]",facebook,21216,246.32,1297,4,1200,9028,4451,2654
1,108,,,28,8,8,108,1,1,,,1,611,2,611,12,10,1,571,1,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,41,"[{'action_type': 'subscribe_mobile_app', 'value': '25.28'}, {'action_type': 'subscribe_total', 'value': '25.28'}]",0.902857,"[{'action_type': 'outbound_click', 'value': '0.902857'}]",0.902857,3.16,0.234074,25.28,0.041375,0.041375,2.106667,25.28,0.044273,0.616585,13.859649,14.146614,2.247807,2025-11-24,2025-11-24,1.020705,1824,1.535088,28,"[{'action_type': 'outbound_click', 'value': '28'}]","[{'action_type': 'outbound_click', 'value': '1.535088'}]",instagram,1787,25.28,69,4,69,538,240,136
,,,,,,,,,,,,,2,,2,,,,2,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.05,0.05,,,0.05,,5.882353,5.882353,0,2025-11-24,2025-11-24,1,17,,,,,messenger,17,0.1,,3,,2,1,1
,,,,,,,,,,,,,42,,42,,,,42,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.023333,0.023333,,,0.023333,,11.395349,11.395349,0,2025-11-24,2025-11-24,1,86,,,,,threads,86,0.98,7,5,7,40,23,12
1,591,5,,149,61,61,591,1,1,,,1,3567,1,3567,15,14,1,3403,1,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,146,"[{'action_type': 'subscribe_mobile_app', 'value': '87.2'}, {'action_type': 'subscribe_total', 'value': '87.2'}]",0.585235,"[{'action_type': 'outbound_click', 'value': '0.585235'}]",0.585235,1.429508,0.147547,87.2,0.024446,0.024446,5.813333,87.2,0.025624,0.59726,10.509823,11.802924,1.759672,2025-11-24,2025-11-24,1.123037,8297,1.79583,149,"[{'action_type': 'outbound_click', 'value': '149'}]","[{'action_type': 'outbound_click', 'value': '1.79583'}]",facebook,7388,87.2,304,4,269,3243,1492,804
,30,,,4,2,2,30,,,,,,50,,50,,,,46,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,5,,0.595,"[{'action_type': 'outbound_click', 'value': '0.595'}]",0.595,1.19,0.079333,,0.0476,0.0476,,,0.051739,0.476,15.354839,16.190476,3.225806,2025-11-24,2025-11-24,1.054422,155,2.580645,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '2.580645'}]",instagram,147,2.38,3,3,3,46,18,6
,,,,,,,,,,,,,1,,1,,,,1,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.05,0.05,,,0.05,,8.333333,8.333333,0,2025-11-24,2025-11-24,1,6,,,,,threads,6,0.05,1,4,1,1,1,1
,,,,,,,,,,,,,1,,1,,,,1,,6913359259784,kendrick_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.07,0.07,,,0.07,,14,17.5,0,2025-11-24,2025-11-24,1.25,5,,,,,facebook,4,0.07,1,3,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,6913359259784,kendrick_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,10,10,0,2025-11-24,2025-11-24,1,1,,,,,instagram,1,0.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,6913359259784,kendrick_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,0,0,0,2025-11-24,2025-11-24,1,1,,,,,threads,1,0,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-11-24,2025-11-24,1,1,,,,,facebook,1,0,,1,,,,
,,,,,,,,,,,,,2,,2,1,1,,1,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.07,0.07,0.14,,0.14,,35,35,0,2025-11-24,2025-11-24,1,4,,,,,instagram,4,0.14,,1,,2,,
,,,,,,,,,,,,,,,,,,,,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,65,65,0,2025-11-24,2025-11-24,1,2,,,,,facebook,2,0.13,,2,,,,
,,,,,1,1,,,,,,,1,,1,1,1,,,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,,,,0.1,,,0.1,0.1,0.1,,,0.1,25,25,25,2025-11-24,2025-11-24,1,4,,,,,instagram,4,0.1,,1,,,,
,,,,,,,,,,,,,,,,,,,,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-11-24,2025-11-24,1,2,,,,,facebook,2,0.04,,2,,,,
