action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,74,1,,25,8,8,74,,,,,,798,2,798,12,10,,761,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,25,"[{'action_type': 'subscribe_mobile_app', 'value': '21.04'}, {'action_type': 'subscribe_total', 'value': '21.04'}, {'action_type': 'start_trial_mobile_app', 'value': '21.04'}, {'action_type': 'start_trial_total', 'value': '21.04'}]",0.8416,"[{'action_type': 'outbound_click', 'value': '0.8416'}]",0.8416,2.63,0.284324,,0.026366,0.026366,1.753333,,0.027648,0.8416,11.079516,11.403794,1.316482,2025-12-01,2025-12-01,1.029268,1899,1.316482,25,"[{'action_type': 'outbound_click', 'value': '25'}]","[{'action_type': 'outbound_click', 'value': '1.316482'}]",facebook,1845,21.04,122,4,117,734,358,243
,1,,,3,,,1,,,,,,48,,48,1,1,,44,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,3,,0.463333,"[{'action_type': 'outbound_click', 'value': '0.463333'}]",0.463333,,1.39,,0.028958,0.028958,1.39,,0.031591,0.463333,12.990654,13.238095,2.803738,2025-12-01,2025-12-01,1.019048,107,2.803738,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.803738'}]",instagram,105,1.39,1,3,1,43,17,5
,,,,,,,,,,,,,2,,2,,,,2,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.04,0.04,,,0.04,,11.428571,11.428571,0,2025-12-01,2025-12-01,1,7,,,,,threads,7,0.08,1,5,1,2,1,1
,436,3,2,98,32,32,436,,,,,,3657,1,3657,21,18,,3538,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,96,"[{'action_type': 'subscribe_mobile_app', 'value': '24.58'}, {'action_type': 'subscribe_total', 'value': '24.58'}, {'action_type': 'start_trial_mobile_app', 'value': '24.58'}, {'action_type': 'start_trial_total', 'value': '24.58'}]",0.752449,"[{'action_type': 'outbound_click', 'value': '0.752449'}]",0.752449,2.304375,0.169128,,0.020164,0.020164,3.511429,,0.020842,0.768125,9.355494,10.091693,1.217965,2025-12-01,2025-12-01,1.078692,7882,1.243339,98,"[{'action_type': 'outbound_click', 'value': '98'}]","[{'action_type': 'outbound_click', 'value': '1.243339'}]",facebook,7307,73.74,315,4,279,3378,1491,834
,13,,,5,4,4,13,,,,,,205,,205,1,1,,199,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,7,,1.142,"[{'action_type': 'outbound_click', 'value': '1.142'}]",1.142,1.4275,0.439231,,0.027854,0.027854,5.71,,0.028693,0.815714,13.627685,14.20398,1.670644,2025-12-01,2025-12-01,1.042289,419,1.193317,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.193317'}]",instagram,402,5.71,15,5,15,186,82,42
,,,,,,,,,,,,,9,,9,,,,9,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.017778,0.017778,,,0.017778,,8.421053,8.421053,0,2025-12-01,2025-12-01,1,19,,,,,threads,19,0.16,2,4,2,9,4,2
,,,,,,,,,,,,,,,,,,,,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,320,320,0,2025-12-01,2025-12-01,1,1,,,,,facebook,1,0.32,,1,,,,
,2,,,1,,,2,,,,,,21,,21,,,,20,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.71,"[{'action_type': 'outbound_click', 'value': '0.71'}]",0.71,,0.355,,0.03381,0.03381,,,0.0355,0.71,33.809524,64.545455,4.761905,2025-12-01,2025-12-01,1.909091,21,4.761905,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '4.761905'}]",audience_network,11,0.71,2,6,3,20,8,2
,149,,,11,10,10,149,,,,,,231,,231,1,1,,219,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,11,"[{'action_type': 'subscribe_mobile_app', 'value': '9.115'}, {'action_type': 'subscribe_total', 'value': '9.115'}, {'action_type': 'start_trial_mobile_app', 'value': '9.115'}, {'action_type': 'start_trial_total', 'value': '9.115'}]",1.657273,"[{'action_type': 'outbound_click', 'value': '1.657273'}]",1.657273,1.823,0.122349,,0.078918,0.078918,18.23,,0.083242,1.657273,35.329457,36.828283,2.131783,2025-12-01,2025-12-01,1.042424,516,2.131783,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '2.131783'}]",facebook,495,18.23,59,4,58,215,146,101
,3,,,1,,,3,,,,,,40,1,40,1,,,38,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,3.35,"[{'action_type': 'outbound_click', 'value': '3.35'}]",3.35,,1.116667,,0.08375,0.08375,3.35,,0.088158,3.35,28.87931,29.646018,0.862069,2025-12-01,2025-12-01,1.026549,116,0.862069,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.862069'}]",instagram,113,3.35,3,3,3,35,9,7
