action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,4,,,,,,1,1,,122,,122,4,3,,114,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,4,,0.7975,"[{'action_type': 'outbound_click', 'value': '0.7975'}]",0.7975,,,,0.026148,0.026148,0.7975,,0.027982,0.7975,11.992481,12.222222,1.503759,2025-11-27,2025-11-27,1.019157,female,266,1.503759,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.503759'}]",261,3.19,16,4,15,108,54,29
,168,2,,55,22,22,168,,,1,1,,1217,1,1217,13,11,,1149,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,52,"[{'action_type': 'subscribe_mobile_app', 'value': '27.35'}, {'action_type': 'subscribe_total', 'value': '27.35'}, {'action_type': 'start_trial_mobile_app', 'value': '27.35'}, {'action_type': 'start_trial_total', 'value': '27.35'}]",0.497273,"[{'action_type': 'outbound_click', 'value': '0.497273'}]",0.497273,1.243182,0.162798,,0.022473,0.022473,2.103846,,0.023803,0.525962,9.96357,10.007318,1.894353,2025-11-27,2025-11-27,1.004391,male,2745,2.003643,55,"[{'action_type': 'outbound_click', 'value': '55'}]","[{'action_type': 'outbound_click', 'value': '2.003643'}]",2733,27.35,129,4,119,1107,534,309
,,,,,,,,,,,,,10,,10,,,,10,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.019,0.019,,,0.019,,9.047619,9.047619,0,2025-11-27,2025-11-27,1,unknown,21,,,,,21,0.19,3,5,3,10,8,5
,52,,,10,4,4,52,,,,,,450,,450,6,6,,434,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,10,,0.877,"[{'action_type': 'outbound_click', 'value': '0.877'}]",0.877,2.1925,0.168654,,0.019489,0.019489,1.461667,,0.020207,0.877,10.022857,10.477897,1.142857,2025-11-27,2025-11-27,1.0454,female,875,1.142857,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '1.142857'}]",837,8.77,39,4,36,399,188,106
,923,6,,212,100,100,923,,,1,1,,8300,2,8300,23,20,,8065,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,207,"[{'action_type': 'subscribe_mobile_app', 'value': '49.716667'}, {'action_type': 'subscribe_total', 'value': '49.716667'}, {'action_type': 'start_trial_mobile_app', 'value': '37.2875'}, {'action_type': 'start_trial_total', 'value': '37.2875'}]",0.703538,"[{'action_type': 'outbound_click', 'value': '0.703538'}]",0.703538,1.4915,0.161593,,0.01797,0.01797,6.484783,,0.018493,0.720531,8.79474,9.398236,1.220591,2025-11-27,2025-11-27,1.06862,male,16959,1.250074,212,"[{'action_type': 'outbound_click', 'value': '212'}]","[{'action_type': 'outbound_click', 'value': '1.250074'}]",15870,149.15,662,4,599,7669,3401,1766
,1,,1,3,,,1,,,,,,63,,63,1,,,59,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,3,,0.33,"[{'action_type': 'outbound_click', 'value': '0.33'}]",0.33,,0.99,,0.015714,0.015714,0.99,,0.01678,0.33,8.461538,8.761062,2.564103,2025-11-27,2025-11-27,1.035398,unknown,117,2.564103,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.564103'}]",113,0.99,4,4,4,53,23,12
,18,,,13,3,3,18,,,,,,276,3,276,7,4,,256,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,13,,1.87778,"[{'action_type': 'outbound_click', 'value': '1.87778'}]",1.87778,8.137048,1.356175,,0.088446,0.088446,3.487306,,0.095356,1.87778,33.531793,34.23723,1.785714,2025-11-27,2025-11-27,1.021038,female,728,1.785714,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '1.785714'}]",713,24.411145,46,4,44,241,135,85
,476,1,1,122,34,34,476,,,2,2,,2791,7,2791,27,17,,2642,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,125,"[{'action_type': 'subscribe_mobile_app', 'value': '37.439756'}, {'action_type': 'subscribe_total', 'value': '37.439756'}, {'action_type': 'start_trial_mobile_app', 'value': '23.399848'}, {'action_type': 'start_trial_total', 'value': '23.399848'}]",1.534416,"[{'action_type': 'outbound_click', 'value': '1.534416'}]",1.534416,5.505847,0.393275,,0.067072,0.067072,6.933288,,0.070855,1.49759,24.715973,26.436772,1.650383,2025-11-27,2025-11-27,1.069623,male,7574,1.610774,122,"[{'action_type': 'outbound_click', 'value': '122'}]","[{'action_type': 'outbound_click', 'value': '1.610774'}]",7081,187.198781,434,4,417,2530,1414,860
,,,,1,,,,,,,,,39,,39,2,2,,36,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.580074,"[{'action_type': 'outbound_click', 'value': '1.580074'}]",1.580074,,,,0.040515,0.040515,0.790037,,0.043891,1.580074,20.520443,21.067655,1.298701,2025-11-27,2025-11-27,1.026667,unknown,77,1.298701,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.298701'}]",75,1.580074,4,4,3,34,16,9
,27,,,9,3,3,27,,,,,,305,,305,,,,296,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,9,,2.912222,"[{'action_type': 'outbound_click', 'value': '2.912222'}]",2.912222,8.736667,0.970741,,0.085934,0.085934,,,0.088547,2.912222,29.716553,30.981087,1.020408,2025-11-27,2025-11-27,1.042553,female,882,1.020408,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '1.020408'}]",846,26.21,28,3,27,272,124,60
